"","GEOID","full_geoid","white_totalE","white_less10kE","white_10kto14kE","white_15kto19kE","white_20kto24kE","white_25kto29kE","white_30kto34kE","white_35kto39kE","white_40kto44kE","white_45kto49kE","white_50kto59kE","white_60kto74kE","white_75kto99kE","white_100kto124kE","white_125kto149kE","white_150kto199kE","white_200ktomoreE","black_totalE","black_less10kE","black_10kto14kE","black_15kto19kE","black_20kto24kE","black_25kto29kE","black_30kto34kE","black_35kto39kE","black_40kto44kE","black_45kto49kE","black_50kto59kE","black_60kto74kE","black_75kto99kE","black_100kto124kE","black_125kto149kE","black_150kto199kE","black_200ktomoreE","aian_totalE","aian_less10kE","aian_10kto14kE","aian_15kto19kE","aian_20kto24kE","aian_25kto29kE","aian_30kto34kE","aian_35kto39kE","aian_40kto44kE","aian_45kto49kE","aian_50kto59kE","aian_60kto74kE","aian_75kto99kE","aian_100kto124kE","aian_125kto149kE","aian_150kto199kE","aian_200ktomoreE","asian_totalE","asian_less10kE","asian_10kto14kE","asian_15kto19kE","asian_20kto24kE","asian_25kto29kE","asian_30kto34kE","asian_35kto39kE","asian_40kto44kE","asian_45kto49kE","asian_50kto59kE","asian_60kto74kE","asian_75kto99kE","asian_100kto124kE","asian_125kto149kE","asian_150kto199kE","asian_200ktomoreE","nhpi_totalE","nhpi_less10kE","nhpi_10kto14kE","nhpi_15kto19kE","nhpi_20kto24kE","nhpi_25kto29kE","nhpi_30kto34kE","nhpi_35kto39kE","nhpi_40kto44kE","nhpi_45kto49kE","nhpi_50kto59kE","nhpi_60kto74kE","nhpi_75kto99kE","nhpi_100kto124kE","nhpi_125kto149kE","nhpi_150kto199kE","nhpi_200ktomoreE","other_totalE","other_less10kE","other_10kto14kE","other_15kto19kE","other_20kto24kE","other_25kto29kE","other_30kto34kE","other_35kto39kE","other_40kto44kE","other_45kto49kE","other_50kto59kE","other_60kto74kE","other_75kto99kE","other_100kto124kE","other_125kto149kE","other_150kto199kE","other_200ktomoreE","mixed_totalE","mixed_less10kE","mixed_10kto14kE","mixed_15kto19kE","mixed_20kto24kE","mixed_25kto29kE","mixed_30kto34kE","mixed_35kto39kE","mixed_40kto44kE","mixed_45kto49kE","mixed_50kto59kE","mixed_60kto74kE","mixed_75kto99kE","mixed_100kto124kE","mixed_125kto149kE","mixed_150kto199kE","mixed_200ktomoreE","w_nothisp_totalE","w_nothisp_less10kE","w_nothisp_10kto14kE","w_nothisp_15kto19kE","w_nothisp_20kto24kE","w_nothisp_25kto29kE","w_nothisp_30kto34kE","w_nothisp_35kto39kE","w_nothisp_40kto44kE","w_nothisp_45kto49kE","w_nothisp_50kto59kE","w_nothisp_60kto74kE","w_nothisp_75kto99kE","w_nothisp_100kto124kE","w_nothisp_125kto149kE","w_nothisp_150kto199kE","w_nothisp_200ktomoreE","hisp_totalE","hisp_less10kE","hisp_10kto14kE","hisp_15kto19kE","hisp_20kto24kE","hisp_25kto29kE","hisp_30kto34kE","hisp_35kto39kE","hisp_40kto44kE","hisp_45kto49kE","hisp_50kto59kE","hisp_60kto74kE","hisp_75kto99kE","hisp_100kto124kE","hisp_125kto149kE","hisp_150kto199kE","hisp_200ktomoreE","WHITE_less25","WHITE_25_to_34","WHITE_35_to_49","WHITE_50_to_74","WHITE_75_to_99","WHITE_100_to_149","WHITE_150_to_199","WHITE_200_more","WHITE_TOTAL","BLACK_less25","BLACK_25_to_34","BLACK_35_to_49","BLACK_50_to_74","BLACK_75_to_99","BLACK_100_to_149","BLACK_150_to_199","BLACK_200_more","BLACK_TOTAL","AI_AN_less25","AI_AN_25_to_34","AI_AN_35_to_49","AI_AN_50_to_74","AI_AN_75_to_99","AI_AN_100_to_149","AI_AN_150_to_199","AI_AN_200_more","AI_AN_TOTAL","ASIAN_less25","ASIAN_25_to_34","ASIAN_35_to_49","ASIAN_50_to_74","ASIAN_75_to_99","ASIAN_100_to_149","ASIAN_150_to_199","ASIAN_200_more","ASIAN_TOTAL","NHPI_less25","NHPI_25_to_34","NHPI_35_to_49","NHPI_50_to_74","NHPI_75_to_99","NHPI_100_to_149","NHPI_150_to_199","NHPI_200_more","NHPI_TOTAL","OTHER_less25","OTHER_25_to_34","OTHER_35_to_49","OTHER_50_to_74","OTHER_75_to_99","OTHER_100_to_149","OTHER_150_to_199","OTHER_200_more","OTHER_TOTAL","MIXED_less25","MIXED_25_to_34","MIXED_35_to_49","MIXED_50_to_74","MIXED_75_to_99","MIXED_100_to_149","MIXED_150_to_199","MIXED_200_more","MIXED_TOTAL","W_NOTHISP_less25","W_NOTHISP_25_to_34","W_NOTHISP_35_to_49","W_NOTHISP_50_to_74","W_NOTHISP_75_to_99","W_NOTHISP_100_to_149","W_NOTHISP_150_to_199","W_NOTHISP_200_more","W_NOTHISP_TOTAL","HISP_less25","HISP_25_to_34","HISP_35_to_49","HISP_50_to_74","HISP_75_to_99","HISP_100_to_149","HISP_150_to_199","HISP_200_more","HISP_TOTAL","ALL_less25","ALL_25_to_34","ALL_35_to_49","ALL_50_to_74","ALL_75_to_99","ALL_100_to_149","ALL_150_to_199","ALL_200_more","ALL_TOTAL"
"1","5501","Congressional District 1 (116th Congress), Wisconsin",254010,8719,7765,8939,9935,9756,10993,9985,10692,9994,20650,26536,38117,27529,19381,19974,15045,13749,2067,1469,918,1514,808,807,694,478,500,967,1185,1144,521,290,225,162,1043,22,50,45,41,96,74,70,27,20,151,89,219,13,29,87,10,4273,119,94,111,59,38,200,140,338,159,388,364,514,447,386,299,617,75,0,0,0,21,0,0,19,0,0,0,13,0,4,0,8,10,4314,130,226,79,388,184,247,398,149,289,399,593,455,416,162,140,59,3591,337,203,204,142,214,251,108,194,160,203,371,531,283,165,150,75,240678,8209,7427,8401,9319,8942,10003,9366,10098,9238,19503,24648,36265,26332,18796,19438,14693,19073,809,661,720,1022,1110,1462,1016,894,1057,1717,2627,2505,1646,733,708,386,35358,20749,30671,47186,38117,46910,19974,15045,254010,5968,1615,1672,2152,1144,811,225,162,13749,158,170,117,240,219,42,87,10,1043,383,238,637,752,514,833,299,617,4273,21,0,19,13,0,4,8,10,75,823,431,836,992,455,578,140,59,4314,886,465,462,574,531,448,150,75,3591,33356,18945,28702,44151,36265,45128,19438,14693,240678,3212,2572,2967,4344,2505,2379,708,386,19073,80165,45185,66083,100404,79750,97133,41029,31057,540806
"2","5505","Congressional District 5 (116th Congress), Wisconsin",276315,9438,7693,9079,10796,10179,10717,10509,11611,10405,19936,28240,40417,32377,20445,23094,21379,6476,664,532,423,343,483,306,403,342,333,668,638,387,369,266,198,121,788,16,66,62,40,64,7,0,29,16,153,100,107,49,29,27,23,6792,184,146,106,113,108,99,132,150,106,391,539,989,800,749,899,1281,76,3,0,0,0,0,38,10,0,0,0,0,17,0,8,0,0,2677,111,84,80,84,164,224,86,129,265,303,525,375,74,53,71,49,3031,112,157,154,65,107,177,61,132,158,268,398,377,283,241,224,117,268288,8927,7334,8820,10296,9852,10263,9955,11172,10053,19270,27558,39260,31602,20046,22815,21065,11544,704,527,384,686,565,699,689,578,662,1054,1229,1599,882,489,406,391,37006,20896,32525,48176,40417,52822,23094,21379,276315,1962,789,1078,1306,387,635,198,121,6476,184,71,45,253,107,78,27,23,788,549,207,388,930,989,1549,899,1281,6792,3,38,10,0,17,8,0,0,76,359,388,480,828,375,127,71,49,2677,488,284,351,666,377,524,224,117,3031,35377,20115,31180,46828,39260,51648,22815,21065,268288,2301,1264,1929,2283,1599,1371,406,391,11544,78229,44052,67986,101270,83528,108762,47734,44426,575987
"3","5502","Congressional District 2 (116th Congress), Wisconsin",280705,10050,8878,9722,10187,11110,11621,10759,11711,11233,21312,30177,40517,31536,20947,20941,20004,12190,1283,1081,827,831,1284,843,769,542,386,789,1528,851,453,263,305,155,1117,27,33,33,86,80,67,54,119,43,69,168,107,79,49,47,56,11938,1362,432,393,621,344,381,329,299,333,544,1229,1928,1280,668,841,954,105,7,6,0,0,0,0,0,6,0,10,14,43,11,0,0,8,3887,160,86,209,247,180,184,367,202,334,278,670,391,307,124,68,80,4137,445,157,147,234,141,204,120,243,156,207,401,644,284,212,314,228,272054,9567,8518,9246,9696,10548,10955,10227,11143,10822,20683,29338,39675,30745,20585,20645,19661,13197,747,507,719,767,772,921,878,795,783,963,1633,1350,1054,476,403,429,38837,22731,33703,51489,40517,52483,20941,20004,280705,4022,2127,1697,2317,851,716,305,155,12190,179,147,216,237,107,128,47,56,1117,2808,725,961,1773,1928,1948,841,954,11938,13,0,6,24,43,11,0,8,105,702,364,903,948,391,431,68,80,3887,983,345,519,608,644,496,314,228,4137,37027,21503,32192,50021,39675,51330,20645,19661,272054,2740,1693,2456,2596,1350,1530,403,429,13197,87311,49635,72653,110013,85506,109073,43564,41575,599330
"4","5503","Congressional District 3 (116th Congress), Wisconsin",278590,11983,13948,13487,13404,13785,14260,13705,13505,11819,24362,31700,40411,26024,14765,11996,9436,1752,198,239,96,73,29,152,56,164,119,74,163,121,138,36,9,85,1428,65,173,132,91,72,64,59,71,32,116,202,197,47,58,29,20,4109,234,247,49,149,114,200,152,190,218,427,600,524,352,169,245,239,61,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,1639,90,51,26,72,134,61,159,109,179,162,257,204,56,27,16,36,2184,194,155,108,133,30,188,85,125,172,235,344,186,69,64,26,70,275858,11804,13828,13334,13254,13516,13938,13606,13346,11675,24145,31521,40139,25857,14611,11878,9406,4555,264,211,183,274,413,392,270,276,325,389,450,454,235,206,136,77,52822,28045,39029,56062,40411,40789,11996,9436,278590,606,181,339,237,121,174,9,85,1752,461,136,162,318,197,105,29,20,1428,679,314,560,1027,524,521,245,239,4109,1,0,0,0,0,60,0,0,61,239,195,447,419,204,83,16,36,1639,590,218,382,579,186,133,26,70,2184,52220,27454,38627,55666,40139,40468,11878,9406,275858,932,805,871,839,454,441,136,77,4555,108550,57348,80417,115147,82236,82774,24335,19369,570176
"5","5504","Congressional District 4 (116th Congress), Wisconsin",157645,9230,7475,7503,7731,7413,8127,7209,7223,6395,12874,16801,21910,13691,8741,8081,7241,91010,13112,10590,7744,7301,6134,5497,5882,4848,4379,5457,6991,6205,3485,1708,1082,595,1525,158,86,141,148,59,121,50,85,79,65,149,152,76,28,110,18,8239,795,449,494,420,235,571,300,468,237,665,996,904,607,360,447,291,98,8,11,14,0,0,7,13,3,0,0,0,17,15,0,10,0,15017,1703,992,1119,1051,864,1123,1005,922,718,1498,1503,1391,693,201,109,125,6080,679,360,387,386,227,475,267,386,277,483,659,522,431,215,173,153,139351,7748,6271,6381,6357,6229,6785,5843,6225,5638,11382,15017,19744,12776,8290,7663,7002,35426,3388,2406,2420,2606,2083,2660,2493,2143,1570,3087,3508,3682,1741,678,583,378,31939,15540,20827,29675,21910,22432,8081,7241,157645,38747,11631,15109,12448,6205,5193,1082,595,91010,533,180,214,214,152,104,110,18,1525,2158,806,1005,1661,904,967,447,291,8239,33,7,16,0,17,15,10,0,98,4865,1987,2645,3001,1391,894,109,125,15017,1812,702,930,1142,522,646,173,153,6080,26757,13014,17706,26399,19744,21066,7663,7002,139351,10820,4743,6206,6595,3682,2419,583,378,35426,117664,48610,64658,81135,54527,53736,18258,15803,454391
"6","5507","Congressional District 7 (116th Congress), Wisconsin",287517,12408,13699,12860,13905,13884,15252,14582,13817,12663,24112,32353,42497,26839,15045,12942,10659,1284,88,112,78,74,177,69,27,167,121,109,65,68,30,37,36,26,5853,704,600,494,643,267,242,296,237,298,450,541,558,227,125,80,91,2953,95,64,111,112,108,66,123,154,61,166,362,554,304,176,160,337,106,7,0,0,0,7,15,19,0,0,56,0,2,0,0,0,0,849,38,0,41,79,37,99,118,44,80,100,49,94,37,20,9,4,3110,214,220,199,230,234,138,168,143,170,236,320,358,242,70,99,69,284426,12177,13567,12771,13585,13718,14942,14452,13618,12487,23868,32081,42087,26668,14945,12862,10598,4261,306,166,174,446,236,426,258,258,264,377,339,524,231,104,89,63,52872,29136,41062,56465,42497,41884,12942,10659,287517,352,246,315,174,68,67,36,26,1284,2441,509,831,991,558,352,80,91,5853,382,174,338,528,554,480,160,337,2953,7,22,19,56,2,0,0,0,106,158,136,242,149,94,57,9,4,849,863,372,481,556,358,312,99,69,3110,52100,28660,40557,55949,42087,41613,12862,10598,284426,1092,662,780,716,524,335,89,63,4261,110267,59917,84625,115584,86742,85100,26277,21847,590359
"7","5506","Congressional District 6 (116th Congress), Wisconsin",282613,10513,10894,12029,13415,12802,14068,12808,14045,12244,24097,31555,43152,28295,16335,14099,12262,2812,166,243,234,268,450,214,122,126,133,166,127,227,83,33,87,133,1089,62,31,20,49,70,66,11,32,59,67,155,158,90,106,69,44,4758,194,260,151,76,186,260,249,138,208,250,512,917,544,172,438,203,66,0,0,6,35,3,0,0,0,11,5,6,0,0,0,0,0,1723,55,44,66,39,99,232,153,56,98,29,262,308,163,69,6,44,2664,75,192,158,88,210,171,103,110,133,244,289,387,189,67,59,189,276281,10249,10588,11740,12971,12409,13658,12443,13732,11942,23375,30799,42291,27896,16215,13864,12109,8404,332,348,419,503,518,641,518,382,430,818,1056,1185,602,212,241,199,46851,26870,39097,55652,43152,44630,14099,12262,282613,911,664,381,293,227,116,87,133,2812,162,136,102,222,158,196,69,44,1089,681,446,595,762,917,716,438,203,4758,41,3,11,11,0,0,0,0,66,204,331,307,291,308,232,6,44,1723,513,381,346,533,387,256,59,189,2664,45548,26067,38117,54174,42291,44111,13864,12109,276281,1602,1159,1330,1874,1185,814,241,199,8404,96513,56057,80286,113812,88625,91071,28863,25183,580410
"8","5508","Congressional District 8 (116th Congress), Wisconsin",279223,10196,10526,12105,11707,12817,13087,12115,12933,11487,23795,31523,41540,29687,17499,16278,11928,2863,382,267,298,189,246,161,129,114,55,138,437,303,92,15,35,2,6296,560,473,362,447,346,453,418,478,154,560,699,589,393,144,88,132,4470,138,90,172,269,143,119,83,196,388,216,567,846,434,234,254,321,24,10,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,3970,290,291,261,179,456,232,218,183,414,359,406,323,186,99,19,54,3247,258,238,179,162,180,182,114,202,145,362,298,390,344,102,44,47,273785,10101,10302,11852,11413,12524,12723,11828,12605,11191,23000,30809,40850,29470,17189,16060,11868,9837,409,539,545,559,753,566,522,577,764,1245,1136,1009,451,422,237,103,44534,25904,36535,55318,41540,47186,16278,11928,279223,1136,407,298,575,303,107,35,2,2863,1842,799,1050,1259,589,537,88,132,6296,669,262,667,783,846,668,254,321,4470,10,0,6,0,0,8,0,0,24,1021,688,815,765,323,285,19,54,3970,837,362,461,660,390,446,44,47,3247,43668,25247,35624,53809,40850,46659,16060,11868,273785,2052,1319,1863,2381,1009,873,237,103,9837,95769,54988,77319,115550,85850,96769,33015,24455,583715
