"","GEOID","NAME","all_over18","hisp_over18","white_over18","baa_over18","amin_over18","asian_over18","nhpi_over18","other_over18","multi_over18","summary_value"
"1","5501","Congressional District 1 (116th Congress), Wisconsin",533305,50544,469580,30019,2522,10893,189,20102,33731,727452
"2","5503","Congressional District 3 (116th Congress), Wisconsin",559945,15356,529823,7101,4011,11980,208,6822,17944,733584
"3","5504","Congressional District 4 (116th Congress), Wisconsin",483537,83564,253880,162479,4373,24095,240,38470,42613,695395
"4","5506","Congressional District 6 (116th Congress), Wisconsin",555208,24681,515536,12545,2958,13223,121,10825,20611,727774
"5","5508","Congressional District 8 (116th Congress), Wisconsin",560269,27830,512709,8718,13443,11787,229,13383,23599,751967
"6","5502","Congressional District 2 (116th Congress), Wisconsin",593053,38400,515433,26052,2977,29938,261,18392,31454,789393
"7","5505","Congressional District 5 (116th Congress), Wisconsin",553406,32456,509393,12785,2280,16831,179,11938,26459,735571
"8","5507","Congressional District 7 (116th Congress), Wisconsin",558708,11238,530678,3910,10727,8086,230,5077,18458,732582
