"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","WHITE_TOTAL","WHITE_FEMALE","WHITE_MALE","WHITE_LESS_HS_TOTAL","WHITE_HS_TOTAL","WHITE_SOME_COLLEGE_TOTAL","WHITE_COLLEGE_TOTAL","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","AI_AN_TOTAL","AI_AN_FEMALE","AI_AN_MALE","AI_AN_LESS_HS_TOTAL","AI_AN_HS_TOTAL","AI_AN_SOME_COLLEGE_TOTAL","AI_AN_COLLEGE_TOTAL","ASIAN_TOTAL","ASIAN_FEMALE","ASIAN_MALE","ASIAN_LESS_HS_TOTAL","ASIAN_HS_TOTAL","ASIAN_SOME_COLLEGE_TOTAL","ASIAN_COLLEGE_TOTAL","NHPI_TOTAL","NHPI_FEMALE","NHPI_MALE","NHPI_LESS_HS_TOTAL","NHPI_HS_TOTAL","NHPI_SOME_COLLEGE_TOTAL","NHPI_COLLEGE_TOTAL","OTHER_TOTAL","OTHER_FEMALE","OTHER_MALE","OTHER_LESS_HS_TOTAL","OTHER_HS_TOTAL","OTHER_SOME_COLLEGE_TOTAL","OTHER_COLLEGE_TOTAL","MIXED_TOTAL","MIXED_FEMALE","MIXED_MALE","MIXED_LESS_HS_TOTAL","MIXED_HS_TOTAL","MIXED_SOME_COLLEGE_TOTAL","MIXED_COLLEGE_TOTAL","W_NOTHISP_TOTAL","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_LESS_HS_TOTAL","W_NOTHISP_HS_TOTAL","W_NOTHISP_SOME_COLLEGE_TOTAL","W_NOTHISP_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","ALL_TOTAL","ALL_FEMALE_TOTAL","ALL_MALE","ALL_LESS_HS_TOTAL","ALL_HS_TOTAL","ALL_SOME_COLLEGE_TOTAL","ALL_COLLEGE_TOTAL"
"1","5501","Congressional District 1 (116th Congress), Wisconsin",218435,17276,68353,70244,62562,228577,12929,68325,76570,70753,11772,2825,4392,3595,960,11555,1606,3620,4444,1885,1015,203,318,333,161,1093,97,411,360,225,4524,416,771,1057,2280,5350,710,992,972,2676,69,5,42,9,13,109,10,19,17,63,4540,1460,1591,837,652,4006,1594,892,917,603,2888,391,822,998,677,3181,306,813,1267,795,205358,13294,64049,67217,60798,216254,10004,64890,72684,68676,18563,5680,6125,4338,2420,17394,4606,4650,5354,2784,447012,228577,218435,30205,136678,146814,133315,23327,11555,11772,4431,8012,8039,2845,2108,1093,1015,300,729,693,386,9874,5350,4524,1126,1763,2029,4956,178,109,69,15,61,26,76,8546,4006,4540,3054,2483,1754,1255,6069,3181,2888,697,1635,2265,1472,421612,216254,205358,23298,128939,139901,129474,35957,17394,18563,10286,10775,9692,5204,954683,487519,467164,73412,291075,311213,278983
"2","5505","Congressional District 5 (116th Congress), Wisconsin",229430,12254,63369,69965,83842,244725,10747,65712,74930,93336,5304,485,1415,2244,1160,5444,670,1127,2225,1422,569,79,139,189,162,826,87,196,313,230,6872,333,783,778,4978,7289,552,831,1012,4894,70,19,3,37,11,71,40,0,7,24,2849,808,1188,628,225,2382,717,598,685,382,2430,109,723,712,886,2981,134,507,1159,1181,221845,10224,60931,68178,82512,237034,9290,63706,72685,91353,10915,2922,3746,2599,1648,10836,2308,2749,3183,2596,474155,244725,229430,23001,129081,144895,177178,10748,5444,5304,1155,2542,4469,2582,1395,826,569,166,335,502,392,14161,7289,6872,885,1614,1790,9872,141,71,70,59,3,44,35,5231,2382,2849,1525,1786,1313,607,5411,2981,2430,243,1230,1871,2067,458879,237034,221845,19514,124637,140863,173865,21751,10836,10915,5230,6495,5782,4244,991872,511588,480284,51778,267723,301529,370842
"3","5502","Congressional District 2 (116th Congress), Wisconsin",221593,11744,54890,62694,92265,230775,9495,51772,68716,100792,9717,1108,3504,3081,2024,9518,1189,2155,3939,2235,971,52,321,386,212,914,129,192,370,223,9206,833,972,1117,6284,10180,928,1165,1234,6853,105,17,45,24,19,80,0,48,14,18,4308,1451,1482,758,617,3681,1147,1094,766,674,3356,303,413,849,1791,3477,389,545,901,1642,213673,9967,52699,60666,90341,223476,8091,50158,66715,98512,12663,3460,3757,2872,2574,11460,2689,2732,2991,3048,452368,230775,221593,21239,106662,131410,193057,19235,9518,9717,2297,5659,7020,4259,1885,914,971,181,513,756,435,19386,10180,9206,1761,2137,2351,13137,185,80,105,17,93,38,37,7989,3681,4308,2598,2576,1524,1291,6833,3477,3356,692,958,1750,3433,437149,223476,213673,18058,102857,127381,188853,24123,11460,12663,6149,6489,5863,5622,969153,493561,475592,52992,227944,278093,410124
"4","5503","Congressional District 3 (116th Congress), Wisconsin",225406,16857,80353,74404,53792,227623,13182,71221,78155,65065,3855,842,1269,1365,379,1216,179,341,348,348,1301,237,405,565,94,1289,61,567,430,231,3901,556,794,1163,1388,4699,1002,1023,1172,1502,209,1,122,75,11,124,2,21,67,34,2125,894,589,381,261,1245,489,195,386,175,1969,123,652,801,393,2050,222,488,864,476,222603,16169,79417,73669,53348,225197,12653,70526,77408,64610,5010,1588,1586,1134,702,3895,1073,1000,1174,648,453029,227623,225406,30039,151574,152559,118857,5071,1216,3855,1021,1610,1713,727,2590,1289,1301,298,972,995,325,8600,4699,3901,1558,1817,2335,2890,333,124,209,3,143,142,45,3370,1245,2125,1383,784,767,436,4019,2050,1969,345,1140,1665,869,447800,225197,222603,28822,149943,151077,117958,8905,3895,5010,2661,2586,2308,1350,933717,467338,466379,66130,310569,313561,243457
"5","5504","Congressional District 4 (116th Congress), Wisconsin",125797,12495,32805,35014,45483,133843,11488,33686,35074,53595,58390,11066,23302,18523,5499,79084,11817,25915,28740,12612,1266,157,563,455,91,1366,161,425,420,360,8269,2044,1879,1458,2888,8420,2544,1606,1657,2613,81,15,11,25,30,113,27,23,24,39,14229,6072,4734,2610,813,12949,5021,4002,2882,1044,4335,416,1398,1410,1111,5020,555,956,1672,1837,109479,6580,27288,31751,43860,117452,6413,28994,30969,51076,32352,12285,11060,6307,2700,30884,10557,8875,7530,3922,259640,133843,125797,23983,66491,70088,99078,137474,79084,58390,22883,49217,47263,18111,2632,1366,1266,318,988,875,451,16689,8420,8269,4588,3485,3115,5501,194,113,81,42,34,49,69,27178,12949,14229,11093,8736,5492,1857,9355,5020,4335,971,2354,3082,2948,226931,117452,109479,12993,56282,62720,94936,63236,30884,32352,22842,19935,13837,6622,743329,389131,354198,99713,207522,206521,229573
"6","5507","Congressional District 7 (116th Congress), Wisconsin",239061,20718,87784,77043,53516,240683,14960,79417,85113,61193,2076,273,616,885,302,1015,283,184,399,149,4411,693,1718,1603,397,4273,486,1377,1814,596,3071,346,773,919,1033,3662,715,817,970,1160,81,15,17,39,10,133,26,21,82,4,1113,563,231,229,90,752,364,132,162,94,2513,296,812,1138,267,2618,197,550,1179,692,236157,19844,87029,76211,53073,237899,14208,78772,84220,60699,4285,1470,1071,1224,520,3796,1137,878,1159,622,479744,240683,239061,35678,167201,162156,114709,3091,1015,2076,556,800,1284,451,8684,4273,4411,1179,3095,3417,993,6733,3662,3071,1061,1590,1889,2193,214,133,81,41,38,121,14,1865,752,1113,927,363,391,184,5131,2618,2513,493,1362,2317,959,474056,237899,236157,34052,165801,160431,113772,8081,3796,4285,2607,1949,2383,1142,987599,494831,492768,76594,342199,334389,234417
"7","5506","Congressional District 6 (116th Congress), Wisconsin",232844,17948,82977,73073,58846,237195,14004,79120,77456,66615,5423,1341,2037,1409,636,2157,344,616,763,434,1366,215,494,446,211,996,66,283,437,210,4921,709,1242,1261,1709,5285,956,1187,1270,1872,67,0,16,33,18,125,55,14,50,6,1947,763,593,458,133,1647,531,512,378,226,2613,221,999,778,615,1931,126,601,630,574,226519,16006,80861,71668,57984,231939,12703,77678,75744,65814,8691,2769,2933,1960,1029,7187,1912,2007,2191,1077,470039,237195,232844,31952,162097,150529,125461,7580,2157,5423,1685,2653,2172,1070,2362,996,1366,281,777,883,421,10206,5285,4921,1665,2429,2531,3581,192,125,67,55,30,83,24,3594,1647,1947,1294,1105,836,359,4544,1931,2613,347,1600,1408,1189,458458,231939,226519,28709,158539,147412,123798,15878,7187,8691,4681,4940,4151,2106,972853,488462,484391,70669,334170,310005,258009
"8","5508","Congressional District 8 (116th Congress), Wisconsin",230173,16550,81035,73855,58733,236359,12535,78247,77645,67932,3494,663,1324,994,513,2296,353,583,902,458,5004,727,1923,1577,777,5615,550,2113,2088,864,4467,643,1102,1012,1710,5293,1163,1132,992,2006,7,0,1,1,5,71,12,16,14,29,3828,1653,1151,829,195,3104,1364,742,756,242,2796,366,808,988,634,2808,251,769,1016,772,224775,14535,79600,72594,58046,231630,11102,77178,76278,67072,9599,3710,2710,2272,907,8499,2922,2007,2355,1215,466532,236359,230173,29085,159282,151500,126665,5790,2296,3494,1016,1907,1896,971,10619,5615,5004,1277,4036,3665,1641,9760,5293,4467,1806,2234,2004,3716,78,71,7,12,17,15,34,6932,3104,3828,3017,1893,1585,437,5604,2808,2796,617,1577,2004,1406,456405,231630,224775,25637,156778,148872,125118,18098,8499,9599,6632,4717,4627,2122,979818,495675,484143,69099,332441,316168,262110
