"","GEOID","full_geoid","male_white_age18to19","male_white_age20to24","male_white_age25to29","male_white_age30to34","male_white_age35to44","male_white_age45to54","male_white_age55to64","male_white_age65to74","male_white_age75to84","male_white_age85over","female_white_age18to19","female_white_age20to24","female_white_age25to29","female_white_age30to34","female_white_age35to44","female_white_age45to54","female_white_age55to64","female_white_age65to74","female_white_age75to84","female_white_age85over","male_black_age18to19","male_black_age20to24","male_black_age25to29","male_black_age30to34","male_black_age35to44","male_black_age45to54","male_black_age55to64","male_black_age65to74","male_black_age75to84","male_black_age85over","female_black_age18to19","female_black_age20to24","female_black_age25to29","female_black_age30to34","female_black_age35to44","female_black_age45to54","female_black_age55to64","female_black_age65to74","female_black_age75to84","female_black_age85over","male_aian_age18to19","male_aian_age20to24","male_aian_age25to29","male_aian_age30to34","male_aian_age35to44","male_aian_age45to54","male_aian_age55to64","male_aian_age65to74","male_aian_age75to84","male_aian_age85over","female_aian_age18to19","female_aian_age20to24","female_aian_age25to29","female_aian_age30to34","female_aian_age35to44","female_aian_age45to54","female_aian_age55to64","female_aian_age65to74","female_aian_age75to84","female_aian_age85over","male_asian_age18to19","male_asian_age20to24","male_asian_age25to29","male_asian_age30to34","male_asian_age35to44","male_asian_age45to54","male_asian_age55to64","male_asian_age65to74","male_asian_age75to84","male_asian_age85over","female_asian_age18to19","female_asian_age20to24","female_asian_age25to29","female_asian_age30to34","female_asian_age35to44","female_asian_age45to54","female_asian_age55to64","female_asian_age65to74","female_asian_age75to84","female_asian_age85over","male_nhpi_age18to19","male_nhpi_age20to24","male_nhpi_age25to29","male_nhpi_age30to34","male_nhpi_age35to44","male_nhpi_age45to54","male_nhpi_age55to64","male_nhpi_age65to74","male_nhpi_age75to84","male_nhpi_age85over","female_nhpi_age18to19","female_nhpi_age20to24","female_nhpi_age25to29","female_nhpi_age30to34","female_nhpi_age35to44","female_nhpi_age45to54","female_nhpi_age55to64","female_nhpi_age65to74","female_nhpi_age75to84","female_nhpi_age85over","male_other_age18to19","male_other_age20to24","male_other_age25to29","male_other_age30to34","male_other_age35to44","male_other_age45to54","male_other_age55to64","male_other_age65to74","male_other_age75to84","male_other_age85over","female_other_age18to19","female_other_age20to24","female_other_age25to29","female_other_age30to34","female_other_age35to44","female_other_age45to54","female_other_age55to64","female_other_age65to74","female_other_age75to84","female_other_age85over","male_mixed_age18to19","male_mixed_age20to24","male_mixed_age25to29","male_mixed_age30to34","male_mixed_age35to44","male_mixed_age45to54","male_mixed_age55to64","male_mixed_age65to74","male_mixed_age75to84","male_mixed_age85over","female_mixed_age18to19","female_mixed_age20to24","female_mixed_age25to29","female_mixed_age30to34","female_mixed_age35to44","female_mixed_age45to54","female_mixed_age55to64","female_mixed_age65to74","female_mixed_age75to84","female_mixed_age85over","male_w_nothisp_age18to19","male_w_nothisp_age20to24","male_w_nothisp_age25to29","male_w_nothisp_age30to34","male_w_nothisp_age35to44","male_w_nothisp_age45to54","male_w_nothisp_age55to64","male_w_nothisp_age65to74","male_w_nothisp_age75to84","male_w_nothisp_age85over","female_w_nothisp_age18to19","female_w_nothisp_age20to24","female_w_nothisp_age25to29","female_w_nothisp_age30to34","female_w_nothisp_age35to44","female_w_nothisp_age45to54","female_w_nothisp_age55to64","female_w_nothisp_age65to74","female_w_nothisp_age75to84","female_w_nothisp_age85over","male_hisp_age18to19","male_hisp_age20to24","male_hisp_age25to29","male_hisp_age30to34","male_hisp_age35to44","male_hisp_age45to54","male_hisp_age55to64","male_hisp_age65to74","male_hisp_age75to84","male_hisp_age85over","female_hisp_age18to19","female_hisp_age20to24","female_hisp_age25to29","female_hisp_age30to34","female_hisp_age35to44","female_hisp_age45to54","female_hisp_age55to64","female_hisp_age65to74","female_hisp_age75to84","female_hisp_age85over","WHITE_FEMALE","WHITE_MALE","WHITE_TOTAL","WHITE_18_to_24","WHITE_25_to_34","WHITE_35_to_44","WHITE_45_to_54","WHITE_55_to_64","WHITE_65_over","BLACK_FEMALE","BLACK_MALE","BLACK_TOTAL","BLACK_18_to_24","BLACK_25_to_34","BLACK_35_to_44","BLACK_45_to_54","BLACK_55_to_64","BLACK_65_over","AI_AN_FEMALE","AI_AN_MALE","AI_AN_TOTAL","AI_AN_18_to_24","AI_AN_25_to_34","AI_AN_35_to_44","AI_AN_45_to_54","AI_AN_55_to_64","AI_AN_65_over","ASIAN_FEMALE","ASIAN_MALE","ASIAN_TOTAL","ASIAN_18_to_24","ASIAN_25_to_34","ASIAN_35_to_44","ASIAN_45_to_54","ASIAN_55_to_64","ASIAN_65_over","NHPI_FEMALE","NHPI_MALE","NHPI_TOTAL","NHPI_18_to_24","NHPI_25_to_34","NHPI_35_to_44","NHPI_45_to_54","NHPI_55_to_64","NHPI_65_over","OTHER_FEMALE","OTHER_MALE","OTHER_TOTAL","OTHER_18_to_24","OTHER_25_to_34","OTHER_35_to_44","OTHER_45_to_54","OTHER_55_to_64","OTHER_65_over","MIXED_FEMALE","MIXED_MALE","MIXED_TOTAL","MIXED_18_to_24","MIXED_25_to_34","MIXED_35_to_44","MIXED_45_to_54","MIXED_55_to_64","MIXED_65_over","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_TOTAL","W_NOTHISP_18_to_24","W_NOTHISP_25_to_34","W_NOTHISP_35_to_44","W_NOTHISP_45_to_54","W_NOTHISP_55_to_64","W_NOTHISP_65_over","HISP_FEMALE","HISP_MALE","HISP_TOTAL","HISP_18_to_24","HISP_25_to_34","HISP_35_to_44","HISP_45_to_54","HISP_55_to_64","HISP_65_over","ALL_FEMALE","ALL_MALE","ALL_TOTAL","ALL_18_to_24","ALL_25_to_34","ALL_35_to_44","ALL_45_to_54","ALL_55_to_64","ALL_65_over"
"1","5501","Congressional District 1 (116th Congress), Wisconsin",7125,17179,17934,17919,38030,45970,48624,30925,14365,4668,6125,16903,16309,18227,37975,45805,50080,33402,17871,8908,726,2182,2011,1246,3094,2439,1744,792,385,61,655,1656,1752,1524,2504,2174,1893,1046,463,199,726,2182,2011,1246,3094,2439,1744,792,385,61,655,1656,1752,1524,2504,2174,1893,1046,463,199,160,436,628,967,1055,828,528,406,106,6,113,280,830,841,1227,950,700,509,236,57,0,0,20,0,4,19,21,5,0,0,0,12,8,0,29,53,9,0,10,0,202,592,464,443,1593,1122,604,182,117,15,344,511,506,403,1264,944,555,191,135,8,374,803,817,474,520,323,394,245,78,37,363,660,623,488,808,495,425,230,82,30,6195,14903,16239,16132,34448,42881,46738,30205,14133,4582,5315,14861,14622,16485,34525,43353,48402,32539,17596,8732,1307,3052,2571,2374,5347,4273,2569,1017,298,114,1286,2809,2403,2375,5010,3625,2327,1152,318,184,201525,194115,395640,47332,70389,76005,91775,98704,110139,11973,12936,24909,5219,6533,5598,4613,3637,2946,11973,12936,24909,5219,6533,5598,4613,3637,2946,5043,4592,9635,989,3266,2282,1778,1228,1320,112,48,160,12,28,33,72,30,15,4306,4730,9036,1649,1816,2857,2066,1159,648,3779,3671,7450,2200,2402,1328,818,819,702,188028,179718,367746,41274,63478,68973,86234,95140,107787,19162,20353,39515,8454,9723,10357,7898,4896,3083,445901,433099,879000,112348,164168,173031,199867,209250,229586
"2","5505","Congressional District 5 (116th Congress), Wisconsin",8046,19180,19480,20285,40610,45165,50193,32000,15466,6231,7764,18103,17360,20184,39640,46583,51623,36013,20569,12753,310,824,913,882,1291,838,633,614,123,10,393,924,672,676,1274,1125,712,637,231,117,310,824,913,882,1291,838,633,614,123,10,393,924,672,676,1274,1125,712,637,231,117,171,613,845,1150,2150,1286,701,490,240,10,212,517,790,1341,2035,1380,917,437,284,105,0,30,10,17,10,0,20,3,10,0,9,93,0,0,0,45,0,16,0,10,135,397,300,589,846,676,195,180,58,5,217,419,439,488,517,411,292,85,136,14,278,466,499,368,608,482,365,80,28,0,337,557,575,365,628,744,368,216,54,31,7497,18013,18417,19305,38229,43656,49298,31488,15310,6142,7115,16919,16418,18988,37362,45136,50629,35487,20378,12636,693,1724,1505,1715,3207,2277,1177,721,219,94,943,1791,1475,1765,3000,2005,1439,675,346,131,218969,206463,425432,53093,77309,80250,91748,101816,123032,6049,5805,11854,2451,3143,2565,1963,1345,1732,6049,5805,11854,2451,3143,2565,1963,1345,1732,7101,6955,14056,1513,4126,4185,2666,1618,1566,173,80,253,132,27,10,45,20,39,2726,3186,5912,1168,1816,1363,1087,487,478,3507,2809,6316,1638,1807,1236,1226,733,409,210439,198057,408496,49544,73128,75591,88792,99927,121441,12131,12155,24286,5151,6460,6207,4282,2616,2186,467144,441315,908459,117141,170959,173972,193772,209907,252615
"3","5502","Congressional District 2 (116th Congress), Wisconsin",8933,27798,23669,23131,41440,42153,43698,30085,12973,4444,9200,27811,21577,22124,40520,42963,45932,32719,15880,9060,725,1930,1547,1132,2540,2019,1570,675,186,48,685,1938,1428,1456,2149,1916,1449,715,328,77,725,1930,1547,1132,2540,2019,1570,675,186,48,685,1938,1428,1456,2149,1916,1449,715,328,77,718,3382,1930,1694,2462,1532,883,470,189,46,671,2795,2086,1743,2678,1759,1000,627,178,109,10,35,40,2,0,18,26,12,0,7,2,7,4,11,3,2,38,4,18,0,300,609,687,699,1598,716,527,56,15,10,149,325,487,705,1379,565,412,64,67,2,536,959,803,856,918,350,240,107,47,35,490,1064,1130,522,905,350,310,112,137,11,8384,26244,22351,21727,38981,40714,42879,29770,12822,4429,8576,26275,20398,21026,38427,41448,45201,32294,15653,9029,1001,2257,2090,2218,4212,2206,1348,391,166,32,953,2050,1824,2005,3572,2092,1161,474,299,33,221854,214626,436480,73742,90501,81960,85116,89630,105161,10692,10802,21494,5278,5563,4689,3935,3019,2029,10692,10802,21494,5278,5563,4689,3935,3019,2029,12646,12423,25069,7566,7453,5140,3291,1883,1619,51,124,175,54,57,3,20,64,41,3743,4690,8433,1383,2578,2977,1281,939,214,4721,4611,9332,3049,3311,1823,700,550,449,213126,205422,418548,69479,85502,77408,82162,88080,103997,13302,14573,27875,6261,8137,7784,4298,2509,1395,490827,478073,968900,172090,208665,186473,184738,189693,216934
"4","5503","Congressional District 3 (116th Congress), Wisconsin",12010,30406,20042,19611,38188,42756,48275,34304,16674,5556,12623,30100,18065,18443,35997,41249,48239,35107,19303,11220,279,841,803,717,984,668,479,172,27,5,384,318,133,310,208,230,189,58,80,8,279,841,803,717,984,668,479,172,27,5,384,318,133,310,208,230,189,58,80,8,413,1047,854,778,1029,573,376,198,38,55,348,1170,941,981,1083,683,579,326,90,16,0,4,107,0,61,9,14,15,3,0,5,49,62,0,34,10,15,2,0,1,67,369,330,383,754,239,212,195,9,3,84,159,307,171,424,198,85,52,0,8,330,618,242,473,417,317,266,174,71,9,326,533,317,276,508,384,336,164,49,16,11671,29717,19645,19086,37324,42236,47999,34169,16602,5542,12299,29660,17573,18034,35267,40927,47970,35001,19221,11204,459,1122,709,1015,1582,774,512,318,86,14,457,665,838,606,1245,560,378,142,101,25,222107,219547,441654,85139,76161,74185,84005,96514,122164,1729,4496,6225,1822,1963,1192,898,668,350,1729,4496,6225,1822,1963,1192,898,668,350,5638,4985,10623,2978,3554,2112,1256,955,723,163,199,362,58,169,95,19,29,21,1403,2349,3752,679,1191,1178,437,297,267,2573,2651,5224,1807,1308,925,701,602,483,219186,215992,435178,83347,74338,72591,83163,95969,121739,4639,6079,10718,2703,3168,2827,1334,890,686,459167,460794,919961,180355,163815,156297,172711,196592,246783
"5","5504","Congressional District 4 (116th Congress), Wisconsin",5793,13166,16195,14869,23177,22426,23844,15641,6527,3118,5929,13158,17033,14127,23048,21811,24788,17116,9445,6475,3683,9150,8767,6438,11426,12277,10960,5669,2231,622,3532,10228,11162,9374,16533,15168,14174,7755,3529,1389,3683,9150,8767,6438,11426,12277,10960,5669,2231,622,3532,10228,11162,9374,16533,15168,14174,7755,3529,1389,422,1594,1856,1438,2125,1281,884,490,174,21,533,1570,1837,1334,2017,1418,927,608,151,128,0,15,0,0,13,31,15,15,0,7,0,0,0,6,29,7,45,3,0,23,848,1898,2116,2369,4413,2687,1703,709,154,78,666,1981,2041,1795,3648,3071,1399,604,255,136,693,1549,1050,886,975,557,588,220,21,38,427,1021,1174,920,1188,896,472,275,54,41,4591,10701,13776,12485,18580,19169,21768,14630,6037,3034,4733,10520,14426,11685,18470,18982,22736,15969,8968,6216,2310,4994,4951,5104,9371,6218,4049,1807,690,162,2058,4962,4988,4627,8638,6008,3668,1813,723,419,128142,120912,249054,38046,62224,46225,44237,48632,58322,78670,60263,138933,26593,35741,27959,27445,25134,21195,78670,60263,138933,26593,35741,27959,27445,25134,21195,9596,9401,18997,4119,6465,4142,2699,1811,1572,68,81,149,15,6,42,38,60,48,14197,15272,29469,5393,8321,8061,5758,3102,1936,5996,5989,11985,3690,4030,2163,1453,1060,649,109969,103003,212972,30545,52372,37050,38151,44504,54854,34236,35607,69843,14324,19670,18009,12226,7717,5614,459544,410791,870335,149318,224570,171610,159452,157154,165385
"6","5507","Congressional District 7 (116th Congress), Wisconsin",6763,16483,16647,17911,37925,45883,54928,40159,19423,6185,6164,15689,15545,17210,36882,44500,54098,39499,22584,10365,246,328,154,246,776,430,360,69,26,15,64,115,136,70,210,274,178,29,49,69,246,328,154,246,776,430,360,69,26,15,64,115,136,70,210,274,178,29,49,69,156,540,545,542,777,632,334,169,52,20,215,543,604,634,987,547,559,212,81,38,0,8,1,15,28,17,16,4,0,0,6,1,56,8,19,8,2,14,4,22,26,132,147,282,396,182,81,10,2,13,12,59,138,175,209,102,118,10,0,0,332,464,286,232,673,507,414,301,72,28,159,435,341,299,551,539,454,260,136,38,6570,16155,16139,17410,37138,45358,54618,39994,19345,6155,5963,15190,15226,16828,36100,43964,53660,39293,22501,10327,246,549,722,780,1305,774,391,190,92,31,268,663,482,547,1136,658,585,218,103,67,208438,207379,415817,45099,67313,74807,90383,109026,138215,1016,2290,3306,753,606,986,704,538,257,1016,2290,3306,753,606,986,704,538,257,3861,3433,7294,1454,2325,1764,1179,893,572,138,73,211,15,80,47,25,18,44,705,1190,1895,229,742,605,284,199,35,2758,2895,5653,1390,1158,1224,1046,868,835,205392,204264,409656,43878,65603,73238,89322,108278,137615,4142,4689,8831,1726,2531,2441,1432,976,701,427466,428503,855969,95297,140964,156098,185079,221334,278531
"7","5506","Congressional District 6 (116th Congress), Wisconsin",8062,20591,18804,19495,39593,46363,51555,34495,16768,5771,7716,20338,16986,18154,37096,44945,51014,36667,20908,11425,283,1093,957,886,1588,998,622,228,140,4,190,466,380,238,472,584,215,181,77,10,283,1093,957,886,1588,998,622,228,140,4,190,466,380,238,472,584,215,181,77,10,269,880,1059,962,1190,877,470,238,92,33,350,814,943,730,1392,973,629,330,205,83,0,8,12,6,26,6,5,0,0,12,0,2,47,0,35,32,11,0,0,0,118,377,324,382,588,383,158,84,14,14,77,311,217,323,536,256,209,45,23,38,343,504,414,478,641,575,266,181,30,28,273,371,364,397,424,348,241,111,41,5,7595,19633,17859,18459,37754,45141,50655,34255,16681,5715,7369,19301,16126,17411,35594,43949,50322,36371,20753,11413,684,1430,1308,1494,2626,1685,1071,336,101,70,464,1365,1114,1094,2120,1356,920,341,195,47,214235,209942,424177,56707,73439,76689,91308,102569,126034,2598,6177,8775,2032,2461,2060,1582,837,640,2598,6177,8775,2032,2461,2060,1582,837,640,5820,5600,11420,2313,3694,2582,1850,1099,981,116,70,186,10,65,61,38,16,12,1826,2284,4110,883,1246,1124,639,367,218,2334,3194,5528,1491,1653,1065,923,507,396,208287,203092,411379,53898,69855,73348,89090,100977,125188,8096,9734,17830,3943,5010,4746,3041,1991,1090,445910,446270,892180,123309,159884,163735,190053,209200,255199
"8","5508","Congressional District 8 (116th Congress), Wisconsin",7317,18661,18981,19754,40530,46486,49925,33216,15856,5425,7114,17868,17935,19409,39101,46299,50170,34711,19457,9277,194,733,781,511,1016,652,389,92,53,0,187,440,408,379,631,364,309,147,41,17,194,733,781,511,1016,652,389,92,53,0,187,440,408,379,631,364,309,147,41,17,189,877,916,914,1080,735,468,208,138,8,233,666,941,1049,1169,1036,533,345,181,39,7,0,0,0,5,2,0,0,0,0,0,23,2,0,29,22,1,7,0,10,154,487,570,781,1159,648,482,71,111,6,103,553,508,471,1101,450,384,103,73,14,360,574,569,325,653,615,408,132,49,45,318,559,401,369,754,601,384,230,58,11,6993,17756,18243,18958,38600,45413,49401,33067,15696,5397,6639,17116,17267,18721,37671,45236,49695,34472,19339,9229,641,1583,1455,1555,3166,1754,1062,273,300,34,730,1390,1287,1226,2619,1758,958,379,200,72,211171,206226,417397,50960,76079,79631,92785,100095,117942,2614,4032,6646,1554,2079,1647,1016,698,350,2614,4032,6646,1554,2079,1647,1016,698,350,5659,5065,10724,1965,3820,2249,1771,1001,919,93,14,107,30,2,34,24,1,17,3376,3987,7363,1297,2330,2260,1098,866,378,3301,3322,6623,1811,1664,1407,1216,792,525,205690,200123,405813,48504,73189,76271,90649,99096,117200,9661,10761,20422,4344,5523,5785,3512,2020,1258,444179,437562,881741,112019,166765,170931,193087,205267,238939
