"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","WHITE_TOTAL","WHITE_FEMALE","WHITE_MALE","WHITE_LESS_HS_TOTAL","WHITE_HS_TOTAL","WHITE_SOME_COLLEGE_TOTAL","WHITE_COLLEGE_TOTAL","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","AI_AN_TOTAL","AI_AN_FEMALE","AI_AN_MALE","AI_AN_LESS_HS_TOTAL","AI_AN_HS_TOTAL","AI_AN_SOME_COLLEGE_TOTAL","AI_AN_COLLEGE_TOTAL","ASIAN_TOTAL","ASIAN_FEMALE","ASIAN_MALE","ASIAN_LESS_HS_TOTAL","ASIAN_HS_TOTAL","ASIAN_SOME_COLLEGE_TOTAL","ASIAN_COLLEGE_TOTAL","NHPI_TOTAL","NHPI_FEMALE","NHPI_MALE","NHPI_LESS_HS_TOTAL","NHPI_HS_TOTAL","NHPI_SOME_COLLEGE_TOTAL","NHPI_COLLEGE_TOTAL","OTHER_TOTAL","OTHER_FEMALE","OTHER_MALE","OTHER_LESS_HS_TOTAL","OTHER_HS_TOTAL","OTHER_SOME_COLLEGE_TOTAL","OTHER_COLLEGE_TOTAL","MIXED_TOTAL","MIXED_FEMALE","MIXED_MALE","MIXED_LESS_HS_TOTAL","MIXED_HS_TOTAL","MIXED_SOME_COLLEGE_TOTAL","MIXED_COLLEGE_TOTAL","W_NOTHISP_TOTAL","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_LESS_HS_TOTAL","W_NOTHISP_HS_TOTAL","W_NOTHISP_SOME_COLLEGE_TOTAL","W_NOTHISP_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","ALL_TOTAL","ALL_FEMALE_TOTAL","ALL_MALE","ALL_LESS_HS_TOTAL","ALL_HS_TOTAL","ALL_SOME_COLLEGE_TOTAL","ALL_COLLEGE_TOTAL"
"11","55096","Assembly District 96 (2018), Wisconsin",19323,1991,8154,5697,3481,19252,1783,6703,6294,4472,266,81,93,91,1,44,15,17,5,7,60,12,35,8,5,33,0,17,11,5,51,26,0,8,17,138,27,35,32,44,0,0,0,0,0,8,1,7,0,0,162,113,17,24,8,78,39,21,6,12,130,3,65,20,42,178,6,30,106,36,19156,1970,8088,5630,3468,19014,1739,6649,6218,4408,343,144,91,93,15,350,84,98,91,77,38575,19252,19323,3774,14857,11991,7953,310,44,266,96,110,96,8,93,33,60,12,52,19,10,189,138,51,53,35,40,61,8,8,0,1,7,0,0,240,78,162,152,38,30,20,308,178,130,9,95,126,78,38170,19014,19156,3709,14737,11848,7876,693,350,343,228,189,184,92,78586,39095,39491,8034,30120,24334,16098
"12","55078","Assembly District 78 (2018), Wisconsin",17187,414,1663,3835,11275,18686,482,1985,4158,12061,996,107,187,425,277,1399,121,473,373,432,75,3,17,24,31,67,3,10,37,17,2500,63,207,262,1968,2633,125,181,173,2154,47,0,32,15,0,4,0,0,4,0,198,78,5,75,40,190,33,3,77,77,578,10,62,73,433,488,0,36,54,398,16371,281,1528,3602,10960,17532,260,1851,3867,11554,1033,214,142,300,377,1384,258,137,368,621,35873,18686,17187,896,3648,7993,23336,2395,1399,996,228,660,798,709,142,67,75,6,27,61,48,5133,2633,2500,188,388,435,4122,51,4,47,0,32,19,0,388,190,198,111,8,152,117,1066,488,578,10,98,127,831,33903,17532,16371,541,3379,7469,22514,2417,1384,1033,472,279,668,998,81368,42383,38985,2452,8519,17722,52675
"13","55034","Assembly District 34 (2018), Wisconsin",21156,1477,7037,7007,5635,21436,1230,6569,7530,6107,123,9,38,63,13,75,54,3,0,18,286,38,85,136,27,205,10,49,78,68,51,9,9,0,33,142,16,48,30,48,0,0,0,0,0,18,0,14,0,4,38,4,20,4,10,19,0,2,13,4,133,28,58,29,18,240,2,5,155,78,20890,1456,7005,6857,5572,21194,1194,6522,7435,6043,308,22,55,162,69,271,38,53,110,70,42592,21436,21156,2707,13606,14537,11742,198,75,123,63,41,63,31,491,205,286,48,134,214,95,193,142,51,25,57,30,81,18,18,0,0,14,0,4,57,19,38,4,22,17,14,373,240,133,30,63,184,96,42084,21194,20890,2650,13527,14292,11615,579,271,308,60,108,272,139,86585,43600,42985,5587,27572,29609,23817
"14","55053","Assembly District 53 (2018), Wisconsin",21483,2097,8097,7210,4079,18411,1218,6245,5891,5057,1502,524,642,286,50,143,15,1,76,51,221,17,85,85,34,29,3,11,3,12,432,54,192,77,109,447,39,144,81,183,0,0,0,0,0,0,0,0,0,0,119,29,36,19,35,36,10,4,22,0,182,49,65,34,34,76,2,20,28,26,20673,1789,7836,7006,4042,18067,1049,6164,5831,5023,971,358,331,223,59,392,179,85,87,41,39894,18411,21483,3315,14342,13101,9136,1645,143,1502,539,643,362,101,250,29,221,20,96,88,46,879,447,432,93,336,158,292,0,0,0,0,0,0,0,155,36,119,39,40,41,35,258,76,182,51,85,62,60,38740,18067,20673,2838,14000,12837,9065,1363,392,971,537,416,310,100,83184,37601,45583,7432,29958,26959,18835
"15","55042","Assembly District 42 (2018), Wisconsin",20039,1887,7577,6875,3700,18683,1293,6163,6869,4358,718,173,270,242,33,59,1,31,3,24,117,6,83,28,0,58,4,21,22,11,93,0,23,36,34,116,16,19,31,50,16,0,7,9,0,3,0,3,0,0,173,75,59,18,21,76,38,12,20,6,233,29,65,92,47,120,7,23,41,49,19561,1759,7411,6763,3628,18415,1192,6079,6815,4329,699,216,259,130,94,351,146,96,74,35,38722,18683,20039,3180,13740,13744,8058,777,59,718,174,301,245,57,175,58,117,10,104,50,11,209,116,93,16,42,67,84,19,3,16,0,10,9,0,249,76,173,113,71,38,27,353,120,233,36,88,133,96,37976,18415,19561,2951,13490,13578,7957,1050,351,699,362,355,204,129,79530,37881,41649,6842,28201,28068,16419
"16","55014","Assembly District 14 (2018), Wisconsin",17418,441,2369,4102,10506,19224,461,2988,4048,11727,730,15,242,242,231,656,67,189,233,167,27,2,6,19,0,111,24,7,80,0,1054,29,92,62,871,1201,110,63,77,951,0,0,0,0,0,0,0,0,0,0,136,0,39,71,26,84,11,44,10,19,243,0,43,42,158,362,22,66,81,193,16999,430,2282,3977,10310,18904,451,2952,3949,11552,566,11,132,202,221,423,21,90,118,194,36642,19224,17418,902,5357,8150,22233,1386,656,730,82,431,475,398,138,111,27,26,13,99,0,2255,1201,1054,139,155,139,1822,0,0,0,0,0,0,0,220,84,136,11,83,81,45,605,362,243,22,109,123,351,35903,18904,16999,881,5234,7926,21862,989,423,566,32,222,320,415,78138,40965,37173,2095,11604,17313,47126
"17","55059","Assembly District 59 (2018), Wisconsin",20267,1435,8510,6481,3841,19215,1081,6629,6871,4634,354,44,196,109,5,68,31,0,29,8,100,15,18,45,22,123,6,54,43,20,55,0,11,0,44,75,13,10,15,37,15,0,3,1,11,0,0,0,0,0,103,42,12,45,4,89,28,26,23,12,166,15,55,96,0,155,2,16,97,40,19894,1304,8387,6404,3799,18958,1008,6601,6753,4596,516,186,141,143,46,407,101,52,191,63,39482,19215,20267,2516,15139,13352,8475,422,68,354,75,196,138,13,223,123,100,21,72,88,42,130,75,55,13,21,15,81,15,0,15,0,3,1,11,192,89,103,70,38,68,16,321,155,166,17,71,193,40,38852,18958,19894,2312,14988,13157,8395,923,407,516,287,193,334,109,80560,39090,41470,5311,30721,27346,17182
"18","55037","Assembly District 37 (2018), Wisconsin",19069,1442,6563,5889,5175,20083,1194,6032,6970,5887,262,17,155,52,38,191,1,94,49,47,15,5,10,0,0,40,0,0,6,34,121,14,17,39,51,214,31,101,38,44,0,0,0,0,0,1,0,0,0,1,139,47,62,30,0,19,11,8,0,0,187,0,28,81,78,306,22,89,158,37,18456,1297,6251,5809,5099,19460,1047,5771,6879,5763,742,197,361,108,76,677,171,282,91,133,39152,20083,19069,2636,12595,12859,11062,453,191,262,18,249,101,85,55,40,15,5,10,6,34,335,214,121,45,118,77,95,1,1,0,0,0,0,1,158,19,139,58,70,30,0,493,306,187,22,117,239,115,37916,19460,18456,2344,12022,12688,10862,1419,677,742,368,643,199,209,79982,40991,38991,5496,25824,26199,22463
"19","55009","Assembly District 9 (2018), Wisconsin",11247,3081,4564,2393,1209,12316,2390,4527,3442,1957,1179,290,427,331,131,1106,192,331,401,182,190,25,84,70,11,200,24,73,92,11,821,545,149,81,46,644,364,120,105,55,0,0,0,0,0,13,0,0,13,0,3889,1697,1402,519,271,3104,1278,967,605,254,395,52,174,99,70,518,189,66,155,108,6114,937,2502,1658,1017,7330,742,2819,2275,1494,9377,3915,3654,1299,509,8390,3092,2722,1825,751,23563,12316,11247,5471,9091,5835,3166,2285,1106,1179,482,758,732,313,390,200,190,49,157,162,22,1465,644,821,909,269,186,101,13,13,0,0,0,13,0,6993,3104,3889,2975,2369,1124,525,913,518,395,241,240,254,178,13444,7330,6114,1679,5321,3933,2511,17767,8390,9377,7007,6376,3124,1260,66833,33621,33212,18813,24581,15363,8076
"20","55033","Assembly District 33 (2018), Wisconsin",19402,1339,6801,6322,4940,20422,1231,6079,6947,6165,287,0,188,61,38,50,12,0,18,20,62,39,11,5,7,65,7,0,34,24,105,14,4,12,75,182,11,66,47,58,0,0,0,0,0,0,0,0,0,0,355,17,182,105,51,239,108,56,59,16,342,26,51,155,110,225,0,60,108,57,18872,1122,6678,6182,4890,19911,1017,6014,6825,6055,990,260,321,272,137,781,322,121,193,145,39824,20422,19402,2570,12880,13269,11105,337,50,287,12,188,79,58,127,65,62,46,11,39,31,287,182,105,25,70,59,133,0,0,0,0,0,0,0,594,239,355,125,238,164,67,567,225,342,26,111,263,167,38783,19911,18872,2139,12692,13007,10945,1771,781,990,582,442,465,282,82290,41875,40415,5525,26632,27345,22788
