"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","WHITE_TOTAL","WHITE_FEMALE","WHITE_MALE","WHITE_LESS_HS_TOTAL","WHITE_HS_TOTAL","WHITE_SOME_COLLEGE_TOTAL","WHITE_COLLEGE_TOTAL","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","AI_AN_TOTAL","AI_AN_FEMALE","AI_AN_MALE","AI_AN_LESS_HS_TOTAL","AI_AN_HS_TOTAL","AI_AN_SOME_COLLEGE_TOTAL","AI_AN_COLLEGE_TOTAL","ASIAN_TOTAL","ASIAN_FEMALE","ASIAN_MALE","ASIAN_LESS_HS_TOTAL","ASIAN_HS_TOTAL","ASIAN_SOME_COLLEGE_TOTAL","ASIAN_COLLEGE_TOTAL","NHPI_TOTAL","NHPI_FEMALE","NHPI_MALE","NHPI_LESS_HS_TOTAL","NHPI_HS_TOTAL","NHPI_SOME_COLLEGE_TOTAL","NHPI_COLLEGE_TOTAL","OTHER_TOTAL","OTHER_FEMALE","OTHER_MALE","OTHER_LESS_HS_TOTAL","OTHER_HS_TOTAL","OTHER_SOME_COLLEGE_TOTAL","OTHER_COLLEGE_TOTAL","MIXED_TOTAL","MIXED_FEMALE","MIXED_MALE","MIXED_LESS_HS_TOTAL","MIXED_HS_TOTAL","MIXED_SOME_COLLEGE_TOTAL","MIXED_COLLEGE_TOTAL","W_NOTHISP_TOTAL","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_LESS_HS_TOTAL","W_NOTHISP_HS_TOTAL","W_NOTHISP_SOME_COLLEGE_TOTAL","W_NOTHISP_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","ALL_TOTAL","ALL_FEMALE_TOTAL","ALL_MALE","ALL_LESS_HS_TOTAL","ALL_HS_TOTAL","ALL_SOME_COLLEGE_TOTAL","ALL_COLLEGE_TOTAL"
"410","53583","ZCTA5 53583",2065,74,813,726,452,2298,99,672,843,684,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,2,0,0,0,2,7,7,0,0,0,0,0,0,0,0,6,0,6,0,0,41,41,0,0,0,37,24,0,0,13,37,0,13,20,4,2016,63,811,698,444,2215,81,672,788,674,98,54,8,28,8,124,59,0,55,10,4363,2298,2065,173,1485,1569,1136,12,0,12,12,0,0,0,6,6,0,0,6,0,0,2,2,0,0,0,0,2,7,0,7,7,0,0,0,47,41,6,41,6,0,0,74,37,37,24,13,20,17,4231,2215,2016,144,1483,1486,1118,222,124,98,113,8,83,18,8964,4723,4241,514,3001,3158,2291
"411","53809","ZCTA5 53809",1302,136,431,488,247,1321,95,398,554,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,1292,133,429,483,247,1306,85,398,549,274,15,8,2,5,0,15,10,0,5,0,2623,1321,1302,231,829,1042,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,1,4,0,0,0,0,0,0,0,5,0,5,5,0,0,0,9,0,9,0,0,9,0,2598,1306,1292,218,827,1032,521,30,15,15,18,2,10,0,5271,2648,2623,472,1659,2094,1046
"412","53576","ZCTA5 53576",777,98,322,259,98,701,25,245,254,177,12,0,5,3,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,5,0,748,98,306,246,98,688,25,242,244,177,29,0,16,13,0,17,0,3,14,0,1478,701,777,123,567,513,275,15,3,12,0,8,3,4,0,0,0,0,0,0,0,16,16,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,3,5,0,1436,688,748,123,548,490,275,46,17,29,0,19,27,0,2999,1430,1569,246,1149,1038,566
"413","53575","ZCTA5 53575",5153,179,1094,1560,2320,5416,58,1093,1576,2689,376,47,96,202,31,155,62,48,45,0,12,0,11,1,0,16,0,16,0,0,3,0,0,3,0,16,0,0,6,10,0,0,0,0,0,0,0,0,0,0,39,3,23,13,0,19,0,19,0,0,112,0,25,26,61,31,0,0,1,30,5054,172,1092,1474,2316,5389,58,1093,1553,2685,125,10,25,86,4,46,0,19,23,4,10569,5416,5153,237,2187,3136,5009,531,155,376,109,144,247,31,28,16,12,0,27,1,0,19,16,3,0,0,9,10,0,0,0,0,0,0,0,58,19,39,3,42,13,0,143,31,112,0,25,27,91,10443,5389,5054,230,2185,3027,5001,171,46,125,10,44,109,8,21962,11088,10874,589,4654,6569,10150
"414","53577","ZCTA5 53577",462,36,216,140,70,474,37,165,168,104,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,0,0,2,0,11,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,454,32,212,140,70,469,37,162,166,104,8,4,4,0,0,5,0,3,2,0,936,474,462,73,381,308,174,0,0,0,0,0,0,0,3,0,3,0,0,3,0,13,11,2,0,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,923,469,454,69,374,306,174,13,5,8,4,7,2,0,1892,963,929,146,770,625,351
"415","53182","ZCTA5 53182",3166,245,1200,1078,643,3604,300,1253,1220,831,100,0,73,20,7,99,12,11,75,1,24,0,0,0,24,14,0,8,6,0,14,0,0,11,3,8,0,0,2,6,0,0,0,0,0,0,0,0,0,0,15,11,4,0,0,0,0,0,0,0,13,1,0,12,0,16,0,16,0,0,3099,196,1195,1068,640,3465,289,1226,1119,831,106,60,9,10,27,139,11,27,101,0,6770,3604,3166,545,2453,2298,1474,199,99,100,12,84,95,8,38,14,24,0,8,6,24,22,8,14,0,0,13,9,0,0,0,0,0,0,0,15,0,15,11,4,0,0,29,16,13,1,16,12,0,6564,3465,3099,485,2421,2187,1471,245,139,106,71,36,111,27,13882,7345,6537,1125,5022,4722,3013
"416","53183","ZCTA5 53183",968,51,170,315,432,969,31,156,270,512,0,0,0,0,0,0,0,0,0,0,21,0,0,13,8,0,0,0,0,0,5,0,0,0,5,11,0,0,7,4,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,6,953,36,170,315,432,958,31,145,270,512,23,15,0,0,8,17,0,11,0,6,1937,969,968,82,326,585,944,0,0,0,0,0,0,0,21,0,21,0,0,13,8,16,11,5,0,0,7,9,0,0,0,0,0,0,0,5,0,5,0,5,0,0,10,10,0,0,0,4,6,1911,958,953,67,315,585,944,40,17,23,15,11,0,14,3940,1965,1975,164,657,1194,1925
"417","53188","ZCTA5 53188",10949,795,2405,3557,4192,12336,508,3163,3892,4773,363,101,89,84,89,251,69,49,73,60,13,0,9,4,0,8,6,0,2,0,198,0,4,52,142,244,25,34,62,123,0,0,0,0,0,0,0,0,0,0,194,79,89,12,14,160,70,35,22,33,26,0,8,15,3,93,10,10,29,44,10135,401,2299,3276,4159,11582,412,2924,3697,4549,1008,473,195,293,47,965,176,274,258,257,23285,12336,10949,1303,5568,7449,8965,614,251,363,170,138,157,149,21,8,13,6,9,6,0,442,244,198,25,38,114,265,0,0,0,0,0,0,0,354,160,194,149,124,34,47,119,93,26,10,18,44,47,21717,11582,10135,813,5223,6973,8708,1973,965,1008,649,469,551,304,48525,25639,22886,3125,11587,15328,18485
"418","53204","ZCTA5 53204",5104,1763,1575,837,929,5340,1590,1453,1280,1017,1267,267,509,419,72,982,310,286,344,42,177,31,69,77,0,119,51,28,40,0,141,54,25,15,47,120,35,47,0,38,0,0,0,0,0,0,0,0,0,0,4360,2178,1377,715,90,3924,1910,1070,791,153,185,60,45,51,29,224,61,39,83,41,2645,380,782,608,875,2746,364,761,763,858,7038,3601,2256,1014,167,6663,3183,1801,1337,342,10444,5340,5104,3353,3028,2117,1946,2249,982,1267,577,795,763,114,296,119,177,82,97,117,0,261,120,141,89,72,15,85,0,0,0,0,0,0,0,8284,3924,4360,4088,2447,1506,243,409,224,185,121,84,134,70,5391,2746,2645,744,1543,1371,1733,13701,6663,7038,6784,4057,2351,509,41035,20118,20917,15838,12123,8374,4700
"419","53206","ZCTA5 53206",197,54,65,51,27,137,2,81,54,0,5676,1629,2237,1588,222,7092,1417,2575,2413,687,17,0,3,14,0,44,14,30,0,0,26,0,16,0,10,52,37,0,14,1,0,0,0,0,0,0,0,0,0,0,23,3,0,20,0,21,0,15,6,0,137,5,73,59,0,75,11,29,34,1,164,35,51,51,27,104,2,53,49,0,91,30,28,33,0,98,33,59,5,1,334,137,197,56,146,105,27,12768,7092,5676,3046,4812,4001,909,61,44,17,14,33,14,0,78,52,26,37,16,14,11,0,0,0,0,0,0,0,44,21,23,3,15,26,0,212,75,137,16,102,93,1,268,104,164,37,104,100,27,189,98,91,63,87,38,1,13954,7623,6331,3272,5315,4391,976
"420","53214","ZCTA5 53214",10399,910,3596,3607,2286,10662,932,3568,3337,2825,938,47,412,322,157,846,161,181,351,153,108,38,6,25,39,223,0,91,73,59,324,42,104,29,149,297,48,87,57,105,0,0,0,0,0,0,0,0,0,0,446,79,220,115,32,673,107,310,153,103,352,26,158,97,71,256,19,57,117,63,9321,622,3132,3342,2225,9598,690,3187,3059,2662,1651,377,776,394,104,1842,389,694,471,288,21061,10662,10399,1842,7164,6944,5111,1784,846,938,208,593,673,310,331,223,108,38,97,98,98,621,297,324,90,191,86,254,0,0,0,0,0,0,0,1119,673,446,186,530,268,135,608,256,352,45,215,214,134,18919,9598,9321,1312,6319,6401,4887,3493,1842,1651,766,1470,865,392,47936,24397,23539,4487,16579,15549,11321
"421","54826","ZCTA5 54826",307,30,116,90,71,269,7,96,117,49,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,307,30,116,90,71,269,7,96,117,49,0,0,0,0,0,0,0,0,0,0,576,269,307,37,212,207,120,4,0,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,576,269,307,37,212,207,120,0,0,0,0,0,0,0,1160,542,618,76,428,414,242
"422","54837","ZCTA5 54837",1432,157,553,457,265,1295,98,468,457,272,0,0,0,0,0,5,0,0,5,0,11,0,4,0,7,2,0,0,2,0,4,0,0,0,4,7,0,5,0,2,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,14,14,0,0,0,3,0,0,3,0,8,0,1,5,2,1414,153,553,447,261,1287,98,466,451,272,18,4,0,10,4,28,14,3,11,0,2727,1295,1432,255,1021,914,537,5,5,0,0,0,5,0,13,2,11,0,4,2,7,11,7,4,0,5,0,6,6,6,0,0,6,0,0,14,14,0,14,0,0,0,11,8,3,0,1,8,2,2701,1287,1414,251,1019,898,533,46,28,18,18,3,21,4,5534,2652,2882,538,2059,1848,1089
"423","54841","ZCTA5 54841",104,11,46,35,12,90,7,25,45,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,11,46,35,12,82,7,24,41,10,0,0,0,0,0,8,0,1,4,3,194,90,104,18,71,80,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,82,104,18,70,76,22,8,8,0,0,1,4,3,388,180,208,36,142,160,50
"424","54853","ZCTA5 54853",1459,88,641,449,281,1497,58,525,588,326,6,3,2,1,0,3,0,0,3,0,63,23,20,16,4,52,11,14,25,2,20,0,20,0,0,21,0,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,0,0,29,0,23,6,0,11,0,9,0,2,1448,88,634,449,277,1457,58,487,588,324,17,0,13,0,4,46,0,44,0,2,2956,1497,1459,146,1166,1037,607,9,3,6,3,2,4,0,115,52,63,34,34,41,6,41,21,20,0,24,16,1,0,0,0,0,0,0,0,8,8,0,2,6,0,0,40,11,29,0,32,6,2,2905,1457,1448,146,1121,1037,601,63,46,17,0,57,0,6,6137,3095,3042,331,2442,2141,1223
"425","54855","ZCTA5 54855",230,13,112,63,42,218,6,102,77,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,13,112,63,42,218,6,102,77,33,0,0,0,0,0,0,0,0,0,0,448,218,230,19,214,140,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,218,230,19,214,140,75,0,0,0,0,0,0,0,897,437,460,39,428,280,150
"426","54865","ZCTA5 54865",179,6,66,57,50,165,9,51,67,38,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,4,0,0,4,0,179,6,66,57,50,158,9,51,60,38,0,0,0,0,0,7,0,0,7,0,344,165,179,15,117,124,88,0,0,0,0,0,0,0,5,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,0,0,11,0,337,158,179,15,117,117,88,7,7,0,0,0,7,0,704,336,368,30,236,262,176
"427","53581","ZCTA5 53581",3320,307,1476,932,605,3573,260,1256,1205,852,3,3,0,0,0,3,3,0,0,0,4,0,0,4,0,14,0,8,6,0,13,0,11,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,2,0,54,54,0,0,0,8,0,0,6,2,30,0,0,0,30,3312,306,1469,932,605,3568,260,1254,1205,849,10,1,7,2,0,48,43,2,0,3,6893,3573,3320,567,2732,2137,1457,6,3,3,6,0,0,0,18,14,4,0,8,10,0,19,6,13,6,11,0,2,0,0,0,0,0,0,0,67,54,13,65,0,2,0,38,30,8,0,0,6,32,6880,3568,3312,566,2723,2137,1454,58,48,10,44,9,2,3,13979,7296,6683,1254,5483,4294,2948
