"","GEOID","full_geoid","white_totalE","white_less10kE","white_10kto14kE","white_15kto19kE","white_20kto24kE","white_25kto29kE","white_30kto34kE","white_35kto39kE","white_40kto44kE","white_45kto49kE","white_50kto59kE","white_60kto74kE","white_75kto99kE","white_100kto124kE","white_125kto149kE","white_150kto199kE","white_200ktomoreE","black_totalE","black_less10kE","black_10kto14kE","black_15kto19kE","black_20kto24kE","black_25kto29kE","black_30kto34kE","black_35kto39kE","black_40kto44kE","black_45kto49kE","black_50kto59kE","black_60kto74kE","black_75kto99kE","black_100kto124kE","black_125kto149kE","black_150kto199kE","black_200ktomoreE","aian_totalE","aian_less10kE","aian_10kto14kE","aian_15kto19kE","aian_20kto24kE","aian_25kto29kE","aian_30kto34kE","aian_35kto39kE","aian_40kto44kE","aian_45kto49kE","aian_50kto59kE","aian_60kto74kE","aian_75kto99kE","aian_100kto124kE","aian_125kto149kE","aian_150kto199kE","aian_200ktomoreE","asian_totalE","asian_less10kE","asian_10kto14kE","asian_15kto19kE","asian_20kto24kE","asian_25kto29kE","asian_30kto34kE","asian_35kto39kE","asian_40kto44kE","asian_45kto49kE","asian_50kto59kE","asian_60kto74kE","asian_75kto99kE","asian_100kto124kE","asian_125kto149kE","asian_150kto199kE","asian_200ktomoreE","nhpi_totalE","nhpi_less10kE","nhpi_10kto14kE","nhpi_15kto19kE","nhpi_20kto24kE","nhpi_25kto29kE","nhpi_30kto34kE","nhpi_35kto39kE","nhpi_40kto44kE","nhpi_45kto49kE","nhpi_50kto59kE","nhpi_60kto74kE","nhpi_75kto99kE","nhpi_100kto124kE","nhpi_125kto149kE","nhpi_150kto199kE","nhpi_200ktomoreE","other_totalE","other_less10kE","other_10kto14kE","other_15kto19kE","other_20kto24kE","other_25kto29kE","other_30kto34kE","other_35kto39kE","other_40kto44kE","other_45kto49kE","other_50kto59kE","other_60kto74kE","other_75kto99kE","other_100kto124kE","other_125kto149kE","other_150kto199kE","other_200ktomoreE","mixed_totalE","mixed_less10kE","mixed_10kto14kE","mixed_15kto19kE","mixed_20kto24kE","mixed_25kto29kE","mixed_30kto34kE","mixed_35kto39kE","mixed_40kto44kE","mixed_45kto49kE","mixed_50kto59kE","mixed_60kto74kE","mixed_75kto99kE","mixed_100kto124kE","mixed_125kto149kE","mixed_150kto199kE","mixed_200ktomoreE","w_nothisp_totalE","w_nothisp_less10kE","w_nothisp_10kto14kE","w_nothisp_15kto19kE","w_nothisp_20kto24kE","w_nothisp_25kto29kE","w_nothisp_30kto34kE","w_nothisp_35kto39kE","w_nothisp_40kto44kE","w_nothisp_45kto49kE","w_nothisp_50kto59kE","w_nothisp_60kto74kE","w_nothisp_75kto99kE","w_nothisp_100kto124kE","w_nothisp_125kto149kE","w_nothisp_150kto199kE","w_nothisp_200ktomoreE","hisp_totalE","hisp_less10kE","hisp_10kto14kE","hisp_15kto19kE","hisp_20kto24kE","hisp_25kto29kE","hisp_30kto34kE","hisp_35kto39kE","hisp_40kto44kE","hisp_45kto49kE","hisp_50kto59kE","hisp_60kto74kE","hisp_75kto99kE","hisp_100kto124kE","hisp_125kto149kE","hisp_150kto199kE","hisp_200ktomoreE","WHITE_less25","WHITE_25_to_34","WHITE_35_to_49","WHITE_50_to_74","WHITE_75_to_99","WHITE_100_to_149","WHITE_150_to_199","WHITE_200_more","WHITE_TOTAL","BLACK_less25","BLACK_25_to_34","BLACK_35_to_49","BLACK_50_to_74","BLACK_75_to_99","BLACK_100_to_149","BLACK_150_to_199","BLACK_200_more","BLACK_TOTAL","AI_AN_less25","AI_AN_25_to_34","AI_AN_35_to_49","AI_AN_50_to_74","AI_AN_75_to_99","AI_AN_100_to_149","AI_AN_150_to_199","AI_AN_200_more","AI_AN_TOTAL","ASIAN_less25","ASIAN_25_to_34","ASIAN_35_to_49","ASIAN_50_to_74","ASIAN_75_to_99","ASIAN_100_to_149","ASIAN_150_to_199","ASIAN_200_more","ASIAN_TOTAL","NHPI_less25","NHPI_25_to_34","NHPI_35_to_49","NHPI_50_to_74","NHPI_75_to_99","NHPI_100_to_149","NHPI_150_to_199","NHPI_200_more","NHPI_TOTAL","OTHER_less25","OTHER_25_to_34","OTHER_35_to_49","OTHER_50_to_74","OTHER_75_to_99","OTHER_100_to_149","OTHER_150_to_199","OTHER_200_more","OTHER_TOTAL","MIXED_less25","MIXED_25_to_34","MIXED_35_to_49","MIXED_50_to_74","MIXED_75_to_99","MIXED_100_to_149","MIXED_150_to_199","MIXED_200_more","MIXED_TOTAL","W_NOTHISP_less25","W_NOTHISP_25_to_34","W_NOTHISP_35_to_49","W_NOTHISP_50_to_74","W_NOTHISP_75_to_99","W_NOTHISP_100_to_149","W_NOTHISP_150_to_199","W_NOTHISP_200_more","W_NOTHISP_TOTAL","HISP_less25","HISP_25_to_34","HISP_35_to_49","HISP_50_to_74","HISP_75_to_99","HISP_100_to_149","HISP_150_to_199","HISP_200_more","HISP_TOTAL","ALL_less25","ALL_25_to_34","ALL_35_to_49","ALL_50_to_74","ALL_75_to_99","ALL_100_to_149","ALL_150_to_199","ALL_200_more","ALL_TOTAL"
"681","54741","ZCTA5 54741",659,45,32,48,28,35,39,44,27,30,57,81,103,54,16,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,4,1,0,0,0,0,655,45,32,48,28,35,36,44,27,30,57,80,103,54,16,9,11,7,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,153,74,101,138,103,70,9,11,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,4,1,0,0,0,11,153,71,101,137,103,70,9,11,655,0,6,0,1,0,0,0,0,7,306,154,208,280,207,140,18,22,1335
"682","54762","ZCTA5 54762",493,13,21,31,29,30,39,34,23,17,39,61,63,40,20,18,15,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,493,13,21,31,29,30,39,34,23,17,39,61,63,40,20,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,69,74,100,63,60,18,15,493,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,94,69,74,100,63,60,18,15,493,0,0,0,0,0,0,0,0,0,188,138,148,206,127,120,36,30,993
"683","54821","ZCTA5 54821",612,22,45,36,52,35,33,34,23,26,57,66,66,53,13,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,612,22,45,36,52,35,33,34,23,26,57,66,66,53,13,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,68,83,123,66,66,29,22,612,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,155,68,83,123,66,66,29,22,612,0,0,0,0,0,0,0,0,0,313,136,166,252,132,132,58,44,1233
"684","54437","ZCTA5 54437",1099,39,61,49,43,81,60,68,63,48,106,127,159,79,31,60,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1090,39,56,49,43,81,60,68,60,48,106,126,159,79,31,60,25,16,0,5,0,0,0,2,0,3,0,0,6,0,0,0,0,0,192,141,179,233,159,110,60,25,1099,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,7,0,0,0,6,0,0,0,0,6,187,141,176,232,159,110,60,25,1090,5,2,3,6,0,0,0,0,16,387,286,359,482,318,220,120,50,2222
"685","54451","ZCTA5 54451",4899,277,274,257,195,225,240,234,243,245,447,517,852,346,242,161,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,2,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,55,2,42,0,3,0,0,0,0,0,0,0,6,2,0,0,0,4848,274,274,257,195,225,235,234,239,241,445,517,823,346,238,161,144,55,3,0,0,0,0,5,0,4,4,2,0,29,0,4,4,0,1003,465,722,964,852,588,161,144,4899,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,7,0,0,0,4,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,47,0,0,0,6,2,0,0,55,1000,460,714,962,823,584,161,144,4848,3,5,8,2,29,4,4,0,55,2053,931,1445,1934,1713,1188,330,288,9882
"686","54454","ZCTA5 54454",531,30,16,10,23,26,35,32,20,10,52,60,75,73,37,15,17,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,530,29,16,10,23,26,35,32,20,10,52,60,75,73,37,15,17,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,61,62,112,75,110,15,17,531,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6,78,61,62,112,75,110,15,17,530,4,0,0,0,0,0,0,0,4,164,122,124,229,150,220,30,34,1073
"687","54466","ZCTA5 54466",1173,55,50,43,67,37,78,49,70,54,116,147,188,109,51,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1167,55,50,43,67,37,78,49,68,54,116,147,184,109,51,33,26,6,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,215,115,173,263,188,160,33,26,1173,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,3,0,1,0,0,0,4,215,115,171,263,184,160,33,26,1167,0,0,2,0,4,0,0,0,6,442,230,349,526,377,322,66,52,2364
"688","54479","ZCTA5 54479",1494,70,46,76,73,69,54,40,67,69,172,148,299,147,52,82,30,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492,70,46,76,73,69,54,40,67,69,170,148,299,147,52,82,30,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,265,123,176,320,299,199,82,30,1494,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,123,176,318,299,199,82,30,1492,0,0,0,2,0,0,0,0,2,530,246,356,640,598,401,164,60,2995
"689","54501","ZCTA5 54501",8214,303,436,351,579,489,397,478,377,267,761,921,1097,720,413,297,328,70,44,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,69,0,12,0,34,0,0,0,0,0,17,0,0,0,0,6,0,42,0,2,0,0,0,0,0,0,9,0,17,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,46,0,0,0,7,0,0,10,0,10,0,0,19,0,0,0,0,8183,303,436,351,565,489,397,475,377,265,761,921,1090,715,413,297,328,32,0,0,0,14,0,0,3,0,2,0,0,8,5,0,0,0,1669,886,1122,1682,1097,1133,297,328,8214,44,26,0,0,0,0,0,0,70,46,0,0,17,0,0,6,0,69,2,0,9,17,4,0,0,10,42,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,7,0,20,0,19,0,0,0,46,1655,886,1117,1682,1090,1128,297,328,8183,14,0,5,0,8,5,0,0,32,3437,1798,2275,3398,2218,2266,600,666,16658
"690","54520","ZCTA5 54520",1412,93,146,57,70,75,75,90,71,88,91,170,175,93,62,36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,75,37,51,53,25,12,5,11,7,34,27,49,16,9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,3,0,0,0,7,0,0,0,0,0,1382,93,125,57,70,75,66,90,71,88,91,170,175,93,62,36,20,30,0,21,0,0,0,9,0,0,0,0,0,0,0,0,0,0,366,150,249,261,175,155,36,20,1412,0,0,0,0,0,0,0,0,0,216,37,23,61,49,25,19,1,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,3,7,0,0,0,0,12,345,141,249,261,175,155,36,20,1382,21,9,0,0,0,0,0,0,30,950,339,524,590,399,335,91,41,3269
