"","GEOID","full_geoid","white_totalE","white_less10kE","white_10kto14kE","white_15kto19kE","white_20kto24kE","white_25kto29kE","white_30kto34kE","white_35kto39kE","white_40kto44kE","white_45kto49kE","white_50kto59kE","white_60kto74kE","white_75kto99kE","white_100kto124kE","white_125kto149kE","white_150kto199kE","white_200ktomoreE","black_totalE","black_less10kE","black_10kto14kE","black_15kto19kE","black_20kto24kE","black_25kto29kE","black_30kto34kE","black_35kto39kE","black_40kto44kE","black_45kto49kE","black_50kto59kE","black_60kto74kE","black_75kto99kE","black_100kto124kE","black_125kto149kE","black_150kto199kE","black_200ktomoreE","aian_totalE","aian_less10kE","aian_10kto14kE","aian_15kto19kE","aian_20kto24kE","aian_25kto29kE","aian_30kto34kE","aian_35kto39kE","aian_40kto44kE","aian_45kto49kE","aian_50kto59kE","aian_60kto74kE","aian_75kto99kE","aian_100kto124kE","aian_125kto149kE","aian_150kto199kE","aian_200ktomoreE","asian_totalE","asian_less10kE","asian_10kto14kE","asian_15kto19kE","asian_20kto24kE","asian_25kto29kE","asian_30kto34kE","asian_35kto39kE","asian_40kto44kE","asian_45kto49kE","asian_50kto59kE","asian_60kto74kE","asian_75kto99kE","asian_100kto124kE","asian_125kto149kE","asian_150kto199kE","asian_200ktomoreE","nhpi_totalE","nhpi_less10kE","nhpi_10kto14kE","nhpi_15kto19kE","nhpi_20kto24kE","nhpi_25kto29kE","nhpi_30kto34kE","nhpi_35kto39kE","nhpi_40kto44kE","nhpi_45kto49kE","nhpi_50kto59kE","nhpi_60kto74kE","nhpi_75kto99kE","nhpi_100kto124kE","nhpi_125kto149kE","nhpi_150kto199kE","nhpi_200ktomoreE","other_totalE","other_less10kE","other_10kto14kE","other_15kto19kE","other_20kto24kE","other_25kto29kE","other_30kto34kE","other_35kto39kE","other_40kto44kE","other_45kto49kE","other_50kto59kE","other_60kto74kE","other_75kto99kE","other_100kto124kE","other_125kto149kE","other_150kto199kE","other_200ktomoreE","mixed_totalE","mixed_less10kE","mixed_10kto14kE","mixed_15kto19kE","mixed_20kto24kE","mixed_25kto29kE","mixed_30kto34kE","mixed_35kto39kE","mixed_40kto44kE","mixed_45kto49kE","mixed_50kto59kE","mixed_60kto74kE","mixed_75kto99kE","mixed_100kto124kE","mixed_125kto149kE","mixed_150kto199kE","mixed_200ktomoreE","w_nothisp_totalE","w_nothisp_less10kE","w_nothisp_10kto14kE","w_nothisp_15kto19kE","w_nothisp_20kto24kE","w_nothisp_25kto29kE","w_nothisp_30kto34kE","w_nothisp_35kto39kE","w_nothisp_40kto44kE","w_nothisp_45kto49kE","w_nothisp_50kto59kE","w_nothisp_60kto74kE","w_nothisp_75kto99kE","w_nothisp_100kto124kE","w_nothisp_125kto149kE","w_nothisp_150kto199kE","w_nothisp_200ktomoreE","hisp_totalE","hisp_less10kE","hisp_10kto14kE","hisp_15kto19kE","hisp_20kto24kE","hisp_25kto29kE","hisp_30kto34kE","hisp_35kto39kE","hisp_40kto44kE","hisp_45kto49kE","hisp_50kto59kE","hisp_60kto74kE","hisp_75kto99kE","hisp_100kto124kE","hisp_125kto149kE","hisp_150kto199kE","hisp_200ktomoreE","BLACK_less25","BLACK_25_to_34","BLACK_35_to_49","BLACK_50_to_74","BLACK_75_to_99","BLACK_100_to_149","BLACK_150_to_199","BLACK_200_more","BLACK_TOTAL","HISP_less25","HISP_25_to_34","HISP_35_to_49","HISP_50_to_74","HISP_75_to_99","HISP_100_to_149","HISP_150_to_199","HISP_200_more","HISP_TOTAL","UNDERREP_less25","UNDERREP_25_to_34","UNDERREP_35_to_49","UNDERREP_50_to_74","UNDERREP_75_to_99","UNDERREP_100_to_149","UNDERREP_150_to_199","UNDERREP_200_more","UNDERREP_TOTAL"
"654","54624","ZCTA5 54624",633,40,40,24,33,25,24,41,20,23,75,61,84,73,38,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,630,40,40,24,33,25,24,41,20,23,75,61,84,73,35,23,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3
"655","54630","ZCTA5 54630",1727,53,58,70,68,50,95,73,121,84,176,214,283,167,90,80,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1723,51,58,70,68,50,95,71,121,84,176,214,283,167,90,80,45,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,2,0,2,0,0,0,0,0,4
"656","54638","ZCTA5 54638",574,21,30,33,34,21,17,27,40,36,48,45,125,49,23,18,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,20,30,25,34,21,17,27,40,36,48,45,125,49,23,18,7,9,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,0,0,0,0,0,0,0,9,9,0,0,0,0,0,4,0,13
"657","54645","ZCTA5 54645",44,9,7,1,5,3,7,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,7,1,5,3,7,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"658","54652","ZCTA5 54652",376,21,28,40,27,11,21,17,15,19,25,45,51,30,17,0,9,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,21,28,40,27,11,21,17,15,19,25,45,51,26,17,0,9,12,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,0,4,0,0,12,0,0,0,8,6,4,0,0,15
"659","54658","ZCTA5 54658",1098,58,30,39,65,59,36,49,21,38,105,124,155,133,106,43,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,1093,58,30,39,65,59,36,49,21,34,105,123,155,133,106,43,37,8,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,4,4,0,0,0,0,8
"660","54665","ZCTA5 54665",3486,255,281,286,173,212,162,245,144,102,315,334,382,256,161,87,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,50,0,0,9,17,0,4,0,3456,255,281,286,173,212,162,245,144,102,315,334,352,256,161,87,91,40,0,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,0,0,0,40,0,10,0,0,0,0,0,0,40
"661","54728","ZCTA5 54728",2546,94,99,142,168,144,108,96,118,147,226,374,376,253,90,57,54,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,13,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2537,94,99,142,168,135,108,96,118,147,226,374,376,253,90,57,54,15,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,9,6,0,0,0,0,0,15,0,9,6,2,0,0,0,0,17
"662","54733","ZCTA5 54733",447,13,17,28,23,17,26,29,16,26,34,51,66,50,17,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,446,13,17,28,23,17,26,29,16,25,34,51,66,50,17,22,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"663","54441","ZCTA5 54441",342,5,9,7,2,12,2,15,23,4,13,61,52,65,46,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,342,5,9,7,2,12,2,15,23,4,13,61,52,65,46,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
