"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","UNDERREP_TOTAL","UNDERREP_FEMALE_TOTAL","UNDERREP_MALE","UNDERREP_LESS_HS_TOTAL","UNDERREP_HS_TOTAL","UNDERREP_SOME_COLLEGE_TOTAL","UNDERREP_COLLEGE_TOTAL"
"472","53520","ZCTA5 53520",2268,258,935,663,412,2320,180,737,904,499,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,0,3,3,0,18,0,0,18,0,24,3,10,11,0,0,0,0,0,0,18,0,18,0,0,50,40,10,0,0,49,36,8,0,5,9,1,1,7,0,17,0,1,11,5,2257,258,935,663,401,2305,180,737,898,490,61,40,10,0,11,64,36,8,6,14,0,0,0,0,0,0,0,125,64,61,76,18,6,25,125,64,61,76,18,6,25
"473","53546","ZCTA5 53546",9281,522,3087,3481,2191,10399,535,3677,3595,2592,170,1,96,53,20,170,13,61,21,75,4,0,4,0,0,39,0,0,7,32,192,26,46,49,71,204,13,21,31,139,0,0,0,0,0,0,0,0,0,0,407,120,195,22,70,183,53,59,71,0,89,12,51,12,14,100,0,21,64,15,9063,486,3012,3409,2156,10162,532,3530,3575,2525,649,156,294,94,105,444,56,206,95,87,340,170,170,14,157,74,95,1093,444,649,212,500,189,192,1433,614,819,226,657,263,287
"474","53562","ZCTA5 53562",7443,156,845,1685,4757,8296,81,950,2176,5089,300,38,86,52,124,171,0,65,28,78,15,0,2,13,0,37,0,0,9,28,627,59,11,0,557,754,47,31,25,651,0,0,0,0,0,0,0,0,0,0,297,45,40,53,159,204,0,75,13,116,111,0,0,29,82,172,0,54,13,105,7311,152,812,1622,4725,8127,61,920,2123,5023,357,86,88,116,67,270,20,101,66,83,471,171,300,38,151,80,202,627,270,357,106,189,182,150,1098,441,657,144,340,262,352
"475","53563","ZCTA5 53563",3678,252,1259,1116,1051,3730,202,1120,1236,1172,33,18,15,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,8,15,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,27,2,16,3,6,13,0,0,13,0,3646,243,1252,1100,1051,3679,160,1120,1236,1163,32,9,7,16,0,59,42,0,8,9,41,8,33,26,15,0,0,91,59,32,51,7,24,9,132,67,65,77,22,24,9
"476","53588","ZCTA5 53588",1489,117,421,507,444,1490,41,408,501,540,0,0,0,0,0,5,5,0,0,0,2,0,0,0,2,0,0,0,0,0,8,0,2,3,3,14,5,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,13,0,5,0,8,13,0,9,0,4,13,0,7,0,6,1486,117,418,507,444,1467,41,402,488,536,10,0,10,0,0,36,0,11,13,12,5,5,0,5,0,0,0,46,36,10,0,21,13,12,51,41,10,5,21,13,12
"477","53589","ZCTA5 53589",6603,324,2099,2072,2108,7207,330,1854,2410,2613,18,1,13,0,4,48,2,0,44,2,7,0,2,5,0,14,0,0,6,8,42,0,19,0,23,56,29,2,0,25,0,0,0,0,0,0,0,0,0,0,103,57,10,33,3,81,37,0,5,39,22,0,0,0,22,64,10,1,11,42,6464,296,2038,2022,2108,7136,318,1829,2376,2613,239,85,71,83,0,136,49,25,39,23,66,48,18,3,13,44,6,375,136,239,134,96,122,23,441,184,257,137,109,166,29
"478","53713","ZCTA5 53713",4978,291,1084,1657,1946,4257,336,1005,1095,1821,819,151,321,199,148,1071,40,212,541,278,93,0,76,0,17,45,20,0,12,13,435,161,98,62,114,361,66,86,138,71,0,0,0,0,0,0,0,0,0,0,658,220,161,213,64,666,343,187,136,0,132,41,0,50,41,96,0,18,49,29,4313,113,958,1533,1709,3819,107,933,1040,1739,1358,433,287,337,301,1205,572,251,266,116,1890,1071,819,191,533,740,426,2563,1205,1358,1005,538,603,417,4453,2276,2177,1196,1071,1343,843
"479","53717","ZCTA5 53717",3027,18,197,484,2328,3669,96,351,809,2413,159,0,0,132,27,297,62,12,76,147,24,0,0,24,0,10,0,10,0,0,888,0,62,43,783,897,61,43,13,780,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,39,195,0,24,12,159,123,0,21,0,102,2939,8,197,450,2284,3535,82,351,780,2322,105,10,0,34,61,173,14,0,29,130,456,297,159,62,12,208,174,278,173,105,24,0,63,191,734,470,264,86,12,271,365
"480","54003","ZCTA5 54003",347,24,94,153,76,307,6,97,143,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0,12,9,0,3,0,347,24,94,153,76,301,6,97,143,55,0,0,0,0,0,12,0,2,4,6,0,0,0,0,0,0,0,12,12,0,0,2,4,6,12,12,0,0,2,4,6
"481","54017","ZCTA5 54017",5700,270,1534,2394,1502,5795,247,1212,2486,1850,67,0,51,15,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,28,32,0,4,16,12,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,40,0,40,0,0,109,0,0,61,48,5648,258,1513,2375,1502,5770,243,1205,2473,1849,61,12,21,28,0,28,4,7,13,4,70,3,67,0,54,15,1,89,28,61,16,28,41,4,159,31,128,16,82,56,5
