  -Block: 1004,Census Tract 124, Dane County, Wisconsin
  -Block: 5014,Census Tract 125.01, Dane County, Wisconsin
  -Block: 1026,Census Tract 125.01, Dane County, Wisconsin
  -Block: 3062,Census Tract 126, Dane County, Wisconsin
  -Block: 3034,Census Tract 126, Dane County, Wisconsin
  -Block: 1127,Census Tract 127, Dane County, Wisconsin
  -Block: 1070,Census Tract 127, Dane County, Wisconsin
  -Block: 4072,Census Tract 128, Dane County, Wisconsin
  -Block: 2013,Census Tract 128, Dane County, Wisconsin
  -Block: 2038,Census Tract 129, Dane County, Wisconsin
  -Block: 2085,Census Tract 129, Dane County, Wisconsin
  -Block: 2036,Census Tract 131, Dane County, Wisconsin
  -Block: 4075,Census Tract 131, Dane County, Wisconsin
  -Block: 4159,Census Tract 131, Dane County, Wisconsin
  -Block: 4098,Census Tract 131, Dane County, Wisconsin
  -Block: 1062,Census Tract 132.01, Dane County, Wisconsin
  -Block: 2008,Census Tract 132.01, Dane County, Wisconsin
  -Block: 1065,Census Tract 132.01, Dane County, Wisconsin
  -Block: 1058,Census Tract 132.01, Dane County, Wisconsin
  -Block: 1067,Census Tract 132.01, Dane County, Wisconsin
  -Block: 1044,Census Tract 132.01, Dane County, Wisconsin
  -Block: 1074,Census Tract 132.01, Dane County, Wisconsin
  -Block: 1007,Census Tract 132.01, Dane County, Wisconsin
  -Block: 1051,Census Tract 132.01, Dane County, Wisconsin
  -Block: 1013,Census Tract 132.02, Dane County, Wisconsin
  -Block: 2005,Census Tract 133.01, Dane County, Wisconsin
  -Block: 2019,Census Tract 133.01, Dane County, Wisconsin
  -Block: 2036,Census Tract 137, Dane County, Wisconsin
  -Block: 1036,Census Tract 1004, Jefferson County, Wisconsin
  -Block: 1024,Census Tract 1006.02, Jefferson County, Wisconsin
  -Block: 1048,Census Tract 1006.02, Jefferson County, Wisconsin
  -Block: 2001,Census Tract 4001.04, Washington County, Wisconsin
