"","GEOID","full_geoid","white_totalE","white_less10kE","white_10kto14kE","white_15kto19kE","white_20kto24kE","white_25kto29kE","white_30kto34kE","white_35kto39kE","white_40kto44kE","white_45kto49kE","white_50kto59kE","white_60kto74kE","white_75kto99kE","white_100kto124kE","white_125kto149kE","white_150kto199kE","white_200ktomoreE","black_totalE","black_less10kE","black_10kto14kE","black_15kto19kE","black_20kto24kE","black_25kto29kE","black_30kto34kE","black_35kto39kE","black_40kto44kE","black_45kto49kE","black_50kto59kE","black_60kto74kE","black_75kto99kE","black_100kto124kE","black_125kto149kE","black_150kto199kE","black_200ktomoreE","aian_totalE","aian_less10kE","aian_10kto14kE","aian_15kto19kE","aian_20kto24kE","aian_25kto29kE","aian_30kto34kE","aian_35kto39kE","aian_40kto44kE","aian_45kto49kE","aian_50kto59kE","aian_60kto74kE","aian_75kto99kE","aian_100kto124kE","aian_125kto149kE","aian_150kto199kE","aian_200ktomoreE","asian_totalE","asian_less10kE","asian_10kto14kE","asian_15kto19kE","asian_20kto24kE","asian_25kto29kE","asian_30kto34kE","asian_35kto39kE","asian_40kto44kE","asian_45kto49kE","asian_50kto59kE","asian_60kto74kE","asian_75kto99kE","asian_100kto124kE","asian_125kto149kE","asian_150kto199kE","asian_200ktomoreE","nhpi_totalE","nhpi_less10kE","nhpi_10kto14kE","nhpi_15kto19kE","nhpi_20kto24kE","nhpi_25kto29kE","nhpi_30kto34kE","nhpi_35kto39kE","nhpi_40kto44kE","nhpi_45kto49kE","nhpi_50kto59kE","nhpi_60kto74kE","nhpi_75kto99kE","nhpi_100kto124kE","nhpi_125kto149kE","nhpi_150kto199kE","nhpi_200ktomoreE","other_totalE","other_less10kE","other_10kto14kE","other_15kto19kE","other_20kto24kE","other_25kto29kE","other_30kto34kE","other_35kto39kE","other_40kto44kE","other_45kto49kE","other_50kto59kE","other_60kto74kE","other_75kto99kE","other_100kto124kE","other_125kto149kE","other_150kto199kE","other_200ktomoreE","mixed_totalE","mixed_less10kE","mixed_10kto14kE","mixed_15kto19kE","mixed_20kto24kE","mixed_25kto29kE","mixed_30kto34kE","mixed_35kto39kE","mixed_40kto44kE","mixed_45kto49kE","mixed_50kto59kE","mixed_60kto74kE","mixed_75kto99kE","mixed_100kto124kE","mixed_125kto149kE","mixed_150kto199kE","mixed_200ktomoreE","w_nothisp_totalE","w_nothisp_less10kE","w_nothisp_10kto14kE","w_nothisp_15kto19kE","w_nothisp_20kto24kE","w_nothisp_25kto29kE","w_nothisp_30kto34kE","w_nothisp_35kto39kE","w_nothisp_40kto44kE","w_nothisp_45kto49kE","w_nothisp_50kto59kE","w_nothisp_60kto74kE","w_nothisp_75kto99kE","w_nothisp_100kto124kE","w_nothisp_125kto149kE","w_nothisp_150kto199kE","w_nothisp_200ktomoreE","hisp_totalE","hisp_less10kE","hisp_10kto14kE","hisp_15kto19kE","hisp_20kto24kE","hisp_25kto29kE","hisp_30kto34kE","hisp_35kto39kE","hisp_40kto44kE","hisp_45kto49kE","hisp_50kto59kE","hisp_60kto74kE","hisp_75kto99kE","hisp_100kto124kE","hisp_125kto149kE","hisp_150kto199kE","hisp_200ktomoreE","BLACK_less25","BLACK_25_to_34","BLACK_35_to_49","BLACK_50_to_74","BLACK_75_to_99","BLACK_100_to_149","BLACK_150_to_199","BLACK_200_more","BLACK_TOTAL","HISP_less25","HISP_25_to_34","HISP_35_to_49","HISP_50_to_74","HISP_75_to_99","HISP_100_to_149","HISP_150_to_199","HISP_200_more","HISP_TOTAL","UNDERREP_less25","UNDERREP_25_to_34","UNDERREP_35_to_49","UNDERREP_50_to_74","UNDERREP_75_to_99","UNDERREP_100_to_149","UNDERREP_150_to_199","UNDERREP_200_more","UNDERREP_TOTAL"
"56","55013","Burnett County, Wisconsin",6775,327,406,307,360,330,340,346,369,297,768,727,906,600,289,216,187,24,0,7,7,2,3,0,0,0,0,0,0,4,0,1,0,0,252,18,38,12,24,9,11,10,20,1,18,18,33,6,27,4,3,16,0,0,0,3,0,0,3,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,163,17,17,0,2,3,3,3,4,0,17,31,31,27,3,5,0,6696,323,389,307,360,321,326,342,368,297,753,727,898,599,289,216,181,98,4,22,0,11,9,14,4,1,0,18,0,8,1,0,0,6,16,3,0,0,4,1,0,0,24,37,23,5,18,8,1,0,6,98,53,26,5,18,8,2,0,6,122
"57","55019","Clark County, Wisconsin",12598,536,574,661,536,667,832,663,610,567,1256,1391,1944,1006,567,460,328,46,9,0,0,0,0,3,0,0,18,0,4,8,0,4,0,0,34,0,0,0,7,0,0,0,5,0,10,4,0,5,0,3,0,32,0,0,0,2,5,0,0,4,0,0,1,6,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1,0,3,7,16,7,1,5,15,5,0,0,0,1,143,3,0,0,18,13,5,6,5,20,18,15,7,5,8,18,2,12342,507,571,643,530,645,816,646,600,563,1234,1353,1916,994,544,453,327,375,29,3,19,24,25,26,33,17,22,30,57,47,12,23,7,1,9,3,18,4,8,4,0,0,46,75,51,72,87,47,35,7,1,375,84,54,90,91,16,39,7,1,421
"58","55025","Dane County, Wisconsin",195219,6416,5157,5413,5897,6591,6778,7100,7163,7382,14872,19848,27642,22849,16470,17259,18382,9554,826,654,693,447,952,866,776,357,296,594,1326,784,259,282,276,166,672,13,9,20,57,66,23,36,60,66,49,102,50,21,33,32,35,11937,1715,320,309,557,343,280,332,244,355,728,1040,1987,1150,727,736,1114,187,0,0,0,0,0,0,0,5,0,9,10,139,13,0,0,11,3501,223,92,82,243,109,76,171,91,1309,351,321,129,153,59,18,74,5530,303,365,95,196,131,264,314,169,101,292,569,1079,441,443,457,311,189151,6125,4978,4967,5526,6235,6392,6666,6771,7090,14559,19432,26938,22192,16214,16939,18127,10045,640,455,538,597,553,604,723,562,396,743,1021,976,782,549,436,470,2620,1818,1429,1920,784,541,276,166,9554,2230,1157,1681,1764,976,1331,436,470,10045,4850,2975,3110,3684,1568,1872,712,636,19599
"59","55031","Douglas County, Wisconsin",17974,937,979,843,871,837,1116,658,813,812,1281,1961,2605,1881,1040,829,511,76,0,0,0,0,0,0,0,32,0,22,14,0,5,3,0,0,310,41,25,19,47,4,23,24,22,12,28,26,18,11,10,0,0,143,0,13,0,0,1,13,2,0,0,15,69,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,2,0,1,0,0,0,0,0,5,0,482,9,25,65,32,16,48,10,110,0,16,5,66,41,26,5,8,17828,932,979,843,846,837,1099,638,813,806,1266,1943,2565,1881,1040,829,511,162,5,5,0,26,0,17,22,0,6,15,18,40,0,0,0,8,0,0,32,36,0,8,0,0,76,36,17,28,33,40,0,0,8,162,36,17,60,69,0,8,0,8,238
"60","55037","Florence County, Wisconsin",2002,127,107,180,39,119,126,103,106,73,215,248,212,175,69,68,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,8,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1999,127,107,180,39,119,126,103,106,73,215,248,212,175,67,68,34,8,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,14,14,0,0,5,0,0,2,0,1,8,0,0,5,0,0,2,0,15,22
"61","55043","Grant County, Wisconsin",19150,1080,1030,1146,824,882,1062,949,1087,756,1654,1975,2909,1676,921,761,438,149,30,0,4,3,67,0,3,0,2,35,0,5,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,2,0,0,9,0,0,0,0,51,40,0,18,7,25,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,149,3,0,4,0,0,2,0,5,0,78,19,8,3,23,3,1,19039,1063,1030,1145,807,871,1052,945,1085,756,1626,1963,2905,1672,920,761,438,155,17,0,1,20,11,10,7,2,0,42,15,4,4,22,0,0,37,67,5,35,5,0,0,0,149,38,21,9,57,4,26,0,0,155,75,88,14,92,10,26,0,0,304
"62","55049","Iowa County, Wisconsin",9620,381,398,327,534,280,373,435,270,429,804,988,1548,968,661,690,534,21,0,0,7,0,0,0,0,1,3,0,0,0,4,6,0,0,40,0,0,9,0,0,0,0,0,0,28,1,0,0,2,0,0,56,0,0,0,0,0,17,0,3,0,0,5,8,23,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0,48,2,1,0,0,0,1,0,0,0,6,4,1,1,7,25,0,9548,381,398,327,534,273,373,432,262,429,804,986,1524,948,656,687,534,94,1,0,0,0,21,0,3,9,0,0,2,25,20,10,3,0,7,0,4,0,0,10,0,0,21,1,21,12,2,25,30,3,0,94,8,21,16,2,0,40,3,0,115
"63","55055","Jefferson County, Wisconsin",32143,1513,1015,1033,1258,1216,1722,1348,1679,1035,2414,3413,4645,3752,2538,2292,1270,111,0,0,20,0,5,20,0,0,1,21,0,12,0,32,0,0,84,0,5,3,0,67,0,0,0,0,3,0,5,0,1,0,0,165,0,0,8,50,6,5,0,0,0,5,4,39,11,0,27,10,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,18,12,41,16,11,27,42,0,16,140,38,21,0,0,33,414,35,52,21,8,10,15,11,9,7,68,31,76,43,6,17,5,31343,1506,973,974,1214,1201,1540,1262,1679,997,2283,3407,4566,3672,2516,2285,1268,1414,24,99,71,85,91,208,113,42,38,162,146,157,101,28,14,35,20,25,1,21,12,32,0,0,111,279,299,193,308,157,129,14,35,1414,299,324,194,329,24,161,14,35,1525
"64","55061","Kewaunee County, Wisconsin",8034,396,181,299,318,279,301,362,441,282,622,915,1339,1112,579,392,216,60,0,0,2,0,0,1,0,0,0,16,41,0,0,0,0,0,21,0,0,0,0,0,16,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,2,0,0,0,0,0,2,3,2,0,0,1,108,19,0,0,2,0,13,42,7,0,0,8,14,3,0,0,0,7958,396,181,295,310,266,301,362,441,282,590,915,1324,1112,579,392,212,132,3,0,4,8,15,0,42,0,0,32,2,21,0,0,0,5,2,1,0,57,0,0,0,0,60,15,15,42,34,21,0,0,5,132,17,16,42,91,0,0,0,5,192
"65","55067","Langlade County, Wisconsin",8269,430,560,406,316,450,410,508,489,345,720,905,1305,793,239,224,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,31,0,0,0,0,0,0,0,0,1,0,0,0,2,0,28,4,0,0,0,0,3,0,0,0,18,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,13,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,168,2,0,4,13,3,18,37,2,47,3,30,2,6,0,0,1,8241,429,560,406,300,449,408,508,489,340,720,904,1305,791,239,224,169,90,14,0,0,38,4,2,17,0,5,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,52,6,22,1,0,9,0,0,90,52,6,22,1,0,9,0,0,90
