"","GEOID","full_geoid","male_white_age18to19","male_white_age20to24","male_white_age25to29","male_white_age30to34","male_white_age35to44","male_white_age45to54","male_white_age55to64","male_white_age65to74","male_white_age75to84","male_white_age85over","female_white_age18to19","female_white_age20to24","female_white_age25to29","female_white_age30to34","female_white_age35to44","female_white_age45to54","female_white_age55to64","female_white_age65to74","female_white_age75to84","female_white_age85over","male_black_age18to19","male_black_age20to24","male_black_age25to29","male_black_age30to34","male_black_age35to44","male_black_age45to54","male_black_age55to64","male_black_age65to74","male_black_age75to84","male_black_age85over","female_black_age18to19","female_black_age20to24","female_black_age25to29","female_black_age30to34","female_black_age35to44","female_black_age45to54","female_black_age55to64","female_black_age65to74","female_black_age75to84","female_black_age85over","male_aian_age18to19","male_aian_age20to24","male_aian_age25to29","male_aian_age30to34","male_aian_age35to44","male_aian_age45to54","male_aian_age55to64","male_aian_age65to74","male_aian_age75to84","male_aian_age85over","female_aian_age18to19","female_aian_age20to24","female_aian_age25to29","female_aian_age30to34","female_aian_age35to44","female_aian_age45to54","female_aian_age55to64","female_aian_age65to74","female_aian_age75to84","female_aian_age85over","male_asian_age18to19","male_asian_age20to24","male_asian_age25to29","male_asian_age30to34","male_asian_age35to44","male_asian_age45to54","male_asian_age55to64","male_asian_age65to74","male_asian_age75to84","male_asian_age85over","female_asian_age18to19","female_asian_age20to24","female_asian_age25to29","female_asian_age30to34","female_asian_age35to44","female_asian_age45to54","female_asian_age55to64","female_asian_age65to74","female_asian_age75to84","female_asian_age85over","male_nhpi_age18to19","male_nhpi_age20to24","male_nhpi_age25to29","male_nhpi_age30to34","male_nhpi_age35to44","male_nhpi_age45to54","male_nhpi_age55to64","male_nhpi_age65to74","male_nhpi_age75to84","male_nhpi_age85over","female_nhpi_age18to19","female_nhpi_age20to24","female_nhpi_age25to29","female_nhpi_age30to34","female_nhpi_age35to44","female_nhpi_age45to54","female_nhpi_age55to64","female_nhpi_age65to74","female_nhpi_age75to84","female_nhpi_age85over","male_other_age18to19","male_other_age20to24","male_other_age25to29","male_other_age30to34","male_other_age35to44","male_other_age45to54","male_other_age55to64","male_other_age65to74","male_other_age75to84","male_other_age85over","female_other_age18to19","female_other_age20to24","female_other_age25to29","female_other_age30to34","female_other_age35to44","female_other_age45to54","female_other_age55to64","female_other_age65to74","female_other_age75to84","female_other_age85over","male_mixed_age18to19","male_mixed_age20to24","male_mixed_age25to29","male_mixed_age30to34","male_mixed_age35to44","male_mixed_age45to54","male_mixed_age55to64","male_mixed_age65to74","male_mixed_age75to84","male_mixed_age85over","female_mixed_age18to19","female_mixed_age20to24","female_mixed_age25to29","female_mixed_age30to34","female_mixed_age35to44","female_mixed_age45to54","female_mixed_age55to64","female_mixed_age65to74","female_mixed_age75to84","female_mixed_age85over","male_w_nothisp_age18to19","male_w_nothisp_age20to24","male_w_nothisp_age25to29","male_w_nothisp_age30to34","male_w_nothisp_age35to44","male_w_nothisp_age45to54","male_w_nothisp_age55to64","male_w_nothisp_age65to74","male_w_nothisp_age75to84","male_w_nothisp_age85over","female_w_nothisp_age18to19","female_w_nothisp_age20to24","female_w_nothisp_age25to29","female_w_nothisp_age30to34","female_w_nothisp_age35to44","female_w_nothisp_age45to54","female_w_nothisp_age55to64","female_w_nothisp_age65to74","female_w_nothisp_age75to84","female_w_nothisp_age85over","male_hisp_age18to19","male_hisp_age20to24","male_hisp_age25to29","male_hisp_age30to34","male_hisp_age35to44","male_hisp_age45to54","male_hisp_age55to64","male_hisp_age65to74","male_hisp_age75to84","male_hisp_age85over","female_hisp_age18to19","female_hisp_age20to24","female_hisp_age25to29","female_hisp_age30to34","female_hisp_age35to44","female_hisp_age45to54","female_hisp_age55to64","female_hisp_age65to74","female_hisp_age75to84","female_hisp_age85over","WHITE_FEMALE","WHITE_MALE","WHITE_TOTAL","WHITE_18_to_24","WHITE_25_to_34","WHITE_35_to_44","WHITE_45_to_54","WHITE_55_to_64","WHITE_65_over","BLACK_FEMALE","BLACK_MALE","BLACK_TOTAL","BLACK_18_to_24","BLACK_25_to_34","BLACK_35_to_44","BLACK_45_to_54","BLACK_55_to_64","BLACK_65_over","AI_AN_FEMALE","AI_AN_MALE","AI_AN_TOTAL","AI_AN_18_to_24","AI_AN_25_to_34","AI_AN_35_to_44","AI_AN_45_to_54","AI_AN_55_to_64","AI_AN_65_over","ASIAN_FEMALE","ASIAN_MALE","ASIAN_TOTAL","ASIAN_18_to_24","ASIAN_25_to_34","ASIAN_35_to_44","ASIAN_45_to_54","ASIAN_55_to_64","ASIAN_65_over","NHPI_FEMALE","NHPI_MALE","NHPI_TOTAL","NHPI_18_to_24","NHPI_25_to_34","NHPI_35_to_44","NHPI_45_to_54","NHPI_55_to_64","NHPI_65_over","OTHER_FEMALE","OTHER_MALE","OTHER_TOTAL","OTHER_18_to_24","OTHER_25_to_34","OTHER_35_to_44","OTHER_45_to_54","OTHER_55_to_64","OTHER_65_over","MIXED_FEMALE","MIXED_MALE","MIXED_TOTAL","MIXED_18_to_24","MIXED_25_to_34","MIXED_35_to_44","MIXED_45_to_54","MIXED_55_to_64","MIXED_65_over","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_TOTAL","W_NOTHISP_18_to_24","W_NOTHISP_25_to_34","W_NOTHISP_35_to_44","W_NOTHISP_45_to_54","W_NOTHISP_55_to_64","W_NOTHISP_65_over","HISP_FEMALE","HISP_MALE","HISP_TOTAL","HISP_18_to_24","HISP_25_to_34","HISP_35_to_44","HISP_45_to_54","HISP_55_to_64","HISP_65_over","ALL_FEMALE","ALL_MALE","ALL_TOTAL","ALL_18_to_24","ALL_25_to_34","ALL_35_to_44","ALL_45_to_54","ALL_55_to_64","ALL_65_over"
"11","55021","Columbia County, Wisconsin",567,1388,1638,1595,3521,3914,4352,3191,1326,368,520,1313,1393,1602,3242,3583,4265,3066,1428,821,0,97,134,48,126,153,91,35,0,2,7,46,4,0,26,55,0,4,4,0,0,97,134,48,126,153,91,35,0,2,7,46,4,0,26,55,0,4,4,0,0,8,5,33,45,5,11,6,2,0,32,4,1,23,51,32,38,52,10,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,18,15,82,44,12,14,1,0,7,25,13,30,80,0,12,1,1,0,54,40,51,32,271,34,75,14,3,0,0,63,68,16,90,74,66,12,3,10,543,1362,1500,1586,3482,3864,4336,3184,1321,368,485,1280,1381,1557,3196,3555,4242,3059,1416,821,55,41,156,24,305,100,83,23,5,0,42,101,52,79,157,58,69,8,12,0,16968,17508,34476,3788,6228,6763,7497,8617,10200,146,595,741,150,186,152,208,91,45,146,595,741,150,186,152,208,91,45,210,104,314,44,62,96,37,49,75,0,5,5,0,5,0,0,0,0,157,186,343,44,76,162,44,24,17,336,499,835,157,167,361,108,141,42,16750,17210,33960,3670,6024,6678,7419,8578,10169,509,709,1218,239,311,462,158,152,48,35222,37411,72633,8242,13245,14826,15679,17743,20641
"12","55023","Crawford County, Wisconsin",174,435,406,398,850,981,1251,1118,526,186,137,328,312,369,815,876,1238,1051,526,273,0,65,70,26,33,39,13,3,0,0,0,5,12,5,2,2,5,0,0,0,0,65,70,26,33,39,13,3,0,0,0,5,12,5,2,2,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,34,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,6,13,0,19,14,21,10,13,1,0,3,0,14,3,16,16,72,12,23,1,174,422,393,374,838,979,1248,1116,519,186,137,321,312,364,794,868,1238,1050,518,273,0,29,13,24,34,2,7,4,8,0,3,7,0,8,21,8,7,1,8,0,4687,5074,9761,1074,1485,1665,1857,2489,3680,26,236,262,70,113,35,41,18,3,26,236,262,70,113,35,41,18,3,48,5,53,0,0,34,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,88,87,175,22,36,30,37,82,50,4637,5001,9638,1054,1443,1632,1847,2486,3662,56,114,170,39,45,55,10,14,21,9568,10753,20321,2329,3235,3486,3838,5128,7433
"13","55025","Dane County, Wisconsin",6628,21715,18430,16744,31212,27494,28213,21702,8511,2823,7163,21980,16775,15634,29791,27310,29922,23824,10752,5294,541,1402,1294,1251,2109,1699,1193,498,132,26,577,1306,1355,1266,1930,1490,1165,543,103,39,541,1402,1294,1251,2109,1699,1193,498,132,26,577,1306,1355,1266,1930,1490,1165,543,103,39,713,3180,2007,1784,2634,1616,740,516,222,41,638,2459,1950,1666,2856,1603,1027,632,184,129,68,11,37,1,114,33,25,3,0,0,3,0,6,0,0,1,19,43,0,0,150,285,466,622,780,400,270,40,15,15,113,335,365,238,806,322,174,46,1,2,692,1667,1415,714,1711,951,833,177,19,36,412,1833,1243,1011,1575,1124,838,187,85,136,6365,20570,17721,15956,29502,26480,27838,21383,8396,2811,6696,20933,16032,14916,28668,26494,29553,23485,10508,5277,754,1917,1625,1558,3129,1929,993,386,130,27,769,1785,1427,1328,2634,1706,935,410,244,18,158523,155259,313782,57486,67583,61003,54804,58135,72906,8609,8952,17561,3826,5166,4039,3189,2358,1341,8609,8952,17561,3826,5166,4039,3189,2358,1341,12117,12713,24830,6990,7407,5490,3219,1767,1724,53,267,320,82,44,114,34,44,46,2228,2773,5001,883,1691,1586,722,444,119,7606,7382,14988,4604,4383,3286,2075,1671,640,153009,149184,302193,54564,64625,58170,52974,57391,71860,10321,11455,21776,5225,5938,5763,3635,1928,1215,361075,356937,718012,137486,162003,143490,123841,126096,151192
"14","55027","Dodge County, Wisconsin",833,2292,2571,2687,5715,5950,6948,4423,1649,1043,737,1888,2102,2181,4747,5363,6448,4475,2640,1167,53,188,415,271,414,340,195,42,0,0,0,0,65,2,56,0,15,39,0,25,53,188,415,271,414,340,195,42,0,0,0,0,65,2,56,0,15,39,0,25,3,0,0,15,91,20,65,10,0,0,5,22,12,29,30,44,21,0,9,0,0,11,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8,118,32,98,55,42,25,0,0,0,44,43,11,51,41,21,2,0,0,413,185,44,113,98,249,156,11,22,4,0,185,58,77,208,204,99,88,72,0,787,2197,2495,2581,5433,5865,6890,4377,1641,1025,707,1856,2006,2105,4560,5274,6371,4442,2609,1157,148,161,227,207,424,259,156,71,14,18,32,243,141,118,270,200,124,41,31,10,25300,27163,52463,5750,9541,10462,11313,13396,15397,187,1723,1910,241,753,470,340,210,106,187,1723,1910,241,753,470,340,210,106,151,139,290,30,56,121,64,86,19,0,41,41,11,30,0,0,0,0,192,388,580,104,204,149,96,63,27,892,1139,2031,783,292,306,453,255,197,24716,26401,51117,5547,9187,9993,11139,13261,15251,1086,1529,2615,584,693,694,459,280,185,52711,60246,112957,13291,21509,22665,24204,27761,31288
"15","55029","Door County, Wisconsin",227,547,578,588,1421,1650,2529,2618,1206,306,207,514,536,577,1351,1575,2636,2749,1272,574,0,5,4,4,0,8,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,5,4,4,0,8,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,13,0,0,2,7,0,3,0,0,4,0,20,2,2,7,12,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,4,60,72,0,0,0,0,11,14,3,18,29,24,12,4,0,6,4,7,0,21,37,33,56,4,14,0,66,3,14,9,58,0,39,42,0,0,224,541,570,574,1402,1603,2529,2612,1206,306,204,514,536,573,1328,1568,2623,2742,1268,568,3,25,32,18,103,118,36,8,14,0,14,14,73,24,99,21,25,24,4,12,9355,9141,18496,1495,2279,2772,3225,5165,8725,31,21,52,5,39,0,8,0,0,31,21,52,5,39,0,8,0,0,48,25,73,17,22,4,14,12,16,0,0,0,0,0,0,0,0,0,109,177,286,42,49,89,96,12,10,192,120,312,80,44,95,33,95,60,9301,9038,18339,1483,2253,2730,3171,5152,8702,285,321,606,56,147,202,139,61,62,19352,18864,38216,3183,4872,5892,6694,10497,17575
"16","55031","Douglas County, Wisconsin",499,1128,1233,1230,2522,2660,3259,2546,1089,213,504,1137,1168,1246,2481,2580,3270,2396,1052,644,0,26,0,34,109,10,16,4,9,0,2,82,0,1,64,2,3,0,4,0,0,26,0,34,109,10,16,4,9,0,2,82,0,1,64,2,3,0,4,0,27,16,0,43,25,51,27,16,0,0,19,20,10,34,80,33,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,8,43,12,0,2,0,13,1,0,0,3,1,16,2,0,3,34,62,59,5,39,101,98,39,33,0,12,86,40,121,120,66,69,14,21,0,478,1128,1206,1230,2502,2603,3234,2546,1089,213,471,1103,1168,1237,2463,2534,3266,2383,1052,642,32,0,27,12,70,62,48,0,0,0,46,43,0,17,18,61,29,15,0,5,13208,13120,26328,3268,4877,5003,5240,6529,7940,155,192,347,110,35,173,12,19,17,155,192,347,110,35,173,12,19,17,199,178,377,82,87,105,84,44,19,0,0,0,0,0,0,0,0,0,23,76,99,25,12,11,44,28,7,480,372,852,194,225,159,167,167,107,13053,12995,26048,3180,4841,4965,5137,6500,7925,205,203,408,121,56,88,123,77,20,27478,27328,54806,7090,10168,10677,10819,13383,16052
"17","55033","Dunn County, Wisconsin",1146,2667,1246,1207,2400,2484,2819,2055,826,311,1283,2604,1105,1098,2294,2322,2632,2099,1137,494,40,60,50,4,12,44,11,0,0,0,7,25,5,56,3,0,4,0,0,0,40,60,50,4,12,44,11,0,0,0,7,25,5,56,3,0,4,0,0,0,45,114,46,39,115,2,8,0,0,0,23,219,18,35,130,22,88,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,26,7,31,15,18,0,3,0,2,5,0,0,2,12,9,15,2,0,0,65,99,0,38,26,49,58,11,10,0,46,56,14,11,63,40,53,23,4,9,1129,2651,1237,1143,2373,2471,2807,2055,826,311,1268,2571,1100,1085,2275,2299,2613,2084,1137,494,44,78,16,94,41,38,19,2,0,0,41,42,8,17,76,37,44,18,0,0,14436,14342,28778,7700,4656,4694,4806,5451,6922,96,210,306,132,115,15,44,15,0,96,210,306,132,115,15,44,15,0,459,361,820,401,138,245,24,96,12,13,0,13,0,0,13,0,0,0,30,108,138,37,40,27,27,15,7,266,298,564,266,63,89,89,111,57,14313,14196,28509,7619,4565,4648,4770,5420,6907,239,313,552,205,135,117,75,63,20,29948,30038,59986,16492,9827,9863,9879,11186,13925
"18","55035","Eau Claire County, Wisconsin",1774,5260,3263,3129,5734,5244,5918,4659,1851,767,2285,5813,3099,2824,5415,5082,5965,5093,2447,1174,13,179,96,78,127,72,54,18,5,0,26,41,33,49,50,64,19,8,27,0,13,179,96,78,127,72,54,18,5,0,26,41,33,49,50,64,19,8,27,0,133,297,190,146,125,290,158,22,0,0,151,191,213,169,228,272,197,53,23,0,0,0,77,0,94,0,0,0,0,0,0,34,87,0,0,0,12,0,0,0,0,31,31,38,68,27,24,0,0,0,0,32,21,4,106,10,12,0,0,0,70,231,94,26,260,197,83,17,20,0,55,172,82,261,289,129,140,35,18,0,1742,5134,3234,3045,5673,5213,5874,4659,1849,767,2206,5760,2989,2765,5327,5074,5946,5093,2443,1158,53,291,64,84,206,170,88,0,2,0,103,89,121,116,254,11,61,0,35,16,33232,31681,64913,15132,12315,11149,10326,11883,15991,298,588,886,259,256,177,136,73,58,298,588,886,259,256,177,136,73,58,1300,1203,2503,772,718,353,562,355,98,121,171,292,34,164,94,0,12,0,173,195,368,63,94,174,37,36,0,1041,915,1956,528,463,549,326,223,90,32815,31316,64131,14842,12033,11000,10287,11820,15969,745,870,1615,536,385,460,181,149,53,70023,67527,137550,32425,26684,24133,21991,24624,32317
"19","55037","Florence County, Wisconsin",30,84,69,105,224,289,487,393,161,44,20,70,93,75,187,290,483,335,223,45,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,3,0,0,0,0,16,0,0,9,0,1,6,9,0,30,84,69,105,224,289,487,393,161,41,20,70,90,75,187,289,483,335,223,45,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,1,0,0,0,0,1338,1399,2737,204,342,411,579,970,1201,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,24,64,16,0,24,9,4,15,1334,1396,2730,204,339,411,578,970,1198,4,7,11,0,3,0,5,0,3,2716,2826,5542,424,684,846,1171,1986,2417
"20","55039","Fond du Lac County, Wisconsin",1133,2713,2607,2653,5792,6416,7480,5354,2225,932,1179,2799,2677,2644,5611,6179,7368,5647,2819,1675,8,108,14,52,80,52,119,22,0,0,17,186,128,173,19,181,24,5,0,0,8,108,14,52,80,52,119,22,0,0,17,186,128,173,19,181,24,5,0,0,34,44,36,66,218,3,25,0,0,0,7,12,5,126,116,110,47,9,87,0,0,20,0,0,0,25,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,109,22,172,188,61,25,35,3,1,35,28,13,22,329,64,21,14,62,4,93,245,246,4,252,190,243,34,6,3,73,82,128,57,119,123,85,32,13,3,1091,2589,2541,2561,5695,6179,7387,5344,2215,921,1018,2599,2614,2617,5473,6065,7269,5529,2818,1675,68,287,215,248,421,337,248,31,10,12,168,252,91,45,462,259,148,120,5,4,31230,29825,61055,7824,10581,11403,12595,14848,18652,709,336,1045,319,367,99,233,143,27,709,336,1045,319,367,99,233,143,27,472,401,873,97,233,334,113,72,96,43,45,88,20,0,0,68,0,0,571,591,1162,172,229,517,125,46,119,630,1073,1703,493,435,371,313,328,91,30408,29136,59544,7297,10333,11168,12244,14656,18502,1406,1629,3035,775,599,883,596,396,182,66178,63372,129550,17316,23144,24874,26520,30632,37696
"21","55041","Forest County, Wisconsin",94,188,149,179,385,469,666,572,307,91,62,161,178,157,334,443,695,577,246,168,0,0,14,0,11,10,8,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,14,0,11,10,8,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,0,3,0,0,30,0,0,0,0,0,0,3,0,0,1,0,0,34,47,16,9,21,38,11,8,0,0,0,0,45,0,28,10,11,19,1,0,94,188,149,172,364,469,666,568,302,91,62,148,178,157,334,439,695,567,246,156,7,13,15,7,24,0,0,4,5,0,0,13,0,0,3,4,4,11,0,12,2326,2434,4760,505,663,719,912,1361,1961,2,36,38,0,14,11,10,8,3,2,36,38,0,14,11,10,8,3,12,8,20,6,0,0,8,0,6,0,0,0,0,0,0,0,0,0,4,55,59,7,15,6,0,0,31,103,173,276,81,70,49,48,22,28,2287,2397,4684,492,656,698,908,1361,1930,43,75,118,33,22,27,4,4,32,4779,5214,9993,1124,1454,1521,1900,2764,3994
"22","55043","Grant County, Wisconsin",1729,3289,1416,1366,2693,2645,3394,2425,1088,481,1144,2312,1270,1164,2471,2464,3355,2525,1498,792,0,23,180,37,158,73,42,3,0,0,30,82,0,1,0,0,24,0,0,1,0,23,180,37,158,73,42,3,0,0,30,82,0,1,0,0,24,0,0,1,12,6,0,0,87,35,0,12,9,0,0,13,30,23,47,76,7,15,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,6,13,11,6,3,1,0,5,0,2,3,9,37,13,0,0,10,10,24,33,70,70,9,17,22,0,2,35,46,7,10,42,29,16,8,25,0,1714,3242,1412,1303,2627,2618,3392,2418,1082,481,1127,2290,1252,1143,2430,2450,3342,2520,1498,792,29,65,9,127,110,28,9,7,7,0,39,27,26,24,69,18,30,6,0,10,15640,17132,32772,8474,5216,5164,5109,6749,8809,114,474,588,135,218,158,73,66,4,114,474,588,135,218,158,73,66,4,216,161,377,31,53,134,111,7,48,0,1,1,0,0,0,1,0,0,66,55,121,19,18,22,48,19,14,202,240,442,115,120,112,38,33,57,15502,16897,32399,8373,5110,5057,5068,6734,8791,219,382,601,160,186,179,46,39,30,32073,35816,67889,17442,11139,10984,10567,13713,17757
"23","55045","Green County, Wisconsin",348,824,914,979,2164,2499,2931,2063,855,336,317,816,900,989,2093,2376,2829,2001,1042,549,0,10,19,0,17,27,3,0,0,0,0,3,37,2,0,0,0,0,0,0,0,10,19,0,17,27,3,0,0,0,0,3,37,2,0,0,0,0,0,0,0,0,3,16,0,2,0,0,0,0,0,6,15,28,2,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26,11,72,0,0,0,0,0,14,18,19,9,35,7,0,14,0,0,32,20,7,28,32,39,39,21,0,0,12,30,75,31,51,36,18,37,0,0,348,819,900,963,2139,2438,2886,2056,855,336,317,799,900,953,2074,2311,2788,1987,1042,549,2,48,39,27,109,72,45,7,0,0,14,35,52,46,66,72,41,26,0,0,11083,10982,22065,2305,3782,4257,4875,5760,6846,42,73,115,13,58,17,27,3,0,42,73,115,13,58,17,27,3,0,64,21,85,6,62,2,15,14,0,0,0,0,0,0,0,0,0,0,116,152,268,75,65,107,7,0,14,272,179,451,94,141,83,75,57,58,10932,10854,21786,2283,3716,4213,4749,5674,6825,311,304,615,99,164,175,144,86,33,22862,22638,45500,4888,8046,8871,9919,11597,13776
"24","55047","Green Lake County, Wisconsin",224,461,404,436,968,1138,1544,1222,540,194,167,426,373,432,947,1026,1454,1208,587,360,0,35,0,0,11,48,0,0,0,0,11,0,0,0,18,2,0,7,0,0,0,35,0,0,11,48,0,0,0,0,11,0,0,0,18,2,0,7,0,0,0,0,0,15,9,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,7,37,5,4,3,0,0,5,6,21,7,3,10,0,3,0,0,9,32,19,3,5,34,32,4,0,0,0,23,29,4,54,33,22,19,4,0,207,447,399,386,942,1104,1497,1222,537,194,167,389,370,420,881,1007,1448,1198,587,359,18,14,41,56,68,57,69,0,3,0,5,53,22,23,77,48,27,21,4,1,5526,5587,11113,1278,1645,1915,2164,2998,4111,38,94,132,46,0,29,50,0,7,38,94,132,46,0,29,50,0,7,29,24,53,0,26,27,0,0,0,0,0,0,0,0,0,0,0,0,55,76,131,12,58,40,15,4,6,166,106,272,64,55,59,67,54,27,5378,5438,10816,1210,1575,1823,2111,2945,4097,254,257,511,90,142,145,105,96,29,11484,11676,23160,2746,3501,4067,4562,6097,8284
"25","55049","Iowa County, Wisconsin",238,540,558,648,1391,1492,1886,1401,528,195,197,517,540,631,1285,1466,1855,1360,567,335,24,20,0,10,0,0,7,4,0,6,0,37,0,0,18,4,8,4,0,2,24,20,0,10,0,0,7,4,0,6,0,37,0,0,18,4,8,4,0,2,0,2,27,7,0,12,9,0,0,0,1,1,19,5,19,40,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,2,0,18,0,0,0,3,0,5,19,2,5,0,0,0,0,5,33,11,25,5,51,12,4,9,0,2,6,15,45,26,42,22,12,0,4,238,530,558,607,1385,1475,1883,1401,528,195,197,508,535,592,1285,1456,1828,1355,564,335,2,14,20,54,9,21,17,1,0,0,0,9,14,70,3,14,27,7,3,0,6898,6991,13889,1492,2377,2676,2958,3741,4386,65,64,129,81,10,18,4,15,16,65,64,129,81,10,18,4,15,16,85,48,133,4,58,19,52,15,0,0,0,0,0,0,0,0,0,0,34,35,69,3,57,4,5,18,0,152,143,295,46,96,31,93,34,29,6827,6917,13744,1473,2292,2670,2931,3711,4378,120,121,241,25,158,12,35,44,11,14246,14383,28629,3205,5058,5448,6082,7593,8836
"26","55051","Iron County, Wisconsin",41,95,109,101,275,370,599,556,284,69,55,83,99,125,266,349,572,501,316,113,0,1,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,2,4,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,9,2,5,9,1,4,0,0,0,23,0,5,5,2,5,0,0,41,95,109,101,272,368,599,556,284,66,55,83,99,125,266,349,554,501,313,113,4,0,0,0,3,6,4,0,4,3,0,0,0,15,0,0,18,1,3,0,1907,1900,3807,274,434,541,719,1171,1839,0,8,8,1,3,1,1,0,2,0,8,8,1,3,1,1,0,2,17,4,21,6,4,10,0,3,1,0,0,0,0,0,0,0,0,0,15,7,22,4,15,0,3,0,0,38,24,62,3,32,7,10,11,10,1904,1892,3796,274,434,538,717,1153,1833,19,20,39,4,15,3,6,22,11,3900,3863,7763,567,940,1101,1457,2360,3698
"27","55053","Jackson County, Wisconsin",189,496,572,574,1128,1300,1542,1149,633,83,149,374,436,448,966,1110,1384,1064,543,288,0,25,67,35,119,39,47,3,0,0,0,0,0,0,0,9,5,7,0,0,0,25,67,35,119,39,47,3,0,0,0,0,0,0,0,9,5,7,0,0,3,2,11,25,0,3,2,0,0,0,0,0,2,6,0,7,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,24,31,32,68,37,51,1,2,0,0,0,12,0,6,7,25,1,0,0,5,82,89,31,12,28,36,7,0,0,5,27,13,2,14,64,28,8,2,0,186,482,572,561,1124,1293,1532,1145,633,83,149,370,436,422,948,1106,1377,1063,542,288,11,38,50,53,89,42,44,4,2,0,0,20,8,30,36,43,22,4,1,0,5378,6124,11502,1208,2030,2094,2410,2926,3760,16,288,304,25,102,119,48,52,10,16,288,304,25,102,119,48,52,10,19,44,63,5,44,0,10,3,4,1,2,3,0,2,1,0,0,0,26,200,226,29,75,74,44,76,4,135,254,389,119,135,26,92,64,17,5324,6079,11403,1187,1991,2072,2399,2909,3754,142,289,431,69,141,125,85,66,11,11057,13568,24625,2667,4622,4630,5136,6148,7570
"28","55055","Jefferson County, Wisconsin",1297,2229,2228,2252,5007,5425,6046,4295,1975,425,1290,2146,2006,2314,4908,5301,6050,4449,2187,927,50,38,26,33,44,39,39,12,15,0,75,26,23,13,44,66,24,29,0,0,50,38,26,33,44,39,39,12,15,0,75,26,23,13,44,66,24,29,0,0,6,0,16,5,58,53,37,11,0,0,32,1,4,30,36,52,49,0,0,0,0,17,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,77,61,18,99,300,100,167,5,0,0,43,39,72,59,168,121,7,41,6,0,41,129,61,84,235,173,88,37,0,0,38,35,152,84,208,139,111,51,6,9,1222,2183,2072,2180,4761,5344,5978,4264,1975,419,1136,2025,1966,2201,4717,5176,5924,4415,2170,927,150,207,207,213,613,278,275,50,0,6,203,176,190,212,423,320,204,75,23,0,25528,25133,50661,6962,8800,9915,10726,12096,14258,276,257,533,189,95,88,105,63,56,276,257,533,189,95,88,105,63,56,155,149,304,39,55,94,105,86,11,0,33,33,17,0,0,0,0,16,549,660,1209,220,248,468,221,174,52,722,760,1482,243,381,443,312,199,103,24733,24420,49153,6566,8419,9478,10520,11902,14170,1622,1724,3346,736,822,1036,598,479,154,53861,53393,107254,15161,18915,21610,22692,25062,28876
