,GEOID,full_geoid,male_white_total,male_white_less_hs,male_white_hs_grad,male_white_some_college,male_white_bs,female_white_total,female_white_less_hs,female_white_hs_grad,female_white_some_college,female_white_bs,male_black_total,male_black_less_hs,male_black_hs_grad,male_black_some_college,male_black_bs,female_black_total,female_black_less_hs,female_black_hs_grad,female_black_some_college,female_black_bs,male_aian_total,male_aian_less_hs,male_aian_hs_grad,male_aian_some_college,male_aian_bs,female_aian_total,female_aian_less_hs,female_aian_hs_grad,female_aian_some_college,female_aian_bs,male_asian_total,male_asian_less_hs,male_asian_hs_grad,male_asian_some_college,male_asian_bs,female_asian_total,female_asian_less_hs,female_asian_hs_grad,female_asian_some_college,female_asian_bs,male_nhpi_total,male_nhpi_less_hs,male_nhpi_hs_grad,male_nhpi_some_college,male_nhpi_bs,female_nhpi_total,female_nhpi_less_hs,female_nhpi_hs_grad,female_nhpi_some_college,female_nhpi_bs,male_other_total,male_other_less_hs,male_other_hs_grad,male_other_some_college,male_other_bs,female_other_total,female_other_less_hs,female_other_hs_grad,female_other_some_college,female_other_bs,male_mixed_total,male_mixed_less_hs,male_mixed_hs_grad,male_mixed_some_college,male_mixed_bs,female_mixed_total,female_mixed_less_hs,female_mixed_hs_grad,female_mixed_some_college,female_mixed_bs,male_w_nothisp_total,male_w_nothisp_less_hs,male_w_nothisp_hs_grad,male_w_nothisp_some_college,male_w_nothisp_bs,female_w_nothisp_total,female_w_nothisp_less_hs,female_w_nothisp_hs_grad,female_w_nothisp_some_college,female_w_nothisp_bs,male_hisp_total,male_hisp_less_hs,male_hisp_hs_grad,male_hisp_some_college,male_hisp_bs,female_hisp_total,female_hisp_less_hs,female_hisp_hs_grad,female_hisp_some_college,female_hisp_bs,BLACK_TOTAL,BLACK_FEMALE,BLACK_MALE,BLACK_LESS_HS_TOTAL,BLACK_HS_TOTAL,BLACK_SOME_COLLEGE_TOTAL,BLACK_COLLEGE_TOTAL,HISP_TOTAL,HISP_FEMALE,HISP_MALE,HISP_LESS_HS_TOTAL,HISP_HS_TOTAL,HISP_SOME_COLLEGE_TOTAL,HISP_COLLEGE_TOTAL,UNDERREP_TOTAL,UNDERREP_FEMALE,UNDERREP_MALE,UNDERREP_LESS_HS_TOTAL,UNDERREP_HS_TOTAL,UNDERREP_SOME_COLLEGE_TOTAL,UNDERREP_COLLEGE_TOTAL
29,55083,"Oconto County, Wisconsin",13752,1453,5909,4494,1896,13176,770,5474,4306,2626,44,6,0,7,31,59,7,7,32,13,157,55,21,77,4,133,33,48,22,30,5,0,0,0,5,52,5,19,28,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,12,6,3,3,0,174,43,48,51,32,239,29,23,91,96,13635,1422,5848,4469,1896,13048,750,5406,4270,2622,148,33,66,48,1,187,44,79,48,16,103,59,44,13,7,39,44,335,187,148,77,145,96,17,438,246,192,90,152,135,61
30,55087,"Outagamie County, Wisconsin",57025,3115,18222,18765,16923,59625,2425,18165,20114,18921,843,145,285,324,89,499,58,180,183,78,800,113,293,296,98,902,33,294,408,167,1865,403,497,345,620,1957,516,376,517,548,46,0,0,46,0,25,0,0,12,13,1005,294,246,307,158,549,172,231,139,7,964,183,279,234,268,889,103,175,381,230,56256,2954,17985,18530,16787,58585,2305,18026,19593,18661,2080,503,601,623,353,1889,358,384,835,312,1342,499,843,203,465,507,167,3969,1889,2080,861,985,1458,665,5311,2388,2923,1064,1450,1965,832
31,55089,"Ozaukee County, Wisconsin",28392,779,6163,7100,14350,30347,762,6380,8340,14865,438,95,52,113,178,385,63,54,96,172,90,48,0,12,30,61,0,17,14,30,559,33,39,198,289,679,59,72,144,404,6,0,0,0,6,24,0,0,21,3,117,14,31,52,20,200,37,37,49,77,432,10,66,165,191,518,85,72,76,285,27869,726,6045,6969,14129,29975,728,6328,8285,14634,757,67,178,182,330,765,156,115,125,369,823,385,438,158,106,209,350,1522,765,757,223,293,307,699,2345,1150,1195,381,399,516,1049
32,55093,"Pierce County, Wisconsin",13046,790,4208,4630,3418,12763,540,3804,4122,4297,81,6,2,49,24,30,0,3,23,4,10,5,2,3,0,23,0,10,1,12,18,1,9,8,0,137,0,13,58,66,0,0,0,0,0,2,2,0,0,0,38,19,9,10,0,80,3,4,24,49,222,7,27,134,54,248,57,72,66,53,12921,776,4172,4566,3407,12659,527,3759,4093,4280,234,38,47,129,20,211,45,49,51,66,111,30,81,6,5,72,28,445,211,234,83,96,180,86,556,241,315,89,101,252,114
33,55095,"Polk County, Wisconsin",15260,1029,5839,5105,3287,15310,683,5217,5725,3685,74,12,19,32,11,43,0,3,35,5,125,32,47,29,17,131,23,35,57,16,43,1,22,5,15,78,0,15,46,17,1,0,1,0,0,3,0,3,0,0,74,34,32,6,2,31,16,4,9,2,183,11,80,67,25,180,4,58,69,49,15153,1025,5793,5054,3281,15134,668,5133,5665,3668,200,57,83,51,9,230,35,91,86,18,117,43,74,12,22,67,16,430,230,200,92,174,137,27,547,273,274,104,196,204,43
34,55099,"Price County, Wisconsin",5103,459,2085,1674,885,4784,299,1880,1804,801,65,38,26,1,0,6,0,6,0,0,38,7,12,16,3,37,0,7,20,10,22,10,1,6,5,35,3,7,11,14,41,0,0,41,0,67,0,0,67,0,8,2,4,0,2,27,0,26,1,0,35,7,6,16,6,45,3,8,21,13,4971,457,2032,1599,883,4736,290,1877,1768,801,138,4,57,75,2,80,12,25,39,4,71,6,65,38,32,1,0,218,80,138,16,82,114,6,289,86,203,54,114,115,6
35,55101,"Racine County, Wisconsin",54619,4764,17503,17760,14592,57958,3189,17574,20160,17035,6205,1432,2531,1858,384,6672,837,2088,2853,894,327,26,102,132,67,358,0,146,155,57,680,52,46,217,365,1110,143,436,175,356,13,0,13,0,0,91,15,33,0,43,1886,608,528,349,401,1514,399,481,563,71,1217,271,359,459,128,1450,226,376,672,176,50430,3515,16074,16608,14233,53739,2366,16345,18741,16287,6767,2075,2240,1711,741,6552,1407,1932,2369,844,12877,6672,6205,2269,4619,4711,1278,13319,6552,6767,3482,4172,4080,1585,26196,13224,12972,5751,8791,8791,2863
36,55105,"Rock County, Wisconsin",47904,3807,17210,16004,10883,51278,2943,17424,17793,13118,2193,379,843,811,160,2210,273,730,741,466,193,6,91,48,48,172,0,0,128,44,378,92,67,82,137,729,60,171,167,331,0,0,0,0,0,22,0,15,7,0,1945,712,771,300,162,1768,583,552,370,263,934,89,232,346,267,1207,267,259,472,209,46510,3426,16722,15697,10665,50167,2751,17074,17498,12844,3530,1138,1306,625,461,3143,869,923,802,549,4403,2210,2193,652,1573,1552,626,6673,3143,3530,2007,2229,1427,1010,11076,5353,5723,2659,3802,2979,1636
37,55107,"Rusk County, Wisconsin",4947,600,2097,1502,748,4988,514,1907,1637,930,42,0,33,7,2,45,9,28,0,8,3,3,0,0,0,21,1,7,13,0,5,2,3,0,0,24,0,18,6,0,7,7,0,0,0,3,0,0,3,0,27,5,0,5,17,3,2,0,1,0,122,3,47,54,18,55,15,13,9,18,4925,594,2083,1500,748,4927,509,1869,1621,928,34,12,14,7,1,84,7,53,22,2,87,45,42,9,61,7,10,118,84,34,19,67,29,3,205,129,76,28,128,36,13
38,55111,"Sauk County, Wisconsin",20855,1834,7622,6721,4678,21803,1597,7123,7477,5606,205,15,82,59,49,41,20,18,2,1,222,29,31,143,19,222,56,36,125,5,80,5,5,18,52,149,9,28,21,91,11,11,0,0,0,0,0,0,0,0,300,159,123,13,5,209,111,54,25,19,341,73,135,59,74,345,2,55,241,47,20403,1748,7509,6560,4586,21360,1483,7052,7394,5431,878,323,268,183,104,698,225,125,154,194,246,41,205,35,100,61,50,1576,698,878,548,393,337,298,1822,739,1083,583,493,398,348
39,55113,"Sawyer County, Wisconsin",5172,404,1904,1544,1320,4994,369,1449,1716,1460,58,3,21,25,9,0,0,0,0,0,782,98,357,274,53,816,83,199,428,106,65,0,3,50,12,20,3,7,4,6,5,0,5,0,0,0,0,0,0,0,6,5,0,1,0,41,4,14,0,23,243,4,92,118,29,186,0,31,93,62,5162,404,1899,1539,1320,4953,361,1444,1696,1452,152,5,11,136,0,125,12,19,20,74,58,0,58,3,21,25,9,277,125,152,17,30,156,74,335,125,210,20,51,181,83
40,55115,"Shawano County, Wisconsin",13238,1190,6317,3730,2001,13366,877,5410,4714,2365,105,13,27,34,31,20,13,0,7,0,825,128,436,189,72,877,34,337,373,133,0,0,0,0,0,98,8,43,3,44,0,0,0,0,0,0,0,0,0,0,36,21,13,2,0,20,3,7,9,1,310,37,129,79,65,305,14,73,161,57,13061,1164,6254,3655,1988,13181,857,5373,4610,2341,263,48,98,78,39,227,25,69,105,28,125,20,105,26,27,41,31,490,227,263,73,167,183,67,615,247,368,99,194,224,98
41,55117,"Sheboygan County, Wisconsin",36265,2324,13244,11498,9199,37089,1639,12999,12363,10088,897,100,282,408,107,354,44,104,203,3,106,12,8,64,22,125,15,46,38,26,1682,312,505,465,400,1762,401,411,601,349,5,0,0,5,0,0,0,0,0,0,356,78,144,125,9,392,21,205,80,86,578,30,207,162,179,464,83,16,228,137,35008,1976,12694,11261,9077,36059,1421,12700,11980,9958,1856,450,784,441,181,1672,319,509,560,284,1251,354,897,144,386,611,110,3528,1672,1856,769,1293,1001,465,4779,2026,2753,913,1679,1612,575
42,55119,"Taylor County, Wisconsin",7007,912,3219,1965,911,6857,702,2747,2085,1323,4,4,0,0,0,0,0,0,0,0,10,0,6,4,0,16,1,5,4,6,18,0,0,4,14,26,0,26,0,0,0,0,0,0,0,13,0,0,0,13,6,0,0,6,0,4,0,0,4,0,93,30,12,39,12,95,25,13,42,15,6933,857,3213,1952,911,6789,674,2725,2079,1311,99,74,7,16,2,120,50,24,31,15,4,0,4,4,0,0,0,219,120,99,124,31,47,17,223,120,103,128,31,47,17
43,55121,"Trempealeau County, Wisconsin",9660,801,4153,3064,1642,9553,543,3304,3584,2122,56,22,15,14,5,31,6,10,7,8,34,11,2,21,0,35,10,12,2,11,27,0,18,4,5,68,3,25,30,10,0,0,0,0,0,2,0,2,0,0,317,124,159,28,6,193,84,89,20,0,70,8,40,18,4,44,2,14,20,8,9483,758,4076,3022,1627,9426,525,3241,3542,2118,531,185,253,72,21,332,104,157,67,4,87,31,56,28,25,21,13,863,332,531,289,410,139,25,950,363,587,317,435,160,38
44,55123,"Vernon County, Wisconsin",9980,1062,4139,2671,2108,10149,923,3326,3371,2529,46,18,10,18,0,4,0,0,0,4,28,13,7,8,0,18,0,0,18,0,12,0,0,10,2,81,22,19,31,9,0,0,0,0,0,8,0,8,0,0,60,36,16,3,5,45,14,5,0,26,123,3,49,39,32,152,4,12,115,21,9935,1054,4130,2650,2101,10060,913,3309,3331,2507,134,54,33,33,14,139,24,29,51,35,50,4,46,18,10,18,4,273,139,134,78,62,84,49,323,143,180,96,72,102,53
45,55125,"Vilas County, Wisconsin",7787,330,2444,2817,2196,7660,340,2255,2693,2372,18,13,0,0,5,18,10,0,0,8,709,140,276,260,33,637,43,268,226,100,16,0,0,0,16,74,3,36,14,21,5,0,0,5,0,8,0,0,0,8,6,6,0,0,0,17,8,0,9,0,124,29,56,37,2,180,8,50,94,28,7687,329,2423,2745,2190,7552,326,2234,2654,2338,127,7,36,77,7,140,30,21,40,49,36,18,18,23,0,0,13,267,140,127,37,57,117,56,303,158,145,60,57,117,69
46,55127,"Walworth County, Wisconsin",31533,2818,10065,9866,8784,32786,1924,9532,10693,10637,256,77,81,69,29,139,0,6,87,46,118,42,38,34,4,136,99,11,22,4,249,44,22,108,75,303,58,64,44,137,12,0,4,1,7,0,0,0,0,0,1015,290,442,221,62,658,197,205,132,124,747,165,319,145,118,893,154,186,287,266,29952,2129,9638,9628,8557,31336,1445,9171,10281,10439,3044,1177,1038,509,320,2601,836,688,681,396,395,139,256,77,87,156,75,5645,2601,3044,2013,1726,1190,716,6040,2740,3300,2090,1813,1346,791
47,55129,"Washburn County, Wisconsin",5584,457,2039,1829,1259,5767,326,1724,2389,1328,72,0,24,48,0,5,0,0,5,0,65,19,25,11,10,72,0,34,34,4,37,8,0,10,19,35,23,4,3,5,0,0,0,0,0,0,0,0,0,0,23,0,22,1,0,34,17,1,0,16,108,17,24,46,21,110,11,27,41,31,5550,453,2023,1815,1259,5722,324,1713,2364,1321,92,6,20,63,3,82,19,29,25,9,77,5,72,0,24,53,0,174,82,92,25,49,88,12,251,87,164,25,73,141,12
48,55131,"Washington County, Wisconsin",45230,2601,14175,14623,13831,46804,1665,13361,15455,16323,503,7,109,312,75,512,32,52,299,129,98,1,39,7,51,98,14,25,33,26,541,26,87,104,324,610,26,192,81,311,29,5,0,16,8,8,8,0,0,0,512,243,99,106,64,147,30,76,27,14,327,14,61,101,151,434,16,10,137,271,44665,2470,13971,14537,13687,46211,1602,13255,15213,16141,1165,374,310,255,226,934,109,182,371,272,1015,512,503,39,161,611,204,2099,934,1165,483,492,626,498,3114,1446,1668,522,653,1237,702
49,55133,"Waukesha County, Wisconsin",126789,4527,28447,38240,55575,136012,4366,30342,40662,60642,1986,262,501,891,332,1456,258,351,361,486,283,30,67,101,85,241,22,28,89,102,4859,110,562,391,3796,5093,328,603,529,3633,51,14,0,25,12,12,0,0,5,7,2403,340,392,1573,98,1509,285,188,286,750,1666,49,239,406,972,2389,201,350,786,1052,123324,3602,27620,37362,54740,132568,3889,29604,39511,59564,5123,1265,1230,1279,1349,5078,949,1085,1480,1564,3442,1456,1986,520,852,1252,818,10201,5078,5123,2214,2315,2759,2913,13643,6534,7109,2734,3167,4011,3731
50,55135,"Waupaca County, Wisconsin",18056,1629,7931,5001,3495,17775,1190,7007,5555,4023,160,51,80,29,0,16,0,9,7,0,126,7,28,14,77,60,4,30,5,21,78,1,14,1,62,91,5,15,46,25,10,0,1,1,8,1,0,1,0,0,171,111,27,30,3,196,22,10,143,21,168,17,73,51,27,177,11,60,97,9,17796,1464,7905,4973,3454,17622,1117,6982,5512,4011,489,298,69,62,60,385,87,70,200,28,176,16,160,51,89,36,0,874,385,489,385,139,262,88,1050,401,649,436,228,298,88
51,55137,"Waushara County, Wisconsin",8990,1086,3870,2714,1320,8185,817,3264,2492,1612,323,53,192,57,21,44,36,0,8,0,68,21,8,39,0,24,11,2,8,3,44,0,12,9,23,49,0,14,15,20,4,0,4,0,0,0,0,0,0,0,174,51,92,28,3,157,28,110,19,0,219,41,112,47,19,119,2,64,14,39,8832,997,3829,2698,1308,8003,713,3223,2468,1599,377,157,161,45,14,357,134,149,43,31,367,44,323,89,192,65,21,734,357,377,291,310,88,45,1101,401,700,380,502,153,66
52,55139,"Winnebago County, Wisconsin",53587,3387,18102,17280,14818,54041,2526,17573,17042,16900,1562,538,643,288,93,557,25,158,272,102,362,36,187,91,48,219,9,35,120,55,1439,312,404,283,440,1470,245,378,306,541,21,0,0,21,0,49,49,0,0,0,463,230,78,113,42,276,135,33,101,7,639,144,252,115,128,919,17,210,360,332,52379,3042,17732,17012,14593,52810,2337,17268,16487,16718,1791,660,480,417,234,1614,341,343,720,210,2119,557,1562,563,801,560,195,3405,1614,1791,1001,823,1137,444,5524,2171,3353,1564,1624,1697,639
53,55141,"Wood County, Wisconsin",24176,2000,9887,7708,4581,25515,1429,9388,9205,5493,220,92,39,39,50,92,8,18,44,22,77,4,35,36,2,161,14,74,28,45,423,34,72,131,186,540,118,84,75,263,0,0,0,0,0,3,0,0,3,0,158,91,44,23,0,111,72,8,31,0,219,7,96,104,12,371,71,141,88,71,23751,1914,9626,7685,4526,25205,1422,9258,9083,5442,598,177,334,32,55,513,125,196,141,51,312,92,220,100,57,83,72,1111,513,598,302,530,173,106,1423,605,818,402,587,256,178
