"","GEOID","full_geoid"
"1",5501,"Congressional District 1 (116th Congress), Wisconsin"
"2",5505,"Congressional District 5 (116th Congress), Wisconsin"
"3",5502,"Congressional District 2 (116th Congress), Wisconsin"
"4",5503,"Congressional District 3 (116th Congress), Wisconsin"
"5",5504,"Congressional District 4 (116th Congress), Wisconsin"
"6",5507,"Congressional District 7 (116th Congress), Wisconsin"
"7",5506,"Congressional District 6 (116th Congress), Wisconsin"
"8",5508,"Congressional District 8 (116th Congress), Wisconsin"
