"","GEOID","NAME","all_over18","hisp_over18","white_over18","baa_over18","amin_over18","asian_over18","nhpi_over18","other_over18","multi_over18","summary_value"
"58","55131450105","Census Tract 4501.05, Washington County, Wisconsin",2279,30,2238,16,5,19,0,1,54,3014
"59","55131450106","Census Tract 4501.06, Washington County, Wisconsin",4468,115,4337,26,11,48,1,45,171,6144
"60","55131450107","Census Tract 4501.07, Washington County, Wisconsin",2773,67,2687,26,1,27,4,28,80,3587
"61","55131450108","Census Tract 4501.08, Washington County, Wisconsin",2433,47,2375,21,1,28,0,8,65,3202
"62","55131460101","Census Tract 4601.01, Washington County, Wisconsin",4916,52,4792,31,7,58,0,28,115,6320
"63","55131460102","Census Tract 4601.02, Washington County, Wisconsin",4130,56,4049,12,3,47,0,19,104,5419
"64","55131470100","Census Tract 4701, Washington County, Wisconsin",4373,103,4096,97,24,125,0,31,126,5790
"65","55131470202","Census Tract 4702.02, Washington County, Wisconsin",4718,97,4456,99,10,140,1,12,150,6124
"66","55131470203","Census Tract 4702.03, Washington County, Wisconsin",3842,154,3395,163,8,223,0,53,165,5028
"67","55131470204","Census Tract 4702.04, Washington County, Wisconsin",3041,60,2731,109,17,170,1,13,77,4216
"68","55133200101","Census Tract 2001.01, Waukesha County, Wisconsin",3340,98,3066,93,11,147,1,22,147,4513
"69","55133200102","Census Tract 2001.02, Waukesha County, Wisconsin",4219,163,3896,128,9,154,3,29,189,5440
"70","55133200103","Census Tract 2001.03, Waukesha County, Wisconsin",2279,74,2126,66,9,62,0,16,90,3017
"71","55133200201","Census Tract 2002.01, Waukesha County, Wisconsin",3074,42,2883,109,7,72,0,3,76,3639
"72","55051180100","Census Tract 1801, Iron County, Wisconsin",2123,14,2061,1,36,7,0,18,46,2616
"73","55051180200","Census Tract 1802, Iron County, Wisconsin",1109,7,1098,4,4,0,0,3,28,1352
"74","55051180300","Census Tract 1803, Iron County, Wisconsin",1917,19,1874,8,16,4,0,15,32,2169
"75","55051990000","Census Tract 9900, Iron County, Wisconsin",0,0,0,0,0,0,0,0,0,0
"76","55053960100","Census Tract 9601, Jackson County, Wisconsin",3444,136,2519,363,521,23,0,18,99,4293
"77","55053960200","Census Tract 9602, Jackson County, Wisconsin",2482,118,2330,3,54,6,0,89,86,3286
"78","55053960300","Census Tract 9603, Jackson County, Wisconsin",3168,61,3095,1,34,12,0,26,91,4302
"79","55053960400","Census Tract 9604, Jackson County, Wisconsin",3200,44,3144,3,20,9,0,24,100,4497
"80","55053960500","Census Tract 9605, Jackson County, Wisconsin",3618,87,3261,28,273,25,0,31,128,4767
"81","55055100100","Census Tract 1001, Jefferson County, Wisconsin",3848,235,3643,49,18,46,2,90,184,5396
"82","55055100200","Census Tract 1002, Jefferson County, Wisconsin",2415,281,2232,42,19,12,0,110,144,3586
"83","55055100301","Census Tract 1003.01, Jefferson County, Wisconsin",2769,173,2661,17,7,18,0,66,116,3737
"84","55055100302","Census Tract 1003.02, Jefferson County, Wisconsin",1686,208,1536,33,6,16,0,95,112,2358
"85","55055100400","Census Tract 1004, Jefferson County, Wisconsin",4388,428,4098,48,4,28,2,208,208,5921
"86","55055100500","Census Tract 1005, Jefferson County, Wisconsin",4987,226,4816,22,17,35,0,97,208,6837
"87","55055100601","Census Tract 1006.01, Jefferson County, Wisconsin",1274,19,1265,4,1,3,0,1,29,1656
"88","55055100602","Census Tract 1006.02, Jefferson County, Wisconsin",2753,81,2693,14,9,12,0,25,83,3437
"89","55055100700","Census Tract 1007, Jefferson County, Wisconsin",3653,258,3453,17,16,55,1,111,196,4982
"90","55055100800","Census Tract 1008, Jefferson County, Wisconsin",3180,54,3132,7,6,9,2,24,98,4038
"91","55055100900","Census Tract 1009, Jefferson County, Wisconsin",3079,118,3004,2,16,20,0,37,118,3801
"92","55055101000","Census Tract 1010, Jefferson County, Wisconsin",2790,183,2693,22,11,3,0,61,143,3678
"93","55055101100","Census Tract 1011, Jefferson County, Wisconsin",3048,371,2783,58,23,26,2,156,300,4373
"94","55055101201","Census Tract 1012.01, Jefferson County, Wisconsin",1819,34,1797,9,3,5,0,5,67,2277
"95","55055101202","Census Tract 1012.02, Jefferson County, Wisconsin",1246,23,1217,3,11,6,0,9,31,1678
"96","55055101300","Census Tract 1013, Jefferson County, Wisconsin",4436,266,4204,33,20,51,1,127,223,6017
"97","55055101400","Census Tract 1014, Jefferson County, Wisconsin",2373,312,2128,42,21,26,0,156,178,3355
"98","55055101500","Census Tract 1015, Jefferson County, Wisconsin",3003,241,2848,25,10,21,1,98,161,3976
"99","55055101600","Census Tract 1016, Jefferson County, Wisconsin",5518,672,4824,146,31,113,6,398,242,6844
"100","55055101701","Census Tract 1017.01, Jefferson County, Wisconsin",1124,57,1075,9,9,3,3,25,35,1434
"101","55055101702","Census Tract 1017.02, Jefferson County, Wisconsin",3977,83,3897,16,8,23,2,31,107,5519
"102","55057100100","Census Tract 1001, Juneau County, Wisconsin",2180,75,2123,5,14,8,0,30,83,2819
"103","55057100200","Census Tract 1002, Juneau County, Wisconsin",2755,37,2681,7,14,30,0,23,84,3586
"104","55057100301","Census Tract 1003.01, Juneau County, Wisconsin",1166,17,1154,3,2,3,1,3,32,1450
"105","55057100302","Census Tract 1003.02, Juneau County, Wisconsin",1633,14,1610,6,7,7,0,3,65,2087
"106","55057100400","Census Tract 1004, Juneau County, Wisconsin",4119,106,3627,361,80,33,0,18,124,5134
