,GEOID,full_geoid,male_white_total,male_white_less_hs,male_white_hs_grad,male_white_some_college,male_white_bs,female_white_total,female_white_less_hs,female_white_hs_grad,female_white_some_college,female_white_bs,male_black_total,male_black_less_hs,male_black_hs_grad,male_black_some_college,male_black_bs,female_black_total,female_black_less_hs,female_black_hs_grad,female_black_some_college,female_black_bs,male_aian_total,male_aian_less_hs,male_aian_hs_grad,male_aian_some_college,male_aian_bs,female_aian_total,female_aian_less_hs,female_aian_hs_grad,female_aian_some_college,female_aian_bs,male_asian_total,male_asian_less_hs,male_asian_hs_grad,male_asian_some_college,male_asian_bs,female_asian_total,female_asian_less_hs,female_asian_hs_grad,female_asian_some_college,female_asian_bs,male_nhpi_total,male_nhpi_less_hs,male_nhpi_hs_grad,male_nhpi_some_college,male_nhpi_bs,female_nhpi_total,female_nhpi_less_hs,female_nhpi_hs_grad,female_nhpi_some_college,female_nhpi_bs,male_other_total,male_other_less_hs,male_other_hs_grad,male_other_some_college,male_other_bs,female_other_total,female_other_less_hs,female_other_hs_grad,female_other_some_college,female_other_bs,male_mixed_total,male_mixed_less_hs,male_mixed_hs_grad,male_mixed_some_college,male_mixed_bs,female_mixed_total,female_mixed_less_hs,female_mixed_hs_grad,female_mixed_some_college,female_mixed_bs,male_w_nothisp_total,male_w_nothisp_less_hs,male_w_nothisp_hs_grad,male_w_nothisp_some_college,male_w_nothisp_bs,female_w_nothisp_total,female_w_nothisp_less_hs,female_w_nothisp_hs_grad,female_w_nothisp_some_college,female_w_nothisp_bs,male_hisp_total,male_hisp_less_hs,male_hisp_hs_grad,male_hisp_some_college,male_hisp_bs,female_hisp_total,female_hisp_less_hs,female_hisp_hs_grad,female_hisp_some_college,female_hisp_bs,BLACK_TOTAL,BLACK_FEMALE,BLACK_MALE,BLACK_LESS_HS_TOTAL,BLACK_HS_TOTAL,BLACK_SOME_COLLEGE_TOTAL,BLACK_COLLEGE_TOTAL,HISP_TOTAL,HISP_FEMALE,HISP_MALE,HISP_LESS_HS_TOTAL,HISP_HS_TOTAL,HISP_SOME_COLLEGE_TOTAL,HISP_COLLEGE_TOTAL,UNDERREP_TOTAL,UNDERREP_FEMALE,UNDERREP_MALE,UNDERREP_LESS_HS_TOTAL,UNDERREP_HS_TOTAL,UNDERREP_SOME_COLLEGE_TOTAL,UNDERREP_COLLEGE_TOTAL
711,55017010400,"Census Tract 104, Chippewa County, Wisconsin",1694,70,611,639,374,1862,82,445,788,547,73,0,5,3,65,52,20,0,6,26,0,0,0,0,0,1,0,1,0,0,31,0,6,20,5,42,0,13,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,10,2,10,0,0,10,0,1694,70,611,639,374,1849,82,445,780,542,0,0,0,0,0,13,0,0,8,5,125,52,73,20,5,9,91,13,13,0,0,0,8,5,138,65,73,20,5,17,96
712,55017010500,"Census Tract 105, Chippewa County, Wisconsin",1746,127,565,736,318,1724,159,550,700,315,150,58,63,29,0,0,0,0,0,0,42,0,31,11,0,4,0,0,4,0,65,53,0,12,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,27,6,0,0,0,0,0,0,43,6,14,23,0,4,0,0,4,0,1734,115,565,736,318,1707,159,550,700,298,45,12,27,6,0,17,0,0,0,17,150,0,150,58,63,29,0,62,17,45,12,27,6,17,212,17,195,70,90,35,17
713,55017010700,"Census Tract 107, Chippewa County, Wisconsin",2998,121,850,1019,1008,2797,77,598,926,1196,24,0,0,24,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,23,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,23,32,4,9,19,0,2985,121,850,1019,995,2797,77,598,926,1196,13,0,0,0,13,0,0,0,0,0,24,0,24,0,0,24,0,13,0,13,0,0,0,13,37,0,37,0,0,24,13
714,55017010800,"Census Tract 108, Chippewa County, Wisconsin",2675,291,1241,912,231,1708,149,579,732,248,411,68,196,132,15,0,0,0,0,0,51,0,31,20,0,0,0,0,0,0,36,11,19,3,3,16,0,0,10,6,0,0,0,0,0,0,0,0,0,0,59,34,10,15,0,37,0,37,0,0,186,36,34,116,0,7,0,3,4,0,2601,276,1202,897,226,1671,149,556,719,247,193,66,63,59,5,74,0,60,13,1,411,0,411,68,196,132,15,267,74,193,66,123,72,6,678,74,604,134,319,204,21
715,55017010900,"Census Tract 109, Chippewa County, Wisconsin",1733,289,776,437,231,1612,151,660,534,267,20,0,0,20,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,6,0,1,0,1726,282,776,437,231,1586,131,654,534,267,7,7,0,0,0,26,20,6,0,0,20,0,20,0,0,20,0,33,26,7,27,6,0,0,53,26,27,27,6,20,0
716,55017011001,"Census Tract 110.01, Chippewa County, Wisconsin",1124,119,555,333,117,1202,113,494,411,184,7,7,0,0,0,9,0,9,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,15,4,2,9,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,6,6,0,0,0,2,1,0,0,1,7,0,2,5,0,1124,119,555,333,117,1182,113,474,411,184,2,0,2,0,0,26,6,20,0,0,16,9,7,7,9,0,0,28,26,2,6,22,0,0,44,35,9,13,31,0,0
717,55017011002,"Census Tract 110.02, Chippewa County, Wisconsin",1387,93,472,533,289,1446,63,534,557,292,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,70,55,0,0,15,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,17,6,0,0,0,0,0,1387,93,472,533,289,1409,63,527,527,292,0,0,0,0,0,37,0,7,30,0,0,0,0,0,0,0,0,37,37,0,0,7,30,0,37,37,0,0,7,30,0
718,55017011100,"Census Tract 111, Chippewa County, Wisconsin",1647,161,730,499,257,1485,70,533,571,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,3,0,0,0,3,1646,161,729,499,257,1485,70,533,571,311,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,2,1,1,0,1,1,0
719,55017011200,"Census Tract 112, Chippewa County, Wisconsin",2041,178,738,684,441,2371,77,661,888,745,8,0,0,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,0,2,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,29,0,27,2,0,0,0,0,0,0,2035,178,738,684,435,2361,77,661,881,742,8,2,0,0,6,10,0,0,7,3,10,2,8,0,2,8,0,18,10,8,2,0,7,9,28,12,16,2,2,15,9
720,55019950100,"Census Tract 9501, Clark County, Wisconsin",1410,182,696,377,155,1480,194,648,430,208,35,16,1,18,0,12,9,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,33,16,13,3,1,152,1,22,4,125,57,0,56,1,0,49,0,39,10,0,1318,144,668,364,142,1409,141,632,428,208,190,68,93,16,13,146,63,77,6,0,47,12,35,25,4,18,0,336,146,190,131,170,22,13,383,158,225,156,174,40,13
