"","GEOID","full_geoid","white_totalE","white_less10kE","white_10kto14kE","white_15kto19kE","white_20kto24kE","white_25kto29kE","white_30kto34kE","white_35kto39kE","white_40kto44kE","white_45kto49kE","white_50kto59kE","white_60kto74kE","white_75kto99kE","white_100kto124kE","white_125kto149kE","white_150kto199kE","white_200ktomoreE","black_totalE","black_less10kE","black_10kto14kE","black_15kto19kE","black_20kto24kE","black_25kto29kE","black_30kto34kE","black_35kto39kE","black_40kto44kE","black_45kto49kE","black_50kto59kE","black_60kto74kE","black_75kto99kE","black_100kto124kE","black_125kto149kE","black_150kto199kE","black_200ktomoreE","aian_totalE","aian_less10kE","aian_10kto14kE","aian_15kto19kE","aian_20kto24kE","aian_25kto29kE","aian_30kto34kE","aian_35kto39kE","aian_40kto44kE","aian_45kto49kE","aian_50kto59kE","aian_60kto74kE","aian_75kto99kE","aian_100kto124kE","aian_125kto149kE","aian_150kto199kE","aian_200ktomoreE","asian_totalE","asian_less10kE","asian_10kto14kE","asian_15kto19kE","asian_20kto24kE","asian_25kto29kE","asian_30kto34kE","asian_35kto39kE","asian_40kto44kE","asian_45kto49kE","asian_50kto59kE","asian_60kto74kE","asian_75kto99kE","asian_100kto124kE","asian_125kto149kE","asian_150kto199kE","asian_200ktomoreE","nhpi_totalE","nhpi_less10kE","nhpi_10kto14kE","nhpi_15kto19kE","nhpi_20kto24kE","nhpi_25kto29kE","nhpi_30kto34kE","nhpi_35kto39kE","nhpi_40kto44kE","nhpi_45kto49kE","nhpi_50kto59kE","nhpi_60kto74kE","nhpi_75kto99kE","nhpi_100kto124kE","nhpi_125kto149kE","nhpi_150kto199kE","nhpi_200ktomoreE","other_totalE","other_less10kE","other_10kto14kE","other_15kto19kE","other_20kto24kE","other_25kto29kE","other_30kto34kE","other_35kto39kE","other_40kto44kE","other_45kto49kE","other_50kto59kE","other_60kto74kE","other_75kto99kE","other_100kto124kE","other_125kto149kE","other_150kto199kE","other_200ktomoreE","mixed_totalE","mixed_less10kE","mixed_10kto14kE","mixed_15kto19kE","mixed_20kto24kE","mixed_25kto29kE","mixed_30kto34kE","mixed_35kto39kE","mixed_40kto44kE","mixed_45kto49kE","mixed_50kto59kE","mixed_60kto74kE","mixed_75kto99kE","mixed_100kto124kE","mixed_125kto149kE","mixed_150kto199kE","mixed_200ktomoreE","w_nothisp_totalE","w_nothisp_less10kE","w_nothisp_10kto14kE","w_nothisp_15kto19kE","w_nothisp_20kto24kE","w_nothisp_25kto29kE","w_nothisp_30kto34kE","w_nothisp_35kto39kE","w_nothisp_40kto44kE","w_nothisp_45kto49kE","w_nothisp_50kto59kE","w_nothisp_60kto74kE","w_nothisp_75kto99kE","w_nothisp_100kto124kE","w_nothisp_125kto149kE","w_nothisp_150kto199kE","w_nothisp_200ktomoreE","hisp_totalE","hisp_less10kE","hisp_10kto14kE","hisp_15kto19kE","hisp_20kto24kE","hisp_25kto29kE","hisp_30kto34kE","hisp_35kto39kE","hisp_40kto44kE","hisp_45kto49kE","hisp_50kto59kE","hisp_60kto74kE","hisp_75kto99kE","hisp_100kto124kE","hisp_125kto149kE","hisp_150kto199kE","hisp_200ktomoreE","BLACK_less25","BLACK_25_to_34","BLACK_35_to_49","BLACK_50_to_74","BLACK_75_to_99","BLACK_100_to_149","BLACK_150_to_199","BLACK_200_more","BLACK_TOTAL","HISP_less25","HISP_25_to_34","HISP_35_to_49","HISP_50_to_74","HISP_75_to_99","HISP_100_to_149","HISP_150_to_199","HISP_200_more","HISP_TOTAL","UNDERREP_less25","UNDERREP_25_to_34","UNDERREP_35_to_49","UNDERREP_50_to_74","UNDERREP_75_to_99","UNDERREP_100_to_149","UNDERREP_150_to_199","UNDERREP_200_more","UNDERREP_TOTAL"
"1172","55079016800","Census Tract 168, Milwaukee County, Wisconsin",377,10,33,26,29,44,83,35,13,35,37,17,5,5,0,5,0,76,24,18,0,18,0,0,3,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,90,46,13,12,0,59,82,25,13,68,61,34,24,0,0,0,33,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,19,124,0,6,0,4,16,64,15,13,0,6,0,0,0,0,0,0,819,100,87,39,37,28,78,102,25,48,99,78,45,29,0,5,19,60,0,3,0,6,7,0,0,76,263,106,175,177,45,29,5,19,819,323,106,178,177,12,36,5,19,895
"1173","55079016900","Census Tract 169, Milwaukee County, Wisconsin",710,141,115,35,7,33,74,57,73,7,58,68,15,27,0,0,0,28,7,0,0,0,0,0,8,0,7,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,44,0,21,48,50,94,86,0,0,0,4,0,4,0,0,0,29,0,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,308,40,61,28,0,20,17,0,73,0,0,27,15,27,0,0,0,782,145,61,50,55,63,151,143,0,7,58,45,0,4,0,0,0,7,0,15,6,0,0,0,0,28,311,214,150,103,0,4,0,0,782,318,214,165,109,0,4,0,0,810
"1174","55079017000","Census Tract 170, Milwaukee County, Wisconsin",1091,31,122,82,84,78,58,55,52,113,16,212,53,14,47,24,50,173,0,81,11,35,30,0,0,0,0,0,0,16,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,45,34,73,29,7,62,0,28,33,36,56,0,0,0,0,0,72,0,30,8,0,8,0,0,0,0,0,13,13,0,0,0,0,638,22,32,36,45,42,58,13,31,28,16,189,12,3,47,24,40,915,54,154,127,68,51,62,42,49,118,36,92,41,11,0,0,10,127,30,0,0,16,0,0,0,173,403,113,209,128,41,11,0,10,915,530,143,209,128,32,11,0,10,1088
"1175","55079017100","Census Tract 171, Milwaukee County, Wisconsin",448,23,15,12,21,37,42,16,62,15,84,56,18,26,0,21,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,23,0,12,0,12,12,51,30,0,25,80,40,30,0,0,0,81,0,10,5,0,0,7,0,4,0,0,0,22,33,0,0,0,248,14,5,12,0,23,7,11,43,0,70,37,4,20,0,2,0,596,32,20,17,21,26,54,56,53,15,39,99,76,69,0,19,0,0,0,0,9,0,0,0,0,9,90,80,124,138,76,69,19,0,596,90,80,124,147,0,69,19,0,605
"1176","55027961100","Census Tract 9611, Dodge County, Wisconsin",1506,34,35,61,11,67,87,61,37,74,119,233,294,190,131,43,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,18,0,0,1,0,3,0,1501,34,35,61,11,67,87,61,37,74,119,233,294,190,126,43,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,5
"1177","55027961200","Census Tract 9612, Dodge County, Wisconsin",1499,23,169,88,19,244,80,83,133,59,47,167,171,117,38,34,27,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474,23,169,63,19,244,80,83,133,59,47,167,171,117,38,34,27,31,0,0,25,0,0,0,0,0,0,0,0,6,0,0,0,0,45,0,0,0,0,0,0,0,45,25,0,0,0,6,0,0,0,31,70,0,0,0,0,0,0,0,76
"1178","55027961300","Census Tract 9613, Dodge County, Wisconsin",2094,49,41,95,86,142,109,50,162,128,280,258,348,249,43,40,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2066,49,41,95,86,142,109,50,162,112,268,258,348,249,43,40,14,28,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,28,0,0,16,12,0,0,0,0,28
"1179","55027961400","Census Tract 9614, Dodge County, Wisconsin",1516,22,22,47,36,84,64,42,86,55,137,207,247,238,117,82,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495,22,22,47,34,84,64,42,86,55,137,194,247,238,117,76,30,24,0,0,0,2,0,0,0,0,0,0,13,0,0,0,6,3,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,6,3,24,2,0,0,13,0,0,6,3,24
"1180","55027961500","Census Tract 9615, Dodge County, Wisconsin",1895,46,38,27,46,96,71,77,60,40,150,188,434,215,206,135,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,52,0,0,0,0,0,6,0,0,0,0,10,29,0,0,7,0,1889,46,32,27,46,96,71,77,60,40,150,188,434,215,206,135,66,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6
"1181","55027961600","Census Tract 9616, Dodge County, Wisconsin",1624,37,64,39,27,28,96,98,49,68,92,251,274,224,108,94,75,40,0,0,11,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,7,4,6,0,0,0,0,1612,37,64,33,27,26,96,98,49,68,92,251,272,224,108,92,75,18,3,0,6,0,2,0,0,0,0,0,3,2,0,0,2,0,11,0,0,0,0,29,0,0,40,9,2,0,3,2,0,2,0,18,20,2,0,3,0,29,2,0,58
"1182","55027961700","Census Tract 9617, Dodge County, Wisconsin",1201,44,63,34,36,46,43,54,53,87,76,142,162,141,81,80,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1186,44,63,34,36,46,43,54,53,85,75,139,155,139,81,80,59,15,0,0,0,0,0,0,0,0,2,1,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,2,0,0,15,0,0,2,4,0,2,0,0,15
"1183","55027961800","Census Tract 9618, Dodge County, Wisconsin",1683,45,82,70,46,50,49,27,114,101,134,163,309,218,111,81,83,40,0,0,11,0,20,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,4,0,2,0,0,0,0,0,8,0,0,0,15,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,1671,43,82,70,44,50,49,27,114,101,134,163,307,218,105,81,83,26,2,0,0,2,4,0,2,0,0,0,0,2,8,6,0,0,11,20,0,0,0,9,0,0,40,4,4,2,0,2,14,0,0,26,15,24,2,0,0,23,0,0,66
"1184","55027961900","Census Tract 9619, Dodge County, Wisconsin",1813,136,59,67,75,62,73,127,116,53,93,164,333,156,159,85,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,141,0,0,0,0,6,0,16,0,0,0,0,71,0,0,48,0,1747,108,59,67,75,62,73,113,116,53,93,164,323,156,156,74,55,138,28,0,0,1,0,0,14,0,0,0,0,81,0,3,11,0,0,0,0,0,0,0,0,0,0,29,0,14,0,81,3,11,0,138,29,0,14,0,0,3,11,0,138
"1185","55027962000","Census Tract 9620, Dodge County, Wisconsin",877,28,48,95,54,89,87,37,62,29,86,99,93,26,29,10,5,97,0,0,0,0,0,0,76,0,0,0,0,21,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,29,0,0,0,0,0,0,0,12,0,0,797,10,48,84,54,80,87,37,30,29,86,99,83,26,29,10,5,100,18,0,11,15,9,0,0,37,0,0,0,10,0,0,0,0,0,0,76,0,21,0,0,0,97,44,9,37,0,10,0,0,0,100,44,9,113,0,42,0,0,0,197
