"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","WHITE_TOTAL","WHITE_FEMALE","WHITE_MALE","WHITE_LESS_HS_TOTAL","WHITE_HS_TOTAL","WHITE_SOME_COLLEGE_TOTAL","WHITE_COLLEGE_TOTAL","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","AI_AN_TOTAL","AI_AN_FEMALE","AI_AN_MALE","AI_AN_LESS_HS_TOTAL","AI_AN_HS_TOTAL","AI_AN_SOME_COLLEGE_TOTAL","AI_AN_COLLEGE_TOTAL","ASIAN_TOTAL","ASIAN_FEMALE","ASIAN_MALE","ASIAN_LESS_HS_TOTAL","ASIAN_HS_TOTAL","ASIAN_SOME_COLLEGE_TOTAL","ASIAN_COLLEGE_TOTAL","NHPI_TOTAL","NHPI_FEMALE","NHPI_MALE","NHPI_LESS_HS_TOTAL","NHPI_HS_TOTAL","NHPI_SOME_COLLEGE_TOTAL","NHPI_COLLEGE_TOTAL","OTHER_TOTAL","OTHER_FEMALE","OTHER_MALE","OTHER_LESS_HS_TOTAL","OTHER_HS_TOTAL","OTHER_SOME_COLLEGE_TOTAL","OTHER_COLLEGE_TOTAL","MIXED_TOTAL","MIXED_FEMALE","MIXED_MALE","MIXED_LESS_HS_TOTAL","MIXED_HS_TOTAL","MIXED_SOME_COLLEGE_TOTAL","MIXED_COLLEGE_TOTAL","W_NOTHISP_TOTAL","W_NOTHISP_FEMALE","W_NOTHISP_MALE","W_NOTHISP_LESS_HS_TOTAL","W_NOTHISP_HS_TOTAL","W_NOTHISP_SOME_COLLEGE_TOTAL","W_NOTHISP_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","ALL_TOTAL","ALL_FEMALE_TOTAL","ALL_MALE","ALL_LESS_HS_TOTAL","ALL_HS_TOTAL","ALL_SOME_COLLEGE_TOTAL","ALL_COLLEGE_TOTAL"
"11","55010","State Senate District 10 (2018), Wisconsin",55485,2852,16974,19835,15824,56584,2491,15849,19798,18446,403,37,113,95,158,198,5,6,126,61,225,19,122,48,36,239,28,63,76,72,363,13,62,114,174,622,132,127,151,212,4,0,4,0,0,41,0,7,0,34,166,88,40,17,21,193,50,16,78,49,689,27,216,321,125,569,28,165,214,162,54790,2733,16800,19544,15713,55925,2358,15699,19561,18307,886,214,233,305,134,853,181,165,328,179,112069,56584,55485,5343,32823,39633,34270,601,198,403,42,119,221,219,464,239,225,47,185,124,108,985,622,363,145,189,265,386,45,41,4,0,11,0,34,359,193,166,138,56,95,70,1258,569,689,55,381,535,287,110715,55925,54790,5091,32499,39105,34020,1739,853,886,395,398,633,313,228235,115224,113011,11256,66661,80611,69707
"12","55011","State Senate District 11 (2018), Wisconsin",57121,4868,19561,17640,15052,59053,3742,18041,19411,17859,751,81,344,191,135,520,35,134,214,137,244,41,71,86,46,175,34,51,54,36,394,64,47,64,219,708,72,201,125,310,0,0,0,0,0,0,0,0,0,0,1231,417,523,240,51,1057,396,344,210,107,752,92,250,236,174,627,82,171,245,129,54552,3676,18860,17257,14759,56732,2775,17570,18850,17537,4116,1682,1357,688,389,3605,1440,872,801,492,116174,59053,57121,8610,37602,37051,32911,1271,520,751,116,478,405,272,419,175,244,75,122,140,82,1102,708,394,136,248,189,529,0,0,0,0,0,0,0,2288,1057,1231,813,867,450,158,1379,627,752,174,421,481,303,111284,56732,54552,6451,36430,36107,32296,7721,3605,4116,3122,2229,1489,881,241638,122477,119161,19497,78397,76312,67432
"13","55012","State Senate District 12 (2018), Wisconsin",60213,5757,24281,18735,11440,60316,4011,22206,21254,12845,326,28,105,128,65,162,75,19,23,45,1847,237,855,636,119,2018,224,725,695,374,125,20,18,15,72,337,61,119,60,97,1,0,0,1,0,33,4,14,4,11,150,62,41,34,13,50,18,4,16,12,515,114,177,171,53,714,65,129,352,168,59584,5609,24106,18509,11360,59555,3853,22021,21005,12676,833,219,243,285,86,864,184,211,278,191,120529,60316,60213,9768,46487,39989,24285,488,162,326,103,124,151,110,3865,2018,1847,461,1580,1331,493,462,337,125,81,137,75,169,34,33,1,4,14,5,11,200,50,150,80,45,50,25,1229,714,515,179,306,523,221,119139,59555,59584,9462,46127,39514,24036,1697,864,833,403,454,563,277,247643,124049,123594,20541,95274,82201,49627
"14","55013","State Senate District 13 (2018), Wisconsin",58710,4226,20666,18010,15808,59588,3453,18128,20262,17745,728,45,366,244,73,526,68,187,159,112,154,5,73,28,48,152,0,53,32,67,299,21,81,64,133,428,83,148,79,118,8,0,3,5,0,1,0,0,0,1,461,178,184,75,24,188,106,32,19,31,403,48,104,160,91,649,33,213,305,98,57153,3774,20017,17800,15562,58257,3085,17646,19989,17537,2061,640,848,304,269,1626,489,597,292,248,118298,59588,58710,7679,38794,38272,33553,1254,526,728,113,553,403,185,306,152,154,5,126,60,115,727,428,299,104,229,143,251,9,1,8,0,3,5,1,649,188,461,284,216,94,55,1052,649,403,81,317,465,189,115410,58257,57153,6859,37663,37789,33099,3687,1626,2061,1129,1445,596,517,241392,121415,119977,16254,79346,77827,67965
"15","55014","State Senate District 14 (2018), Wisconsin",60216,6244,24383,19118,10471,58139,4452,21813,19368,12506,1628,337,706,491,94,191,34,46,58,53,508,59,181,176,92,149,46,40,40,23,332,5,91,63,173,440,42,80,138,180,32,0,14,10,8,4,0,4,0,0,580,248,225,84,23,282,120,57,71,34,632,72,260,192,108,398,21,118,172,87,58630,5679,23859,18745,10347,57226,4134,21508,19143,12441,2261,836,814,445,166,1240,454,398,291,97,118355,58139,60216,10696,46196,38486,22977,1819,191,1628,371,752,549,147,657,149,508,105,221,216,115,772,440,332,47,171,201,353,36,4,32,0,18,10,8,862,282,580,368,282,155,57,1030,398,632,93,378,364,195,115856,57226,58630,9813,45367,37888,22788,3501,1240,2261,1290,1212,736,263,242888,118069,124819,22783,94597,78605,46903
"16","55015","State Senate District 15 (2018), Wisconsin",49907,4822,18528,16118,10439,53687,3490,18735,18192,13270,1986,317,808,787,74,1977,421,420,798,338,147,10,65,45,27,192,25,42,85,40,435,63,112,118,142,717,42,114,215,346,0,0,0,0,0,71,30,32,9,0,1669,639,669,241,120,1384,580,501,186,117,764,82,297,267,118,682,179,164,232,107,48107,4238,17992,15629,10248,52200,3190,18124,17783,13103,3573,1247,1245,767,314,3035,957,1140,613,325,103594,53687,49907,8312,37263,34310,23709,3963,1977,1986,738,1228,1585,412,339,192,147,35,107,130,67,1152,717,435,105,226,333,488,71,71,0,30,32,9,0,3053,1384,1669,1219,1170,427,237,1446,682,764,261,461,499,225,100307,52200,48107,7428,36116,33412,23351,6608,3035,3573,2204,2385,1380,639,220533,113945,106588,20332,78988,72085,49128
"17","55016","State Senate District 16 (2018), Wisconsin",54281,2405,11760,16115,24001,58596,2285,12276,17822,26213,3512,431,1331,997,753,3972,486,713,1886,887,180,0,55,118,7,177,4,59,45,69,2629,432,280,498,1419,2906,432,461,444,1569,41,10,3,9,19,35,0,13,5,17,1183,382,438,277,86,1211,442,301,280,188,921,151,21,237,512,999,136,135,357,371,51645,1749,11051,15354,23491,56390,1783,11817,17075,25715,4010,1119,1156,1087,648,3650,1010,768,1146,726,112877,58596,54281,4690,24036,33937,50214,7484,3972,3512,917,2044,2883,1640,357,177,180,4,114,163,76,5535,2906,2629,864,741,942,2988,76,35,41,10,16,14,36,2394,1211,1183,824,739,557,274,1920,999,921,287,156,594,883,108035,56390,51645,3532,22868,32429,49206,7660,3650,4010,2129,1924,2233,1374,246338,127936,118402,13257,52638,73752,106691
"18","55017","State Senate District 17 (2018), Wisconsin",56362,5524,23211,17508,10119,56467,4020,19886,19652,12909,1012,264,381,332,35,123,37,31,32,23,329,109,65,103,52,246,23,71,141,11,337,11,59,60,207,466,25,84,83,274,7,1,0,6,0,0,0,0,0,0,312,119,143,37,13,295,139,70,26,60,386,39,152,135,60,372,36,131,123,82,55546,5337,22779,17366,10064,55861,3835,19665,19510,12851,1231,331,594,216,90,927,313,296,200,118,112829,56467,56362,9544,43097,37160,23028,1135,123,1012,301,412,364,58,575,246,329,132,136,244,63,803,466,337,36,143,143,481,7,0,7,1,0,6,0,607,295,312,258,213,63,73,758,372,386,75,283,258,142,111407,55861,55546,9172,42444,36876,22915,2158,927,1231,644,890,416,208,230279,114757,115522,20163,87618,75530,46968
"19","55018","State Senate District 18 (2018), Wisconsin",55332,4560,20056,18124,12592,55359,3330,18332,18287,15410,1989,653,753,421,162,681,94,143,309,135,362,44,140,115,63,162,3,55,75,29,1185,163,327,226,469,1294,263,293,156,582,29,0,0,23,6,41,35,0,0,6,605,243,141,127,94,404,184,110,80,30,603,83,294,78,148,395,62,122,128,83,53617,3984,19463,17729,12441,53913,2978,17952,17780,15203,2408,855,812,522,219,1877,536,497,600,244,110691,55359,55332,7890,38388,36411,28002,2670,681,1989,747,896,730,297,524,162,362,47,195,190,92,2479,1294,1185,426,620,382,1051,70,41,29,35,0,23,12,1009,404,605,427,251,207,124,998,395,603,145,416,206,231,107530,53913,53617,6962,37415,35509,27644,4285,1877,2408,1391,1309,1122,463,230256,114126,116130,18070,79490,74780,57916
"20","55019","State Senate District 19 (2018), Wisconsin",55002,3223,16491,17328,17960,58066,2646,17251,18992,19177,962,219,308,357,78,764,83,286,260,135,499,40,267,132,60,393,9,138,141,105,2145,327,485,607,726,2202,421,459,474,848,0,0,0,0,0,56,20,0,14,22,1024,249,348,369,58,503,224,138,138,3,613,28,183,166,236,498,30,122,183,163,54086,3005,16169,17095,17817,56943,2456,16997,18505,18985,2040,459,691,635,255,1731,458,396,663,214,113068,58066,55002,5869,33742,36320,37137,1726,764,962,302,594,617,213,892,393,499,49,405,273,165,4347,2202,2145,748,944,1081,1574,56,56,0,20,0,14,22,1527,503,1024,473,486,507,61,1111,498,613,58,305,349,399,111029,56943,54086,5461,33166,35600,36802,3771,1731,2040,917,1087,1298,469,237527,121156,116371,13897,70729,76059,76842
"21","55020","State Senate District 20 (2018), Wisconsin",59013,3382,19955,18897,16779,59640,2579,18187,20106,18768,786,97,278,338,73,397,58,35,167,137,176,57,18,53,48,196,16,68,77,35,423,42,51,121,209,497,50,108,164,175,40,10,3,16,11,57,10,0,47,0,401,136,95,100,70,354,62,107,109,76,424,15,119,234,56,440,2,79,182,177,58008,3106,19694,18675,16533,58924,2373,18095,19852,18604,1486,430,368,371,317,1151,270,197,431,253,118653,59640,59013,5961,38142,39003,35547,1183,397,786,155,313,505,210,372,196,176,73,86,130,83,920,497,423,92,159,285,384,97,57,40,20,3,63,11,755,354,401,198,202,209,146,864,440,424,17,198,416,233,116932,58924,58008,5479,37789,38527,35137,2637,1151,1486,700,565,802,570,242413,121656,120757,12695,77457,79940,72321
"22","55021","State Senate District 21 (2018), Wisconsin",56488,4310,17478,18825,15875,59588,3015,17799,20612,18162,2248,409,974,704,161,1825,190,412,798,425,201,32,58,77,34,356,0,147,141,68,733,55,120,227,331,873,106,156,215,396,32,0,32,0,0,72,10,0,0,62,491,159,89,112,131,487,139,49,183,116,460,28,140,246,46,483,14,154,180,135,53907,3681,16617,18133,15476,56961,2747,16960,19612,17642,3315,850,995,940,530,3358,421,986,1232,719,116076,59588,56488,7325,35277,39437,34037,4073,1825,2248,599,1386,1502,586,557,356,201,32,205,218,102,1606,873,733,161,276,442,727,104,72,32,10,32,0,62,978,487,491,298,138,295,247,943,483,460,42,294,426,181,110868,56961,53907,6428,33577,37745,33118,6673,3358,3315,1271,1981,2172,1249,241878,124003,117875,16166,73166,82237,70309
"23","55022","State Senate District 22 (2018), Wisconsin",41390,4782,13932,13110,9566,44199,4350,12763,16412,10674,7143,1960,2603,2078,502,8357,1330,2882,3190,955,323,43,133,111,36,328,45,113,107,63,834,61,44,327,402,1069,142,210,251,466,15,5,0,5,5,1,0,0,0,1,2031,743,705,443,140,1904,855,448,442,159,916,226,199,315,176,1188,198,328,500,162,35323,2737,11756,11787,9043,38443,2691,11123,14622,10007,8610,2911,3010,1976,713,8298,2605,2174,2660,859,85589,44199,41390,9132,26695,29522,20240,15500,8357,7143,3290,5485,5268,1457,651,328,323,88,246,218,99,1903,1069,834,203,254,578,868,16,1,15,5,0,5,6,3935,1904,2031,1598,1153,885,299,2104,1188,916,424,527,815,338,73766,38443,35323,5428,22879,26409,19050,16908,8298,8610,5516,5184,4636,1572,200372,103787,96585,25684,62423,68336,43929
"24","55023","State Senate District 23 (2018), Wisconsin",57753,5934,22418,18297,11104,57199,4376,18720,20611,13492,786,132,252,313,89,344,118,60,66,100,152,0,53,91,8,98,16,21,38,23,613,77,183,88,265,922,151,153,268,350,0,0,0,0,0,0,0,0,0,0,383,227,103,39,14,181,83,57,36,5,655,65,216,299,75,467,37,127,204,99,56807,5584,22110,18167,10946,56439,4156,18479,20416,13388,1421,586,450,208,177,983,303,320,251,109,114952,57199,57753,10310,41138,38908,24596,1130,344,786,250,312,379,189,250,98,152,16,74,129,31,1535,922,613,228,336,356,615,0,0,0,0,0,0,0,564,181,383,310,160,75,19,1122,467,655,102,343,503,174,113246,56439,56807,9740,40589,38583,24334,2404,983,1421,889,770,459,286,235203,116633,118570,21845,83722,79392,50244
